initials_two_words | dummy6_twoknob_c4_u4: acc=0.753
initials_two_words | dummy6_twoknob_c4_u8: acc=0.827
initials_two_words | dummy6_twoknob_c8_u0: acc=0.000
initials_two_words | dummy6_twoknob_c8_u1: acc=0.013
initials_two_words | dummy6_twoknob_c8_u2: acc=0.100
initials_two_words | dummy6_twoknob_c8_u4: acc=0.507
initials_two_words | dummy6_twoknob_c8_u8: acc=0.740
iso_date_year_plus_one | dummy6_baseline: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c0_u0: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c0_u1: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c0_u2: acc=0.013
iso_date_year_plus_one | dummy6_twoknob_c0_u4: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c0_u8: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c1_u0: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c1_u1: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c1_u2: acc=0.073
iso_date_year_plus_one | dummy6_twoknob_c1_u4: acc=0.020
iso_date_year_plus_one | dummy6_twoknob_c1_u8: acc=0.033
iso_date_year_plus_one | dummy6_twoknob_c2_u0: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c2_u1: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c2_u2: acc=0.067
iso_date_year_plus_one | dummy6_twoknob_c2_u4: acc=0.113
iso_date_year_plus_one | dummy6_twoknob_c2_u8: acc=0.093
iso_date_year_plus_one | dummy6_twoknob_c4_u0: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c4_u1: acc=0.007
iso_date_year_plus_one | dummy6_twoknob_c4_u2: acc=0.060
iso_date_year_plus_one | dummy6_twoknob_c4_u4: acc=0.207
iso_date_year_plus_one | dummy6_twoknob_c4_u8: acc=0.153
iso_date_year_plus_one | dummy6_twoknob_c8_u0: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c8_u1: acc=0.000
iso_date_year_plus_one | dummy6_twoknob_c8_u2: acc=0.007
iso_date_year_plus_one | dummy6_twoknob_c8_u4: acc=0.047
