layer,position,r2_heldout_mean,r2_train_mean,best_alpha,alpha_pinned
5,d9_last,0.5468,0.9254,10000.0,False
5,d10_pre,0.5391,0.9374,316.2277660168379,False
5,d10_first,0.521,0.9018,10000.0,False
5,d10_last,0.5455,0.9238,10000.0,False
5,query_cue,0.4745,0.878,100.0,False
6,d1_pre,-0.0238,0.2221,100000.0,False
6,d1_first,0.3958,0.811,31622.776601683792,False
6,d1_last,0.4642,0.8774,31622.776601683792,False
6,d2_pre,0.3543,0.8511,1000.0,False
6,d2_first,0.4702,0.8476,31622.776601683792,False
6,d2_last,0.529,0.9241,10000.0,False
6,d3_pre,0.445,0.8886,1000.0,False
6,d3_first,0.5255,0.9017,10000.0,False
6,d3_last,0.5542,0.9285,10000.0,False
6,d4_pre,0.4905,0.9066,1000.0,False
6,d4_first,0.5324,0.9097,10000.0,False
6,d4_last,0.5567,0.9318,10000.0,False
6,d5_pre,0.5189,0.9179,1000.0,False
6,d5_first,0.548,0.9139,10000.0,False
6,d5_last,0.5678,0.9342,10000.0,False
6,d6_pre,0.5345,0.9264,1000.0,False
6,d6_first,0.5537,0.9171,10000.0,False
6,d6_last,0.5756,0.9357,10000.0,False
6,d7_pre,0.5496,0.934,316.2277660168379,False
6,d7_first,0.5565,0.92,10000.0,False
6,d7_last,0.5749,0.9364,10000.0,False
6,d8_pre,0.5537,0.9372,316.2277660168379,False
6,d8_first,0.558,0.9231,10000.0,False
6,d8_last,0.5756,0.9386,10000.0,False
6,d9_pre,0.559,0.9396,316.2277660168379,False
6,d9_first,0.5653,0.924,10000.0,False
6,d9_last,0.5822,0.9391,10000.0,False
6,d10_pre,0.5606,0.9395,316.2277660168379,False
6,d10_first,0.5613,0.9223,10000.0,False
6,d10_last,0.5798,0.9372,10000.0,False
6,query_cue,0.5209,0.8935,316.2277660168379,False
7,d1_pre,-0.0323,0.2365,100000.0,False
7,d1_first,0.4119,0.8274,31622.776601683792,False
7,d1_last,0.4825,0.8926,31622.776601683792,False
7,d2_pre,0.3385,0.8181,3162.2776601683795,False
7,d2_first,0.494,0.8653,31622.776601683792,False
7,d2_last,0.5432,0.9292,10000.0,False
7,d3_pre,0.4547,0.8997,1000.0,False
7,d3_first,0.5418,0.9108,10000.0,False
7,d3_last,0.569,0.9341,10000.0,False
7,d4_pre,0.5039,0.9163,1000.0,False
7,d4_first,0.5508,0.9178,10000.0,False
7,d4_last,0.5731,0.9368,10000.0,False
7,d5_pre,0.5316,0.926,1000.0,False
7,d5_first,0.5647,0.9219,10000.0,False
7,d5_last,0.5833,0.9393,10000.0,False
7,d6_pre,0.5516,0.9331,1000.0,False
7,d6_first,0.57,0.925,10000.0,False
7,d6_last,0.5908,0.9407,10000.0,False
7,d7_pre,0.5676,0.9379,1000.0,False
7,d7_first,0.5756,0.9275,10000.0,False
7,d7_last,0.5905,0.9413,10000.0,False
7,d8_pre,0.5765,0.9416,1000.0,False
7,d8_first,0.5752,0.9303,10000.0,False
7,d8_last,0.5919,0.9434,10000.0,False
7,d9_pre,0.5831,0.9448,1000.0,False
7,d9_first,0.5829,0.9312,10000.0,False
7,d9_last,0.5976,0.9437,10000.0,False
7,d10_pre,0.5742,0.9367,316.2277660168379,False
7,d10_first,0.5797,0.9296,10000.0,False
7,d10_last,0.5964,0.9418,10000.0,False
7,query_cue,0.5234,0.8775,316.2277660168379,False
8,d1_pre,-0.0383,0.2545,100000.0,False
8,d1_first,0.4299,0.8385,31622.776601683792,False
8,d1_last,0.4997,0.902,31622.776601683792,False
8,d2_pre,0.3797,0.8441,3162.2776601683795,False
8,d2_first,0.5148,0.8799,31622.776601683792,False
8,d2_last,0.5486,0.9146,31622.776601683792,False
