task,group,d_cos_task_cue2_a0.0,d_cos_task_cue2_a0.5,d_cos_task_cue2_a1.0,d_cos_task_cue2_a2.0,d_cos_task_cue2_a4.0,d_cos_task_cue3_a0.0,d_cos_task_cue3_a0.5,d_cos_task_cue3_a1.0,d_cos_task_cue3_a2.0,d_cos_task_cue3_a4.0,d_cos_task_cue4_a0.0,d_cos_task_cue4_a0.5,d_cos_task_cue4_a1.0,d_cos_task_cue4_a2.0,d_cos_task_cue4_a4.0,d_cos_task_cue5_a0.0,d_cos_task_cue5_a0.5,d_cos_task_cue5_a1.0,d_cos_task_cue5_a2.0,d_cos_task_cue5_a4.0,d_cos_task_cue6_a0.0,d_cos_task_cue6_a0.5,d_cos_task_cue6_a1.0,d_cos_task_cue6_a2.0,d_cos_task_cue6_a4.0,d_cos_task_query_cue_a0.0,d_cos_task_query_cue_a0.5,d_cos_task_query_cue_a1.0,d_cos_task_query_cue_a2.0,d_cos_task_query_cue_a4.0,d_cos_gen_cue2_a0.0,d_cos_gen_cue2_a0.5,d_cos_gen_cue2_a1.0,d_cos_gen_cue2_a2.0,d_cos_gen_cue2_a4.0,d_cos_gen_cue3_a0.0,d_cos_gen_cue3_a0.5,d_cos_gen_cue3_a1.0,d_cos_gen_cue3_a2.0,d_cos_gen_cue3_a4.0,d_cos_gen_cue4_a0.0,d_cos_gen_cue4_a0.5,d_cos_gen_cue4_a1.0,d_cos_gen_cue4_a2.0,d_cos_gen_cue4_a4.0,d_cos_gen_cue5_a0.0,d_cos_gen_cue5_a0.5,d_cos_gen_cue5_a1.0,d_cos_gen_cue5_a2.0,d_cos_gen_cue5_a4.0,d_cos_gen_cue6_a0.0,d_cos_gen_cue6_a0.5,d_cos_gen_cue6_a1.0,d_cos_gen_cue6_a2.0,d_cos_gen_cue6_a4.0,d_cos_gen_query_cue_a0.0,d_cos_gen_query_cue_a0.5,d_cos_gen_query_cue_a1.0,d_cos_gen_query_cue_a2.0,d_cos_gen_query_cue_a4.0
natural_manmade,train,0.0,0.03562,0.06015,0.05401,0.03739,0.0,0.01848,0.037,0.03516,0.02517,0.0,0.01392,0.02499,0.02232,0.0154,0.0,0.01137,0.01959,0.01738,0.01235,0.0,0.01039,0.01738,0.01523,0.01055,0.0,0.00818,0.01288,0.01141,0.00836,0.0,0.02333,0.03525,0.03002,0.02216,0.0,0.01081,0.01878,0.01656,0.01323,0.0,0.00975,0.01435,0.01149,0.0087,0.0,0.00827,0.01173,0.00929,0.00716,0.0,0.0076,0.01026,0.00773,0.00566,0.0,0.00615,0.00791,0.00611,0.00474
next_item,train,0.0,0.03042,0.05343,0.0658,0.05863,0.0,0.01695,0.03088,0.03917,0.03201,0.0,0.01348,0.02368,0.02818,0.02171,0.0,0.01132,0.02013,0.02381,0.0178,0.0,0.01045,0.0182,0.02109,0.01534,0.0,0.00948,0.01647,0.01896,0.01368,0.0,0.0156,0.02465,0.02563,0.01962,0.0,0.00668,0.01305,0.01693,0.01447,0.0,0.00634,0.01143,0.01364,0.011,0.0,0.00585,0.01056,0.01263,0.01014,0.0,0.00561,0.00994,0.0116,0.00911,0.0,0.00517,0.00916,0.01062,0.00825
next_month_of_date,train,0.0,0.05518,0.10564,0.11647,0.09304,0.0,0.0221,0.04566,0.04703,0.03247,0.0,0.01792,0.03575,0.03663,0.02597,0.0,0.01648,0.032,0.03131,0.02222,0.0,0.01443,0.02685,0.02558,0.01814,0.0,0.01237,0.02195,0.02118,0.01568,0.0,0.02743,0.04281,0.04161,0.03223,0.0,0.0106,0.01717,0.01656,0.01259,0.0,0.00943,0.01411,0.01264,0.00919,0.0,0.00875,0.01268,0.01065,0.00753,0.0,0.00788,0.011,0.00888,0.00615,0.0,0.00707,0.00918,0.00721,0.005
next_number_digits,train,0.0,0.0662,0.13297,0.15952,0.12285,0.0,0.02667,0.06849,0.07465,0.04509,0.0,0.01687,0.04085,0.04091,0.02544,0.0,0.01435,0.03294,0.03167,0.02014,0.0,0.01155,0.02482,0.02496,0.01704,0.0,0.01278,0.02697,0.02476,0.01603,0.0,0.03477,0.05374,0.05232,0.03744,0.0,0.01325,0.02654,0.02708,0.01851,0.0,0.0097,0.01753,0.01618,0.01067,0.0,0.0088,0.01525,0.01338,0.00861,0.0,0.00761,0.01218,0.01086,0.0073,0.0,0.00854,0.01364,0.01104,0.00691
number_word_to_digits,train,0.0,0.13337,0.19937,0.19749,0.11438,0.0,0.04574,0.07923,0.06717,0.03428,0.0,0.03558,0.05932,0.04787,0.02478,0.0,0.03047,0.04865,0.03726,0.01943,0.0,0.02554,0.03961,0.02954,0.0158,0.0,0.02317,0.03515,0.02628,0.01444,0.0,0.06542,0.09073,0.08564,0.05037,0.0,0.02321,0.03684,0.03071,0.01673,0.0,0.01964,0.02952,0.02278,0.01206,0.0,0.0171,0.02471,0.01794,0.00944,0.0,0.01459,0.02031,0.01414,0.00741,0.0,0.01338,0.01816,0.01256,0.00665
park-country,train,0.0,0.03391,0.07942,0.08096,0.06424,0.0,0.01541,0.0367,0.03593,0.02496,0.0,0.01151,0.02766,0.02731,0.01948,0.0,0.01016,0.02517,0.02433,0.01732,0.0,0.00918,0.02351,0.02214,0.01568,0.0,0.00832,0.02166,0.02057,0.01419,0.0,0.01522,0.03083,0.02411,0.0149,0.0,0.00813,0.01547,0.01203,0.00676,0.0,0.00675,0.01245,0.0092,0.00492,0.0,0.006,0.01148,0.00824,0.00436,0.0,0.00548,0.01102,0.00769,0.00407,0.0,0.00518,0.01041,0.0073,0.00378
past_to_base,heldout,0.0,0.08964,0.12173,0.11168,0.08379,0.0,0.05612,0.08748,0.08821,0.07255,0.0,0.03914,0.06029,0.05705,0.04672,0.0,0.03078,0.04752,0.04602,0.03873,0.0,0.02794,0.04405,0.04339,0.03655,0.0,0.02388,0.03652,0.03631,0.03165,0.0,0.04854,0.06396,0.05797,0.04181,0.0,0.03152,0.0488,0.05123,0.04459,0.0,0.02374,0.0359,0.0349,0.02965,0.0,0.01908,0.02913,0.0288,0.02491,0.0,0.01757,0.02715,0.02682,0.02287,0.0,0.015,0.02262,0.0225,0.01977
person-instrument,train,0.0,0.04399,0.07241,0.05909,0.03524,0.0,0.01811,0.02781,0.02458,0.01997,0.0,0.01367,0.02023,0.01713,0.01384,0.0,0.01236,0.01718,0.01381,0.01105,0.0,0.01069,0.01482,0.01166,0.00923,0.0,0.01073,0.01472,0.01112,0.00864,0.0,0.02469,0.03701,0.02691,0.01299,0.0,0.0098,0.01275,0.00926,0.00621,0.0,0.00813,0.00979,0.00654,0.00425,0.0,0.00746,0.00834,0.00503,0.00302,0.0,0.00618,0.00686,0.00383,0.00209,0.0,0.00606,0.00667,0.00353,0.00181
person-sport,train,0.0,0.03582,0.07417,0.07549,0.04648,0.0,0.01398,0.02878,0.02895,0.01887,0.0,0.01118,0.02347,0.02397,0.01563,0.0,0.01045,0.02134,0.02067,0.01361,0.0,0.00926,0.0193,0.01854,0.01221,0.0,0.00914,0.01939,0.01794,0.01144,0.0,0.01957,0.03628,0.03397,0.02077,0.0,0.0093,0.01434,0.01242,0.0082,0.0,0.00831,0.01261,0.01092,0.00735,0.0,0.0078,0.01153,0.00945,0.00637,0.0,0.0069,0.01042,0.00841,0.00566,0.0,0.00656,0.01007,0.00782,0.00501
person_place_thing,heldout,0.0,0.0342,0.05672,0.05352,0.04071,0.0,0.01773,0.02921,0.02702,0.02198,0.0,0.01205,0.01738,0.01562,0.01315,0.0,0.00974,0.01365,0.01224,0.01045,0.0,0.00859,0.01158,0.01009,0.00848,0.0,0.00698,0.00929,0.00844,0.00736,0.0,0.02528,0.03623,0.03018,0.02192,0.0,0.01289,0.01841,0.01607,0.0135,0.0,0.00918,0.01155,0.00985,0.00852,0.0,0.00741,0.00908,0.0077,0.00675,0.0,0.00653,0.00761,0.00617,0.00534,0.0,0.00526,0.00609,0.00513,0.00456
plural_to_singular,train,0.0,0.08805,0.12271,0.11778,0.09685,0.0,0.0501,0.07997,0.08393,0.07329,0.0,0.03409,0.05385,0.05354,0.04547,0.0,0.0292,0.04707,0.04778,0.04024,0.0,0.02713,0.04551,0.04687,0.03926,0.0,0.02131,0.0355,0.0375,0.0329,0.0,0.05235,0.06934,0.06407,0.05216,0.0,0.03067,0.0478,0.05015,0.04531,0.0,0.02272,0.03491,0.03431,0.02946,0.0,0.01988,0.0313,0.03124,0.02647,0.0,0.01908,0.03089,0.03082,0.0258,0.0,0.01516,0.02449,0.02489,0.02162
pos_label,heldout,0.0,0.0299,0.05834,0.06533,0.04707,0.0,0.018,0.03685,0.04287,0.03361,0.0,0.01248,0.02192,0.02327,0.01871,0.0,0.00953,0.01624,0.01691,0.01367,0.0,0.00819,0.01333,0.01385,0.01128,0.0,0.0074,0.01198,0.01239,0.01018,0.0,0.02164,0.03924,0.04121,0.029,0.0,0.01249,0.02313,0.02469,0.0192,0.0,0.00934,0.01452,0.01377,0.01056,0.0,0.00738,0.01109,0.01019,0.0077,0.0,0.00658,0.00943,0.00863,0.00657,0.0,0.00591,0.00848,0.00774,0.00593
present-past,train,0.0,0.09304,0.12926,0.11312,0.09137,0.0,0.0636,0.09777,0.08607,0.07245,0.0,0.04234,0.06323,0.05324,0.04648,0.0,0.03464,0.05337,0.04569,0.04076,0.0,0.03072,0.04767,0.04222,0.03886,0.0,0.02953,0.04658,0.04058,0.03693,0.0,0.05072,0.06428,0.05446,0.0432,0.0,0.03577,0.05094,0.04736,0.04373,0.0,0.02622,0.03551,0.03091,0.02888,0.0,0.02221,0.03076,0.02676,0.02514,0.0,0.01982,0.02745,0.02413,0.02292,0.0,0.01919,0.02673,0.023,0.02154
prev_number_digits,train,0.0,0.08662,0.16135,0.18533,0.14066,0.0,0.03344,0.07602,0.07729,0.04616,0.0,0.02167,0.04647,0.04469,0.02957,0.0,0.01758,0.03583,0.03341,0.0233,0.0,0.01422,0.02746,0.02698,0.02035,0.0,0.01555,0.02959,0.02666,0.01946,0.0,0.04948,0.07356,0.07093,0.05181,0.0,0.01886,0.03561,0.03498,0.02374,0.0,0.01423,0.02444,0.02239,0.01583,0.0,0.01235,0.02018,0.01759,0.01249,0.0,0.01072,0.01637,0.01461,0.01096,0.0,0.01181,0.01795,0.01471,0.01061
product-company,train,0.0,0.02166,0.04429,0.05593,0.05078,0.0,0.0127,0.02907,0.04062,0.03687,0.0,0.00905,0.01986,0.02679,0.02427,0.0,0.0083,0.01773,0.02286,0.02049,0.0,0.00735,0.01538,0.01936,0.0172,0.0,0.00681,0.01418,0.01755,0.01514,0.0,0.00697,0.01349,0.0144,0.01133,0.0,0.00371,0.00851,0.01086,0.01006,0.0,0.00374,0.00718,0.00814,0.00717,0.0,0.00346,0.00637,0.00682,0.00583,0.0,0.00306,0.00545,0.0056,0.00467,0.0,0.00287,0.00488,0.00481,0.00385
sentiment,train,0.0,0.04256,0.09236,0.10096,0.06086,0.0,0.02108,0.05057,0.06172,0.04161,0.0,0.01531,0.03558,0.04208,0.02804,0.0,0.01295,0.02919,0.03396,0.02286,0.0,0.01119,0.02371,0.02672,0.01814,0.0,0.00969,0.01977,0.02231,0.01561,0.0,0.025,0.05197,0.05181,0.03182,0.0,0.01079,0.02651,0.0298,0.02014,0.0,0.0087,0.01913,0.02041,0.01319,0.0,0.00799,0.01616,0.01664,0.01066,0.0,0.00716,0.01342,0.01309,0.00828,0.0,0.00652,0.01153,0.01103,0.00709
singular-plural,train,0.0,0.08354,0.13411,0.13804,0.1088,0.0,0.05051,0.09243,0.09185,0.07054,0.0,0.03486,0.06264,0.05816,0.04461,0.0,0.02884,0.05274,0.04897,0.03741,0.0,0.0262,0.04861,0.04426,0.03326,0.0,0.02303,0.04199,0.03789,0.02891,0.0,0.05228,0.06772,0.06185,0.04913,0.0,0.03269,0.0472,0.04388,0.03663,0.0,0.02493,0.03442,0.02881,0.02265,0.0,0.02163,0.03056,0.02519,0.01922,0.0,0.02031,0.02868,0.02273,0.01672,0.0,0.01808,0.02527,0.01981,0.01473
singular_or_plural,train,0.0,0.03902,0.06048,0.05247,0.03274,0.0,0.02006,0.03217,0.02793,0.02178,0.0,0.01369,0.02025,0.01742,0.01393,0.0,0.01155,0.01758,0.015,0.01187,0.0,0.01066,0.01577,0.01349,0.01071,0.0,0.00953,0.01385,0.01184,0.00953,0.0,0.02643,0.0401,0.03497,0.02349,0.0,0.01251,0.01922,0.0163,0.01287,0.0,0.00953,0.01291,0.01038,0.00801,0.0,0.00823,0.01122,0.00871,0.00649,0.0,0.00767,0.01023,0.00803,0.00609,0.0,0.00677,0.00866,0.00652,0.00478
smaller_of_pair,heldout,0.0,0.10044,0.14082,0.13071,0.08964,0.0,0.04531,0.0726,0.06856,0.04729,0.0,0.03496,0.05452,0.04888,0.03373,0.0,0.0313,0.04715,0.04082,0.02841,0.0,0.02949,0.04357,0.03594,0.02454,0.0,0.02734,0.04025,0.03251,0.02233,0.0,0.05673,0.07143,0.06174,0.04256,0.0,0.02523,0.035,0.03293,0.02687,0.0,0.02032,0.02799,0.02522,0.02015,0.0,0.01845,0.02496,0.02186,0.01738,0.0,0.01745,0.02321,0.01937,0.01507,0.0,0.01625,0.0215,0.01749,0.01353
spanish-english,heldout,0.0,0.05691,0.08745,0.09446,0.08932,0.0,0.03149,0.05804,0.07175,0.06916,0.0,0.01956,0.03629,0.04542,0.04349,0.0,0.01615,0.02999,0.03728,0.03524,0.0,0.01498,0.0279,0.0347,0.03189,0.0,0.01265,0.02349,0.02966,0.02782,0.0,0.03009,0.04383,0.04138,0.03256,0.0,0.01977,0.0358,0.04231,0.03796,0.0,0.01329,0.0238,0.02819,0.02486,0.0,0.01131,0.02019,0.02378,0.02078,0.0,0.01098,0.0196,0.02312,0.0195,0.0,0.00932,0.01652,0.01964,0.01688
spanish_noun_gender,train,0.0,0.04177,0.06755,0.0532,0.02692,0.0,0.02195,0.03913,0.03265,0.02174,0.0,0.01498,0.02495,0.01977,0.01338,0.0,0.01312,0.02126,0.01638,0.01082,0.0,0.01147,0.01774,0.01297,0.00832,0.0,0.0098,0.0149,0.01148,0.0077,0.0,0.02987,0.04229,0.03312,0.02049,0.0,0.01494,0.02226,0.01743,0.01239,0.0,0.0112,0.01512,0.01103,0.00785,0.0,0.00991,0.01284,0.00891,0.00604,0.0,0.00876,0.01057,0.00664,0.00411,0.0,0.00769,0.00901,0.00585,0.00373
starts_with_vowel,train,0.0,0.03331,0.05514,0.05433,0.03691,0.0,0.01828,0.03337,0.03573,0.02848,0.0,0.01288,0.02088,0.02095,0.01645,0.0,0.01045,0.01768,0.01854,0.01459,0.0,0.00914,0.01465,0.01544,0.01234,0.0,0.00797,0.01263,0.01323,0.01065,0.0,0.02522,0.03654,0.03188,0.02063,0.0,0.01374,0.02086,0.01957,0.01539,0.0,0.00998,0.01339,0.01168,0.00885,0.0,0.00826,0.01134,0.01002,0.00737,0.0,0.00733,0.00961,0.00862,0.00649,0.0,0.00636,0.00821,0.00724,0.0054
third_person_to_base,train,0.0,0.08862,0.1229,0.1164,0.09208,0.0,0.05195,0.08179,0.08506,0.07456,0.0,0.03515,0.0544,0.0539,0.04701,0.0,0.02881,0.04607,0.04773,0.04266,0.0,0.02639,0.04318,0.04578,0.04138,0.0,0.02429,0.03967,0.04279,0.03935,0.0,0.05324,0.07065,0.06613,0.05334,0.0,0.03239,0.04999,0.05323,0.04959,0.0,0.02386,0.0359,0.03598,0.03264,0.0,0.01994,0.03107,0.03208,0.02934,0.0,0.01869,0.02949,0.03076,0.02824,0.0,0.0172,0.02712,0.02871,0.02678
titlecase_phrase,train,0.0,0.06003,0.07399,0.05087,0.04093,0.0,0.02836,0.03846,0.03048,0.02578,0.0,0.01872,0.02648,0.02021,0.01681,0.0,0.01482,0.02078,0.01615,0.01401,0.0,0.01223,0.01711,0.01285,0.01125,0.0,0.00986,0.01386,0.01053,0.00955,0.0,0.04098,0.04804,0.03111,0.02259,0.0,0.02136,0.02684,0.01973,0.01621,0.0,0.01557,0.01965,0.01294,0.00948,0.0,0.01251,0.01572,0.01022,0.00727,0.0,0.01081,0.01332,0.00818,0.00568,0.0,0.00888,0.01077,0.00634,0.00422
uppercase_word,heldout,0.0,0.07804,0.10492,0.09315,0.07484,0.0,0.05419,0.08177,0.07703,0.07201,0.0,0.03679,0.05445,0.04786,0.045,0.0,0.03169,0.05063,0.04631,0.04331,0.0,0.02752,0.04376,0.03939,0.03628,0.0,0.02638,0.04203,0.03841,0.03553,0.0,0.04491,0.05654,0.04851,0.03752,0.0,0.03254,0.04651,0.04345,0.04056,0.0,0.02423,0.03376,0.02885,0.02611,0.0,0.02128,0.03188,0.02762,0.0242,0.0,0.01898,0.02813,0.02365,0.01999,0.0,0.01811,0.02708,0.02301,0.01951
us-city-state,train,0.0,0.04627,0.08914,0.09298,0.07712,0.0,0.01559,0.03013,0.03038,0.02474,0.0,0.01022,0.02105,0.0224,0.01919,0.0,0.0088,0.01836,0.01914,0.01625,0.0,0.00787,0.01671,0.01698,0.01417,0.0,0.00657,0.01427,0.01451,0.01206,0.0,0.01435,0.02352,0.01936,0.01258,0.0,0.00725,0.01176,0.01109,0.00932,0.0,0.00605,0.00954,0.00886,0.00764,0.0,0.00531,0.00863,0.00791,0.00677,0.0,0.00458,0.00765,0.0067,0.00555,0.0,0.004,0.00664,0.0056,0.00451
verb_tense_label,train,0.0,0.03289,0.05577,0.05346,0.03886,0.0,0.01791,0.03412,0.0379,0.03179,0.0,0.01312,0.02298,0.02424,0.01987,0.0,0.01048,0.01748,0.01821,0.01529,0.0,0.00945,0.01547,0.01572,0.01268,0.0,0.00765,0.01214,0.01298,0.01112,0.0,0.01955,0.03254,0.02922,0.01928,0.0,0.01008,0.01816,0.01837,0.01491,0.0,0.0082,0.01295,0.01196,0.0091,0.0,0.00678,0.01021,0.00926,0.00705,0.0,0.00611,0.00902,0.0079,0.00574,0.0,0.00506,0.00728,0.0067,0.00516
verb_to_third_person,train,0.0,0.09042,0.13587,0.13201,0.10464,0.0,0.05846,0.10027,0.09976,0.08491,0.0,0.04069,0.06808,0.0631,0.05341,0.0,0.03359,0.05753,0.05387,0.04648,0.0,0.02981,0.05032,0.04691,0.04077,0.0,0.02826,0.04806,0.0453,0.03994,0.0,0.05162,0.06932,0.06544,0.05308,0.0,0.03489,0.05296,0.05402,0.05063,0.0,0.02661,0.0387,0.03602,0.0327,0.0,0.02247,0.03352,0.03089,0.02786,0.0,0.02032,0.02984,0.02711,0.02435,0.0,0.0194,0.02864,0.02591,0.02334
word_polarity,heldout,0.0,0.0426,0.07446,0.07055,0.04865,0.0,0.02054,0.03954,0.0389,0.03044,0.0,0.01431,0.02503,0.02358,0.01905,0.0,0.01144,0.01965,0.01867,0.01551,0.0,0.00985,0.01641,0.01558,0.01316,0.0,0.00806,0.01289,0.01257,0.01122,0.0,0.02943,0.04351,0.0385,0.02716,0.0,0.01327,0.02104,0.01868,0.01536,0.0,0.01029,0.01444,0.01206,0.01003,0.0,0.00836,0.01167,0.00986,0.00846,0.0,0.00733,0.00987,0.00831,0.00725,0.0,0.00599,0.00791,0.00697,0.00647
