property,framing,ctx,style_k0,n_style_k0,judge_k0,n_judge_k0,exact_k0,n_exact_k0,joint_k0,n_joint_k0,unscorable_k0,n_unscorable_k0,style_k1,n_style_k1,judge_k1,n_judge_k1,exact_k1,n_exact_k1,joint_k1,n_joint_k1,unscorable_k1,n_unscorable_k1,style_k2,n_style_k2,judge_k2,n_judge_k2,exact_k2,n_exact_k2,joint_k2,n_joint_k2,unscorable_k2,n_unscorable_k2,style_k3,n_style_k3,judge_k3,n_judge_k3,exact_k3,n_exact_k3,joint_k3,n_joint_k3,unscorable_k3,n_unscorable_k3,style_k4,n_style_k4,judge_k4,n_judge_k4,exact_k4,n_exact_k4,joint_k4,n_joint_k4,unscorable_k4,n_unscorable_k4,style_k5,n_style_k5,judge_k5,n_judge_k5,exact_k5,n_exact_k5,joint_k5,n_joint_k5,unscorable_k5,n_unscorable_k5,style_k4plus,joint_k4plus,judge_all,exact_all,scorable_all,judge_fail,n
oxford_comma,trans,alt,0.438,64,0.821,67,0.254,67,0.344,64,0.045,67,0.571,63,0.851,67,0.269,67,0.508,63,0.06,67,0.541,61,0.851,67,0.164,67,0.492,61,0.09,67,0.651,63,0.91,67,0.328,67,0.587,63,0.06,67,0.818,22,0.955,22,0.364,22,0.818,22,0.0,22,1.0,6,0.857,7,0.429,7,0.833,6,0.143,7,0.857,0.821,0.865,0.266,0.939,0,297
percent_sign,plain,nat,0.754,65,,0,0.019,104,,0,0.375,104,0.987,79,,0,0.029,104,,0,0.24,104,0.987,79,,0,0.0,104,,0,0.24,104,1.0,76,,0,0.038,104,,0,0.269,104,1.0,46,,0,0.0,59,,0,0.22,59,1.0,25,,0,0.0,27,,0,0.074,27,1.0,,,0.019,0.744,,523
percent_sign,trans,nat,0.98,102,0.933,104,0.433,104,0.922,102,0.019,104,1.0,103,0.865,104,0.24,104,0.864,103,0.01,104,1.0,104,0.904,104,0.375,104,0.904,104,0.0,104,1.0,102,0.913,104,0.308,104,0.912,102,0.019,104,1.0,59,0.881,59,0.39,59,0.881,59,0.0,59,1.0,27,0.926,27,0.296,27,0.926,27,0.0,27,1.0,0.86,0.895,0.344,0.99,0,523
percent_sign,plain,alt,0.286,63,,0,0.01,104,,0,0.394,104,0.921,76,,0,0.029,104,,0,0.269,104,0.931,72,,0,0.0,104,,0,0.308,104,0.974,77,,0,0.029,104,,0,0.26,104,0.959,49,,0,0.034,59,,0,0.169,59,0.955,22,,0,0.0,27,,0,0.185,27,0.966,,,0.021,0.721,,523
percent_sign,trans,alt,0.019,104,0.942,104,0.452,104,0.019,104,0.0,104,0.699,103,0.942,104,0.356,104,0.66,103,0.01,104,0.833,102,0.875,104,0.298,104,0.716,102,0.019,104,0.861,101,0.933,104,0.385,104,0.792,101,0.029,104,0.898,59,0.881,59,0.373,59,0.78,59,0.0,59,0.963,27,0.926,27,0.259,27,0.889,27,0.0,27,0.907,0.804,0.918,0.365,0.989,0,523
quote_punct,plain,nat,0.9,80,,0,0.0,125,,0,0.36,125,0.988,81,,0,0.016,126,,0,0.357,126,0.989,94,,0,0.0,126,,0,0.254,126,0.988,83,,0,0.0,126,,0,0.341,126,1.0,80,,0,0.0,121,,0,0.339,121,1.0,84,,0,0.0,120,,0,0.3,120,1.0,,,0.004,0.7,,956
quote_punct,trans,nat,0.517,120,0.904,125,0.36,125,0.458,120,0.04,125,0.933,120,0.857,126,0.294,126,0.792,120,0.048,126,0.983,121,0.833,126,0.278,126,0.843,121,0.04,126,0.934,122,0.81,126,0.214,126,0.762,122,0.032,126,0.974,116,0.744,121,0.264,121,0.75,116,0.041,121,1.0,118,0.867,120,0.183,120,0.864,118,0.017,120,0.984,0.8,0.828,0.257,0.965,0,956
quote_punct,plain,alt,0.057,70,,0,0.0,125,,0,0.44,125,0.675,80,,0,0.0,126,,0,0.365,126,0.777,94,,0,0.0,126,,0,0.254,126,0.832,95,,0,0.0,126,,0,0.246,126,0.878,82,,0,0.0,121,,0,0.322,121,0.872,94,,0,0.0,120,,0,0.217,120,0.901,,,0.001,0.713,,956
quote_punct,trans,alt,0.463,121,0.888,125,0.312,125,0.43,121,0.032,125,0.821,123,0.897,126,0.278,126,0.732,123,0.024,126,0.916,119,0.81,126,0.198,126,0.773,119,0.056,126,0.96,124,0.794,126,0.238,126,0.758,124,0.016,126,0.884,121,0.818,121,0.264,121,0.711,121,0.0,121,0.941,118,0.792,120,0.192,120,0.763,118,0.017,120,0.931,0.744,0.822,0.248,0.979,0,956
sentence_caps,plain,nat,,0,,0,,0,,0,,0,1.0,184,,0,0.0,200,,0,0.08,200,1.0,198,,0,0.0,200,,0,0.01,200,1.0,198,,0,0.0,200,,0,0.01,200,0.995,192,,0,0.005,200,,0,0.04,200,1.0,186,,0,0.0,200,,0,0.07,200,0.993,,,0.001,0.952,,1541
sentence_caps,trans,nat,,0,,0,,0,,0,,0,1.0,200,0.85,200,0.175,200,0.85,200,0.0,200,1.0,200,0.875,200,0.295,200,0.875,200,0.0,200,1.0,199,0.775,200,0.19,200,0.774,199,0.005,200,1.0,199,0.79,200,0.26,200,0.794,199,0.005,200,1.0,200,0.8,200,0.19,200,0.8,200,0.0,200,0.996,0.789,0.808,0.227,0.999,0,1541
sentence_caps,plain,alt,,0,,0,,0,,0,,0,0.022,180,,0,0.0,200,,0,0.1,200,0.405,195,,0,0.0,200,,0,0.025,200,0.601,193,,0,0.0,200,,0,0.035,200,0.819,193,,0,0.0,200,,0,0.035,200,0.773,185,,0,0.0,200,,0,0.075,200,0.798,,,0.0,0.945,,1541
sentence_caps,trans,alt,,0,,0,,0,,0,,0,0.035,199,0.815,200,0.16,200,0.03,199,0.005,200,0.576,198,0.89,200,0.255,200,0.525,198,0.01,200,0.693,199,0.815,200,0.175,200,0.598,199,0.005,200,0.775,200,0.78,200,0.19,200,0.63,200,0.0,200,0.8,200,0.78,200,0.245,200,0.635,200,0.0,200,0.845,0.675,0.804,0.215,0.997,0,1541
us_uk,plain,nat,0.913,23,,0,0.0,146,,0,0.842,146,0.959,49,,0,0.0,198,,0,0.753,198,0.938,32,,0,0.0,199,,0,0.839,199,1.0,34,,0,0.005,193,,0,0.824,193,0.97,33,,0,0.0,199,,0,0.834,199,1.0,47,,0,0.0,196,,0,0.76,196,0.991,,,0.001,0.192,,1310
us_uk,trans,nat,0.952,126,0.925,146,0.315,146,0.897,126,0.137,146,0.988,160,0.848,198,0.197,198,0.863,160,0.192,198,0.971,172,0.879,199,0.271,199,0.872,172,0.136,199,0.975,163,0.808,193,0.249,193,0.81,163,0.155,193,0.946,166,0.899,199,0.266,199,0.855,166,0.166,199,0.981,160,0.883,196,0.24,196,0.925,160,0.184,196,0.965,0.893,0.869,0.252,0.823,0,1310
us_uk,plain,alt,0.111,18,,0,0.0,146,,0,0.877,146,0.647,51,,0,0.0,198,,0,0.742,198,0.805,41,,0,0.0,199,,0,0.794,199,0.8,45,,0,0.0,193,,0,0.767,193,0.833,36,,0,0.0,199,,0,0.819,199,0.952,42,,0,0.0,196,,0,0.786,196,0.917,,,0.0,0.202,,1310
us_uk,trans,alt,0.052,116,0.863,146,0.233,146,0.052,116,0.205,146,0.441,170,0.894,198,0.222,198,0.394,170,0.141,198,0.521,165,0.905,199,0.246,199,0.497,165,0.171,199,0.629,159,0.85,193,0.28,193,0.591,159,0.176,193,0.753,146,0.859,199,0.251,199,0.719,146,0.266,199,0.704,152,0.898,196,0.214,196,0.678,152,0.224,196,0.755,0.723,0.882,0.25,0.802,0,1310
