doc_id,words_en,words_es,ratio,em_dash,double_space,curly,allcaps_sent,paras_en,paras_es
dsh016_3,467,527,1.128,0,0,0,0,2,2
dsh017_0,307,346,1.127,0,0,0,0,1,1
dsh017_1,315,359,1.14,0,0,0,0,1,1
dsh017_2,304,364,1.197,0,0,0,0,1,1
dsh017_3,271,312,1.151,0,0,0,0,1,1
dsh018_0,329,404,1.228,0,0,0,0,1,1
dsh018_1,290,375,1.293,0,0,0,0,1,1
dsh018_2,296,365,1.233,0,0,0,0,2,2
dsh018_3,326,403,1.236,0,0,0,0,2,2
dsh019_0,288,335,1.163,0,0,0,0,1,1
dsh019_1,314,367,1.169,0,0,0,0,1,1
dsh019_2,371,414,1.116,0,0,0,0,2,2
dsh019_3,315,376,1.194,0,0,0,0,1,1
dsh020_0,337,398,1.181,0,0,0,0,2,2
dsh020_1,343,393,1.146,0,0,0,0,2,2
dsh020_2,310,369,1.19,0,0,0,0,2,2
dsh020_3,318,380,1.195,0,0,0,0,2,2
dsh021_0,388,467,1.204,0,0,0,0,2,2
dsh021_1,308,363,1.179,0,0,0,0,1,1
dsh021_2,337,400,1.187,0,0,0,0,2,2
dsh021_3,315,374,1.187,0,0,0,0,1,1
dsh022_0,420,471,1.121,0,0,0,0,2,2
dsh022_1,377,429,1.138,0,0,0,0,2,2
dsh022_2,348,390,1.121,0,0,0,0,2,2
dsh022_3,285,315,1.105,0,0,0,0,1,1
dsh023_0,356,429,1.205,0,0,0,0,2,2
dsh023_1,340,439,1.291,0,0,0,0,2,2
dsh023_2,384,463,1.206,0,0,0,0,1,1
dsh023_3,360,441,1.225,0,0,0,0,1,1
dsh024_0,317,349,1.101,0,0,0,0,1,1
dsh024_1,388,419,1.08,0,0,0,0,2,2
dsh024_2,302,313,1.036,0,0,0,0,1,1
dsh024_3,343,377,1.099,0,0,0,0,2,2
dsh025_0,261,314,1.203,0,0,0,0,1,1
dsh025_1,417,515,1.235,0,0,0,0,1,1
dsh025_2,322,376,1.168,0,0,0,0,1,1
dsh025_3,359,436,1.214,0,0,0,0,1,1
dsh026_0,382,485,1.27,0,0,0,0,1,1
dsh026_1,348,427,1.227,0,0,0,0,1,1
dsh026_2,378,467,1.235,0,0,0,0,2,2
dsh026_3,359,423,1.178,0,0,0,0,2,2
dsh027_0,369,431,1.168,0,0,0,0,1,1
dsh027_1,278,326,1.173,0,0,0,0,1,1
dsh027_2,370,415,1.122,0,0,0,0,2,2
dsh027_3,327,369,1.128,0,0,0,0,1,1
dsh028_0,300,334,1.113,0,0,0,0,1,1
dsh028_1,333,408,1.225,0,0,0,0,2,2
dsh028_2,306,359,1.173,0,0,0,0,2,2
dsh028_3,329,385,1.17,0,0,0,0,2,2
dsh029_0,269,294,1.093,0,0,0,0,2,2
dsh029_1,302,343,1.136,0,0,0,0,1,1
dsh029_2,344,388,1.128,0,0,0,0,1,1
dsh029_3,349,385,1.103,0,0,0,0,1,1
msc000_0,327,370,1.131,0,0,0,0,2,2
msc000_1,412,463,1.124,0,0,0,0,1,1
msc000_2,374,393,1.051,0,0,0,0,2,2
msc000_3,403,448,1.112,0,0,0,0,2,2
msc001_0,266,303,1.139,0,0,0,0,1,1
msc001_1,367,425,1.158,0,0,0,0,2,2
msc001_2,305,346,1.134,0,0,0,0,1,1
msc001_3,366,423,1.156,0,0,0,0,2,2
msc002_0,275,286,1.04,0,0,0,0,1,1
msc002_1,379,409,1.079,0,0,0,0,1,1
msc002_2,392,435,1.11,0,0,0,0,2,2
msc002_3,346,384,1.11,0,0,0,0,1,1
msc003_0,371,413,1.113,0,0,0,0,2,2
msc003_1,392,451,1.151,0,0,0,0,2,2
msc003_2,350,397,1.134,0,0,0,0,2,2
msc003_3,376,458,1.218,0,0,0,0,2,2
msc004_0,346,379,1.095,0,0,0,0,1,1
msc004_1,292,330,1.13,0,0,0,0,1,1
msc004_2,408,457,1.12,0,0,0,0,1,1
msc004_3,306,327,1.069,0,0,0,0,1,1
msc005_0,486,536,1.103,0,0,0,0,2,2
msc005_1,389,428,1.1,0,0,0,0,2,2
msc005_2,361,416,1.152,0,0,0,0,2,2
msc005_3,301,329,1.093,0,0,0,0,2,2
msc006_0,348,401,1.152,0,0,0,0,1,1
msc006_1,330,390,1.182,0,0,0,0,2,2
msc006_2,327,385,1.177,0,0,0,0,2,2
msc006_3,257,310,1.206,0,0,0,0,1,1
msc007_0,359,414,1.153,0,0,0,0,2,2
msc007_1,304,354,1.164,0,0,0,0,1,1
msc007_2,369,431,1.168,0,0,0,0,2,2
msc007_3,364,424,1.165,0,0,0,0,2,2
msc008_0,486,525,1.08,0,0,0,0,2,2
msc008_1,438,481,1.098,0,0,0,0,2,2
msc008_2,386,438,1.135,0,0,0,0,2,2
msc008_3,367,427,1.163,0,0,0,0,2,2
msc009_0,267,320,1.199,0,0,0,0,1,1
msc009_1,392,460,1.173,0,0,0,0,2,2
msc009_2,428,496,1.159,0,0,0,0,2,2
msc009_3,404,487,1.205,0,0,0,0,2,2
msc010_0,462,512,1.108,0,0,0,0,2,2
msc010_1,453,513,1.132,0,0,0,0,2,2
msc010_2,350,392,1.12,0,0,0,0,2,2
msc010_3,351,412,1.174,0,0,0,0,2,2
msc011_0,357,421,1.179,0,0,0,0,2,2
msc011_1,375,423,1.128,0,0,0,0,1,1
msc011_2,301,357,1.186,0,0,0,0,1,1
msc011_3,393,469,1.193,0,0,0,0,1,1
msc012_0,383,438,1.144,0,0,0,0,1,1
msc012_1,315,362,1.149,0,0,0,0,2,2
msc012_2,278,330,1.187,0,0,0,0,1,1
msc012_3,373,436,1.169,0,0,0,0,2,2
msc013_0,298,344,1.154,0,0,0,0,1,1
msc013_1,301,343,1.14,0,0,0,0,1,1
msc013_2,341,377,1.106,0,0,0,0,2,2
msc013_3,332,366,1.102,0,0,0,0,1,1
msc014_0,440,555,1.261,0,0,0,0,1,1
msc014_1,299,365,1.221,0,0,0,0,2,2
msc014_2,451,529,1.173,0,0,0,0,2,2
msc014_3,324,386,1.191,0,0,0,0,1,1
msc015_0,391,411,1.051,0,0,0,0,2,2
msc015_1,319,359,1.125,0,0,0,0,1,1
msc015_2,348,392,1.126,0,0,0,0,1,1
msc015_3,357,394,1.104,0,0,0,0,2,2
msc016_0,401,434,1.082,0,0,0,0,2,2
msc016_1,320,354,1.106,0,0,0,0,2,2
