task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
english-spanish,train,5,28.6786,-5.45537,3.22376,-2.04119,-13.761,-3.20209,-8.00615,7.18921,-6.65917,-1.96624
english-spanish,train,6,28.9408,-5.16079,3.55358,-2.36051,-13.9122,-3.48102,-8.55577,6.83469,-6.83055,-2.18435
english-spanish,train,7,28.8841,-5.56242,3.20886,-2.02263,-13.7531,-3.01278,-8.33568,6.39667,-6.08869,-2.01266
english-spanish,train,8,28.8411,-4.98213,3.43711,-2.29993,-13.2824,-3.07575,-8.12182,6.09357,-6.07062,-2.20429
english-spanish,train,9,28.9583,-5.01775,3.46061,-2.4996,-12.8477,-2.96602,-8.25205,5.97834,-5.92308,-2.29419
english-spanish,train,10,29.655,-4.91794,4.24542,-2.49861,-13.2275,-2.79633,-8.34575,5.15022,-6.13272,-2.19317
lowercase_last_letter,train,1,0.477874,9.99549,-7.18251,-1.51014,-9.3313,-1.3468,-0.565118,8.61515,3.19675,0.080362
lowercase_last_letter,train,2,-2.20565,23.0635,-6.37778,4.24245,-8.25247,-1.91773,0.739935,2.29384,1.89081,0.173405
lowercase_last_letter,train,3,-3.4571,25.23,-5.78994,6.97999,-7.91595,-3.31588,0.289484,-1.21354,1.56631,-0.570258
lowercase_last_letter,train,4,-3.99588,26.2616,-5.8065,7.85992,-7.63894,-3.43338,0.302183,-3.14986,1.58322,-1.03797
lowercase_last_letter,train,5,-4.42518,26.9721,-5.22675,8.58114,-7.07545,-3.59353,0.40502,-4.29331,1.59988,-1.2291
lowercase_last_letter,train,6,-4.94897,27.4746,-5.11375,8.79103,-7.2002,-3.5267,0.287275,-4.97957,1.86797,-1.28671
lowercase_last_letter,train,7,-5.45329,27.4368,-4.69668,8.74313,-7.09526,-3.60364,0.265736,-5.2651,1.88868,-1.32165
lowercase_last_letter,train,8,-5.68582,27.9955,-4.4869,9.11937,-7.26766,-3.45565,0.19641,-5.80946,1.94522,-1.50493
lowercase_last_letter,train,9,-5.84297,27.7754,-4.20159,8.81057,-7.02527,-3.33545,0.235963,-6.02019,2.04739,-1.59651
lowercase_last_letter,train,10,-5.60284,27.8485,-4.13402,8.7408,-6.90448,-3.24313,0.297034,-6.41483,2.06376,-1.6741
national_parks,train,1,-2.88988,-11.1581,-21.2219,-11.1906,-2.35301,-6.44119,-1.62999,1.84953,-3.26643,4.44398
national_parks,train,2,-7.30882,-15.2283,-24.7388,-12.6287,2.4773,-7.37158,-1.8236,-3.27326,-6.40127,4.95216
national_parks,train,3,-9.35667,-16.6958,-25.8608,-12.2426,4.42351,-8.31061,-2.81294,-6.40406,-8.46404,5.32727
national_parks,train,4,-10.0794,-16.3812,-25.4018,-11.9066,4.731,-8.21433,-2.68143,-7.62074,-8.6252,5.21214
national_parks,train,5,-10.1021,-16.3625,-25.741,-12.2215,5.21924,-8.11193,-2.86424,-8.36686,-8.80547,4.92341
national_parks,train,6,-10.5474,-16.2192,-24.9891,-11.9666,5.24472,-7.93946,-2.86857,-8.75971,-9.06983,5.1207
national_parks,train,7,-11.1243,-16.1991,-24.7346,-11.9344,5.104,-7.74219,-2.94271,-9.15736,-9.00656,4.87448
national_parks,train,8,-10.8013,-15.9291,-24.8318,-12.17,5.20273,-7.81069,-2.83654,-9.32895,-8.80609,4.84336
national_parks,train,9,-11.3438,-15.8836,-24.5078,-12.1694,5.20247,-7.82356,-2.79472,-9.67325,-9.33793,4.82106
national_parks,train,10,-10.9146,-15.6814,-24.7143,-12.3068,5.41544,-7.45495,-2.83289,-9.74722,-9.07322,4.74611
next_capital_letter,train,1,-0.354572,10.8049,-7.52566,-0.575231,-7.55274,-2.15355,0.878741,9.15667,3.1093,0.368726
next_capital_letter,train,2,-3.71764,19.6215,-6.68524,3.32493,-4.02635,-2.71352,1.88884,5.20855,1.07114,0.656649
next_capital_letter,train,3,-6.53457,22.4914,-5.89059,6.29927,-2.37209,-4.41313,0.336519,1.72576,-0.435539,0.387752
next_capital_letter,train,4,-7.84989,24.3975,-6.08198,7.99154,-1.0836,-4.77532,0.150341,-0.443475,-0.97775,0.0838234
