family,arm,alpha,margin_unsteered,margin_cf,margin_steered,alt_top_unsteered,alt_top_cf,alt_top_steered
py_type_hints,read,2.0,-2.1390624046325684,-7.7890625,3.981250047683716,0.3,0.025,0.925
py_type_hints,read,4.0,-2.1390624046325684,-7.7890625,8.473437309265137,0.3,0.025,0.975
py_type_hints,read,8.0,-2.1390624046325684,-7.7890625,9.271875381469727,0.3,0.025,0.925
py_is_none,read,0.5,-6.259375095367432,-2.859375,-4.759375095367432,0.0,0.025,0.0
py_is_none,read,1.0,-6.259375095367432,-2.859375,-2.0093750953674316,0.0,0.025,0.125
py_is_none,read,2.0,-6.259375095367432,-2.859375,-1.1218750476837158,0.0,0.025,0.2
py_is_none,read,4.0,-6.259375095367432,-2.859375,-1.390625,0.0,0.025,0.2
py_is_none,read,8.0,-6.259375095367432,-2.859375,-2.128124952316284,0.0,0.025,0.125
py_is_none,ctrl_family,0.5,-6.259375095367432,-2.859375,-6.231249809265137,0.0,0.025,0.0
py_is_none,ctrl_family,1.0,-6.259375095367432,-2.859375,-6.196875095367432,0.0,0.025,0.0
py_is_none,ctrl_family,2.0,-6.259375095367432,-2.859375,-6.056250095367432,0.0,0.025,0.0
py_is_none,ctrl_family,4.0,-6.259375095367432,-2.859375,-5.537499904632568,0.0,0.025,0.0
py_is_none,ctrl_family,8.0,-6.259375095367432,-2.859375,-4.324999809265137,0.0,0.025,0.0
py_is_none,ctrl_random,0.5,-6.259375095367432,-2.859375,-6.237500190734863,0.0,0.025,0.0
py_is_none,ctrl_random,1.0,-6.259375095367432,-2.859375,-6.121874809265137,0.0,0.025,0.0
py_is_none,ctrl_random,2.0,-6.259375095367432,-2.859375,-6.037499904632568,0.0,0.025,0.0
py_is_none,ctrl_random,4.0,-6.259375095367432,-2.859375,-5.928124904632568,0.0,0.025,0.0
py_is_none,ctrl_random,8.0,-6.259375095367432,-2.859375,-4.853125095367432,0.0,0.025,0.0
py_quotes,read,0.5,-5.313281059265137,-6.146093845367432,-2.895312547683716,0.075,0.05,0.1
py_quotes,read,1.0,-5.313281059265137,-6.146093845367432,3.081249952316284,0.075,0.05,0.825
py_quotes,read,2.0,-5.313281059265137,-6.146093845367432,6.328906059265137,0.075,0.05,0.95
py_quotes,read,4.0,-5.313281059265137,-6.146093845367432,2.6234374046325684,0.075,0.05,0.775
py_quotes,read,8.0,-5.313281059265137,-6.146093845367432,0.59375,0.075,0.05,0.725
sql_join_style,read,0.5,-6.339062690734863,-2.0,-5.673437595367432,0.025,0.1,0.05
sql_join_style,read,1.0,-6.339062690734863,-2.0,-4.7109375,0.025,0.1,0.05
sql_join_style,read,2.0,-6.339062690734863,-2.0,-1.625,0.025,0.1,0.1
sql_join_style,read,4.0,-6.339062690734863,-2.0,0.984375,0.025,0.1,0.725
sql_join_style,read,8.0,-6.339062690734863,-2.0,0.987500011920929,0.025,0.1,0.75
sql_join_style,ctrl_family,0.5,-6.339062690734863,-2.0,-6.401562690734863,0.025,0.1,0.0
sql_join_style,ctrl_family,1.0,-6.339062690734863,-2.0,-6.324999809265137,0.025,0.1,0.0
sql_join_style,ctrl_family,2.0,-6.339062690734863,-2.0,-5.657812595367432,0.025,0.1,0.025
sql_join_style,ctrl_family,4.0,-6.339062690734863,-2.0,-4.478125095367432,0.025,0.1,0.025
sql_join_style,ctrl_family,8.0,-6.339062690734863,-2.0,-3.1781249046325684,0.025,0.1,0.1
sql_join_style,ctrl_random,0.5,-6.339062690734863,-2.0,-6.331250190734863,0.025,0.1,0.025
sql_join_style,ctrl_random,1.0,-6.339062690734863,-2.0,-6.348437309265137,0.025,0.1,0.025
sql_join_style,ctrl_random,2.0,-6.339062690734863,-2.0,-6.309374809265137,0.025,0.1,0.025
sql_join_style,ctrl_random,4.0,-6.339062690734863,-2.0,-5.884375095367432,0.025,0.1,0.025
sql_join_style,ctrl_random,8.0,-6.339062690734863,-2.0,-5.051562309265137,0.025,0.1,0.05
c_comment_style,read,0.5,-9.100000381469727,-4.978125095367432,-4.5,0.0,0.0,0.0
c_comment_style,read,1.0,-9.100000381469727,-4.978125095367432,2.0875000953674316,0.0,0.0,0.875
c_comment_style,read,2.0,-9.100000381469727,-4.978125095367432,6.764062404632568,0.0,0.0,1.0
c_comment_style,read,4.0,-9.100000381469727,-4.978125095367432,7.032812595367432,0.0,0.0,1.0
c_comment_style,read,8.0,-9.100000381469727,-4.978125095367432,2.9078125953674316,0.0,0.0,0.825
py_snake_camel,read,0.5,-7.131249904632568,-3.1171875,-3.866406202316284,0.0,0.225,0.0
py_snake_camel,read,1.0,-7.131249904632568,-3.1171875,1.6867187023162842,0.0,0.225,0.65
py_snake_camel,read,2.0,-7.131249904632568,-3.1171875,2.7109375,0.0,0.225,0.725
py_snake_camel,read,4.0,-7.131249904632568,-3.1171875,2.4984374046325684,0.0,0.225,0.75
py_snake_camel,read,8.0,-7.131249904632568,-3.1171875,2.16015625,0.0,0.225,0.825
py_snake_camel,ctrl_family,0.5,-7.131249904632568,-3.1171875,-6.941796779632568,0.0,0.225,0.0
py_snake_camel,ctrl_family,1.0,-7.131249904632568,-3.1171875,-6.574609279632568,0.0,0.225,0.0
py_snake_camel,ctrl_family,2.0,-7.131249904632568,-3.1171875,-5.543749809265137,0.0,0.225,0.0
py_snake_camel,ctrl_family,4.0,-7.131249904632568,-3.1171875,-5.374413967132568,0.0,0.225,0.0
py_snake_camel,ctrl_family,8.0,-7.131249904632568,-3.1171875,-5.018750190734863,0.0,0.225,0.0
py_snake_camel,ctrl_random,0.5,-7.131249904632568,-3.1171875,-7.169140815734863,0.0,0.225,0.0
py_snake_camel,ctrl_random,1.0,-7.131249904632568,-3.1171875,-7.203125,0.0,0.225,0.0
py_snake_camel,ctrl_random,2.0,-7.131249904632568,-3.1171875,-7.262109279632568,0.0,0.225,0.0
py_snake_camel,ctrl_random,4.0,-7.131249904632568,-3.1171875,-7.343359470367432,0.0,0.225,0.0
py_snake_camel,ctrl_random,8.0,-7.131249904632568,-3.1171875,-7.375781059265137,0.0,0.225,0.0
