icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
4,pre_label_token,28,5,2600,1170,12.898547172546387,19.261390686035156
4,first_label_token,0,5,2600,1170,42.084354400634766,26.026174545288086
4,first_label_token,1,5,2600,1170,35.65788650512695,21.354127883911133
4,first_label_token,2,5,2600,1170,33.06312561035156,20.571027755737305
4,first_label_token,3,5,2600,1170,28.69339942932129,18.808141708374023
4,first_label_token,4,5,2600,1170,24.087430953979492,17.577428817749023
4,first_label_token,5,5,2600,1170,20.177082061767578,16.216833114624023
4,first_label_token,6,5,2600,1170,17.52168083190918,14.627998352050781
4,first_label_token,7,5,2600,1170,18.568269729614258,13.657991409301758
4,first_label_token,8,5,2600,1170,18.522722244262695,14.056859016418457
4,first_label_token,9,5,2600,1170,14.741421699523926,11.545793533325195
4,first_label_token,10,5,2600,1170,12.80888843536377,9.466979026794434
4,first_label_token,11,5,2600,1170,12.176620483398438,9.869863510131836
4,first_label_token,12,5,2600,1170,11.592506408691406,10.55551528930664
4,first_label_token,13,5,2600,1170,11.481019020080566,11.807588577270508
4,first_label_token,14,5,2600,1170,12.049978256225586,11.926350593566895
4,first_label_token,15,5,2600,1170,11.554399490356445,12.882027626037598
4,first_label_token,16,5,2600,1170,11.461843490600586,12.755714416503906
4,first_label_token,17,5,2600,1170,12.499103546142578,13.11433219909668
4,first_label_token,18,5,2600,1170,12.791550636291504,14.168606758117676
4,first_label_token,19,5,2600,1170,13.33134937286377,15.28369426727295
4,first_label_token,20,5,2600,1170,13.221931457519531,15.277897834777832
4,first_label_token,21,5,2600,1170,12.724069595336914,16.289674758911133
4,first_label_token,22,5,2600,1170,12.586559295654297,16.889995574951172
4,first_label_token,23,5,2600,1170,13.082371711730957,16.621490478515625
4,first_label_token,24,5,2600,1170,13.271635055541992,16.675291061401367
4,first_label_token,25,5,2600,1170,13.549617767333984,18.164133071899414
4,first_label_token,26,5,2600,1170,13.60842227935791,19.54678726196289
4,first_label_token,27,5,2600,1170,13.705249786376953,21.06952476501465
4,first_label_token,28,5,2600,1170,15.477473258972168,22.958730697631836
4,last_label_token,0,5,2600,1170,40.496097564697266,26.1702880859375
4,last_label_token,1,5,2600,1170,31.09773826599121,20.37044334411621
4,last_label_token,2,5,2600,1170,30.0191650390625,20.85828971862793
4,last_label_token,3,5,2600,1170,27.79452896118164,20.195817947387695
4,last_label_token,4,5,2600,1170,25.456161499023438,17.7202091217041
4,last_label_token,5,5,2600,1170,20.53464126586914,14.41203498840332
4,last_label_token,6,5,2600,1170,16.640567779541016,14.474578857421875
4,last_label_token,7,5,2600,1170,15.800738334655762,14.141244888305664
4,last_label_token,8,5,2600,1170,15.519052505493164,15.353378295898438
4,last_label_token,9,5,2600,1170,12.829702377319336,11.838042259216309
4,last_label_token,10,5,2600,1170,11.65424633026123,10.553934097290039
4,last_label_token,11,5,2600,1170,11.408230781555176,10.057710647583008
4,last_label_token,12,5,2600,1170,10.771615028381348,10.309502601623535
4,last_label_token,13,5,2600,1170,10.910272598266602,11.950335502624512
4,last_label_token,14,5,2600,1170,10.641404151916504,11.934652328491211
4,last_label_token,15,5,2600,1170,11.44895076751709,13.418539047241211
4,last_label_token,16,5,2600,1170,10.758404731750488,12.825560569763184
4,last_label_token,17,5,2600,1170,11.664040565490723,13.633766174316406
4,last_label_token,18,5,2600,1170,11.786870002746582,14.296298027038574
4,last_label_token,19,5,2600,1170,11.951287269592285,15.2120943069458
4,last_label_token,20,5,2600,1170,11.496491432189941,15.612983703613281
4,last_label_token,21,5,2600,1170,10.560483932495117,16.566524505615234
4,last_label_token,22,5,2600,1170,10.90534496307373,17.43743896484375
4,last_label_token,23,5,2600,1170,11.179655075073242,16.91143798828125
4,last_label_token,24,5,2600,1170,11.408668518066406,16.449560165405273
4,last_label_token,25,5,2600,1170,11.46660327911377,17.949909210205078
4,last_label_token,26,5,2600,1170,11.38388442993164,20.148651123046875
4,last_label_token,27,5,2600,1170,11.177318572998047,23.62648582458496
4,last_label_token,28,5,2600,1170,11.562586784362793,25.638145446777344
