task,group,n_shots,mean_cos_own_L24,mean_cos_gm_L24,mean_delta_cos_L24,acc
next_month_of_date,train,4,0.4869,0.5106,-0.0237,0.9733
next_month_of_date,train,5,0.4913,0.5138,-0.0226,0.9867
next_month_of_date,train,6,0.4940,0.5166,-0.0226,0.9733
next_number_digits,train,0,0.3806,0.5306,-0.1500,0.0000
next_number_digits,train,1,0.4515,0.5241,-0.0726,0.7733
next_number_digits,train,2,0.4122,0.4223,-0.0101,0.9733
next_number_digits,train,3,0.3999,0.3902,0.0096,1.0000
next_number_digits,train,4,0.3935,0.3766,0.0169,0.9933
next_number_digits,train,5,0.3931,0.3718,0.0213,0.9933
next_number_digits,train,6,0.4009,0.3819,0.0190,0.9933
number_word_to_digits,heldout,0,0.3542,0.4037,-0.0495,0.6533
number_word_to_digits,heldout,1,0.4671,0.4957,-0.0287,0.9733
number_word_to_digits,heldout,2,0.4618,0.4790,-0.0172,0.9867
number_word_to_digits,heldout,3,0.4698,0.4858,-0.0161,0.9933
number_word_to_digits,heldout,4,0.4602,0.4741,-0.0139,1.0000
number_word_to_digits,heldout,5,0.4586,0.4708,-0.0122,0.9933
number_word_to_digits,heldout,6,0.4633,0.4763,-0.0130,0.9933
park-country,heldout,0,0.4743,0.4681,0.0062,0.0000
park-country,heldout,1,0.4718,0.4428,0.0290,0.7867
park-country,heldout,2,0.4723,0.4424,0.0299,0.7467
park-country,heldout,3,0.4828,0.4521,0.0307,0.7867
park-country,heldout,4,0.4876,0.4566,0.0310,0.6400
park-country,heldout,5,0.4890,0.4572,0.0319,0.7733
park-country,heldout,6,0.4887,0.4573,0.0313,0.7133
past_to_base,heldout,0,0.4266,0.5028,-0.0762,0.0000
past_to_base,heldout,1,0.5260,0.5604,-0.0343,0.7800
past_to_base,heldout,2,0.5413,0.5564,-0.0151,0.9400
past_to_base,heldout,3,0.5426,0.5498,-0.0072,0.9467
past_to_base,heldout,4,0.5457,0.5488,-0.0031,0.9600
past_to_base,heldout,5,0.5482,0.5481,0.0001,0.9600
past_to_base,heldout,6,0.5509,0.5482,0.0028,0.9800
person-instrument,train,0,0.4253,0.4775,-0.0523,0.0000
person-instrument,train,1,0.4678,0.4498,0.0181,0.1867
person-instrument,train,2,0.5168,0.4790,0.0378,0.2733
person-instrument,train,3,0.5278,0.4829,0.0449,0.3333
person-instrument,train,4,0.5304,0.4807,0.0496,0.2600
person-instrument,train,5,0.5340,0.4816,0.0525,0.2800
person-instrument,train,6,0.5366,0.4820,0.0547,0.3133
person-sport,heldout,0,0.4113,0.4473,-0.0359,0.0000
person-sport,heldout,1,0.4774,0.4524,0.0250,0.5800
person-sport,heldout,2,0.5247,0.4968,0.0279,0.6800
person-sport,heldout,3,0.5362,0.5030,0.0333,0.6533
person-sport,heldout,4,0.5376,0.5009,0.0367,0.6067
person-sport,heldout,5,0.5384,0.4988,0.0396,0.7200
person-sport,heldout,6,0.5393,0.4976,0.0417,0.7733
person_place_thing,train,0,0.4474,0.5069,-0.0595,0.0000
person_place_thing,train,1,0.4596,0.5000,-0.0404,0.0733
person_place_thing,train,2,0.5099,0.5273,-0.0174,0.3533
person_place_thing,train,3,0.5338,0.5396,-0.0058,0.5600
person_place_thing,train,4,0.5420,0.5372,0.0048,0.6933
person_place_thing,train,5,0.5505,0.5397,0.0109,0.8133
person_place_thing,train,6,0.5549,0.5410,0.0140,0.8867
plural_to_singular,train,0,0.4286,0.5132,-0.0846,0.0000
plural_to_singular,train,1,0.5078,0.5619,-0.0541,0.6800
plural_to_singular,train,2,0.5209,0.5594,-0.0385,0.9400
plural_to_singular,train,3,0.5232,0.5536,-0.0303,0.9333
plural_to_singular,train,4,0.5220,0.5477,-0.0257,0.9600
plural_to_singular,train,5,0.5228,0.5467,-0.0238,0.9800
plural_to_singular,train,6,0.5232,0.5458,-0.0226,0.9800
pos_label,train,0,0.4112,0.5153,-0.1040,0.0000
pos_label,train,1,0.4663,0.4917,-0.0254,0.7333
pos_label,train,2,0.4756,0.4846,-0.0090,0.8933
pos_label,train,3,0.4793,0.4829,-0.0036,0.8600
pos_label,train,4,0.4802,0.4803,-0.0002,0.8667
pos_label,train,5,0.4816,0.4800,0.0016,0.8800
pos_label,train,6,0.4807,0.4781,0.0026,0.8533
present-past,train,0,0.4262,0.4952,-0.0690,0.0000
present-past,train,1,0.5401,0.5570,-0.0169,0.7600
present-past,train,2,0.5671,0.5701,-0.0030,0.9400
present-past,train,3,0.5718,0.5663,0.0055,0.9733
present-past,train,4,0.5742,0.5636,0.0106,0.9467
present-past,train,5,0.5751,0.5616,0.0135,0.9867
present-past,train,6,0.5757,0.5605,0.0152,0.9733
prev_item,train,0,0.3534,0.4801,-0.1267,0.0000
prev_item,train,1,0.3822,0.4688,-0.0866,0.2333
prev_item,train,2,0.3854,0.4643,-0.0789,0.4533
prev_item,train,3,0.3913,0.4652,-0.0739,0.6600
prev_item,train,4,0.3963,0.4673,-0.0710,0.7200
prev_item,train,5,0.3971,0.4645,-0.0675,0.7467
prev_item,train,6,0.4035,0.4696,-0.0661,0.8000
prev_number_digits,train,0,0.4126,0.5304,-0.1178,0.0000
prev_number_digits,train,1,0.4828,0.5341,-0.0513,0.5733
prev_number_digits,train,2,0.4512,0.4624,-0.0112,0.9933
prev_number_digits,train,3,0.4410,0.4388,0.0022,0.9867
prev_number_digits,train,4,0.4270,0.4141,0.0129,1.0000
prev_number_digits,train,5,0.4237,0.4053,0.0183,0.9933
prev_number_digits,train,6,0.4279,0.4086,0.0193,1.0000
product-company,heldout,0,0.4388,0.4846,-0.0458,0.0000
product-company,heldout,1,0.4291,0.4232,0.0059,0.4867
product-company,heldout,2,0.4321,0.4125,0.0196,0.5933
product-company,heldout,3,0.4306,0.4022,0.0283,0.6200
product-company,heldout,4,0.4305,0.3995,0.0311,0.5933
product-company,heldout,5,0.4359,0.4033,0.0326,0.6200
product-company,heldout,6,0.4369,0.4033,0.0336,0.6400
remove_first_letter,train,0,0.3594,0.4931,-0.1337,0.0000
remove_first_letter,train,1,0.3863,0.4369,-0.0506,0.0867
remove_first_letter,train,2,0.3924,0.4036,-0.0112,0.3267
remove_first_letter,train,3,0.3944,0.3862,0.0082,0.4000
remove_first_letter,train,4,0.4049,0.3895,0.0155,0.4667
remove_first_letter,train,5,0.4052,0.3830,0.0222,0.5733
remove_first_letter,train,6,0.4105,0.3873,0.0233,0.5667
remove_last_letter,train,0,0.3591,0.4891,-0.1300,0.0000
remove_last_letter,train,1,0.4365,0.4647,-0.0282,0.2267
remove_last_letter,train,2,0.4699,0.4529,0.0171,0.3200
remove_last_letter,train,3,0.4879,0.4434,0.0445,0.3933
remove_last_letter,train,4,0.4993,0.4457,0.0536,0.4733
remove_last_letter,train,5,0.5035,0.4462,0.0573,0.4600
remove_last_letter,train,6,0.5086,0.4488,0.0598,0.4933
round_up_to_ten,train,0,0.3930,0.5428,-0.1498,0.0000
round_up_to_ten,train,1,0.4429,0.5015,-0.0586,0.4467
round_up_to_ten,train,2,0.4287,0.4636,-0.0349,0.5267
round_up_to_ten,train,3,0.4312,0.4627,-0.0315,0.6467
round_up_to_ten,train,4,0.4090,0.4290,-0.0199,0.7133
round_up_to_ten,train,5,0.4049,0.4181,-0.0132,0.7533
round_up_to_ten,train,6,0.4101,0.4209,-0.0108,0.7867
second_digit,train,0,0.4742,0.5381,-0.0639,0.0000
second_digit,train,1,0.4735,0.4856,-0.0120,0.0867
second_digit,train,2,0.4556,0.4519,0.0038,0.1933
second_digit,train,3,0.4648,0.4594,0.0054,0.3600
second_digit,train,4,0.4702,0.4643,0.0060,0.4067
second_digit,train,5,0.4741,0.4673,0.0067,0.4600
second_digit,train,6,0.4813,0.4751,0.0062,0.5200
sentiment,train,0,0.4215,0.4764,-0.0549,0.0000
sentiment,train,1,0.5515,0.5556,-0.0041,0.9267
sentiment,train,2,0.5662,0.5654,0.0009,0.9533
sentiment,train,3,0.5727,0.5715,0.0012,0.9600
sentiment,train,4,0.5756,0.5753,0.0003,0.9467
sentiment,train,5,0.5805,0.5815,-0.0010,0.9600
sentiment,train,6,0.5854,0.5858,-0.0004,0.9400
singular-plural,heldout,0,0.4045,0.4951,-0.0907,0.0000
singular-plural,heldout,1,0.4971,0.5459,-0.0488,0.7733
singular-plural,heldout,2,0.5048,0.5357,-0.0309,0.9000
singular-plural,heldout,3,0.5079,0.5262,-0.0183,0.9200
singular-plural,heldout,4,0.5110,0.5231,-0.0121,0.9533
singular-plural,heldout,5,0.5129,0.5210,-0.0080,0.9533
singular-plural,heldout,6,0.5136,0.5196,-0.0060,0.9733
singular_or_plural,train,0,0.4035,0.4912,-0.0876,0.0000
singular_or_plural,train,1,0.4887,0.5277,-0.0389,0.4467
singular_or_plural,train,2,0.5311,0.5203,0.0108,0.8600
singular_or_plural,train,3,0.5412,0.5162,0.0249,0.9133
singular_or_plural,train,4,0.5431,0.5137,0.0294,0.9067
singular_or_plural,train,5,0.5491,0.5168,0.0323,0.9467
singular_or_plural,train,6,0.5507,0.5183,0.0324,0.9600
smaller_of_pair,train,0,0.4506,0.5255,-0.0749,0.0000
smaller_of_pair,train,1,0.5056,0.5348,-0.0292,0.4667
smaller_of_pair,train,2,0.5005,0.5187,-0.0182,0.5133
smaller_of_pair,train,3,0.5085,0.5265,-0.0180,0.5467
smaller_of_pair,train,4,0.5067,0.5211,-0.0144,0.5667
smaller_of_pair,train,5,0.5082,0.5200,-0.0118,0.4867
smaller_of_pair,train,6,0.5157,0.5285,-0.0128,0.5133
spanish-english,train,0,0.4378,0.4623,-0.0245,0.0000
spanish-english,train,1,0.5845,0.5846,-0.0001,0.7733
spanish-english,train,2,0.5981,0.5961,0.0020,0.8400
spanish-english,train,3,0.5999,0.5964,0.0035,0.8333
spanish-english,train,4,0.5990,0.5947,0.0043,0.8400
spanish-english,train,5,0.5990,0.5944,0.0046,0.8400
spanish-english,train,6,0.5971,0.5924,0.0048,0.8867
spanish_noun_gender,train,0,0.3232,0.4585,-0.1353,0.0000
spanish_noun_gender,train,1,0.4946,0.5401,-0.0455,0.8467
spanish_noun_gender,train,2,0.4978,0.4951,0.0027,0.9533
spanish_noun_gender,train,3,0.4930,0.4720,0.0210,0.9333
spanish_noun_gender,train,4,0.4914,0.4650,0.0264,0.9533
spanish_noun_gender,train,5,0.4918,0.4639,0.0279,0.9667
spanish_noun_gender,train,6,0.4922,0.4616,0.0306,0.9867
starts_with_vowel,heldout,0,0.3404,0.4925,-0.1521,0.0000
starts_with_vowel,heldout,1,0.3757,0.4947,-0.1189,0.0267
starts_with_vowel,heldout,2,0.4464,0.5091,-0.0627,0.4133
starts_with_vowel,heldout,3,0.4637,0.5016,-0.0378,0.5000
starts_with_vowel,heldout,4,0.4777,0.5049,-0.0272,0.5667
starts_with_vowel,heldout,5,0.4896,0.5141,-0.0245,0.5467
starts_with_vowel,heldout,6,0.4976,0.5206,-0.0229,0.6467
strip_prefix,train,0,0.4834,0.5189,-0.0355,0.0200
strip_prefix,train,1,0.5374,0.5482,-0.0108,0.4067
strip_prefix,train,2,0.5489,0.5550,-0.0061,0.5933
strip_prefix,train,3,0.5549,0.5573,-0.0024,0.6600
strip_prefix,train,4,0.5595,0.5594,0.0001,0.7533
strip_prefix,train,5,0.5618,0.5601,0.0017,0.8000
strip_prefix,train,6,0.5629,0.5603,0.0026,0.8533
synonym,train,0,0.4943,0.5085,-0.0142,0.0333
synonym,train,1,0.5574,0.5444,0.0129,0.3467
synonym,train,2,0.5647,0.5524,0.0123,0.3800
synonym,train,3,0.5715,0.5578,0.0137,0.3400
synonym,train,4,0.5753,0.5608,0.0145,0.4267
synonym,train,5,0.5771,0.5621,0.0150,0.3933
synonym,train,6,0.5778,0.5625,0.0153,0.4200
third_person_to_base,train,0,0.4413,0.4992,-0.0579,0.0000
third_person_to_base,train,1,0.5350,0.5646,-0.0296,0.8000
third_person_to_base,train,2,0.5555,0.5744,-0.0189,0.9667
third_person_to_base,train,3,0.5566,0.5687,-0.0122,0.9867
third_person_to_base,train,4,0.5589,0.5666,-0.0077,0.9800
third_person_to_base,train,5,0.5598,0.5652,-0.0053,0.9800
third_person_to_base,train,6,0.5609,0.5644,-0.0035,0.9800
times_five,train,0,0.4055,0.5352,-0.1297,0.0000
times_five,train,1,0.4228,0.4858,-0.0630,0.4333
times_five,train,2,0.3703,0.3906,-0.0203,0.7933
times_five,train,3,0.3655,0.3697,-0.0042,0.8133
times_five,train,4,0.3495,0.3413,0.0082,0.8067
times_five,train,5,0.3407,0.3205,0.0202,0.8200
times_five,train,6,0.3592,0.3455,0.0137,0.9667
titlecase_phrase,train,0,0.4940,0.5120,-0.0180,0.0000
titlecase_phrase,train,1,0.5412,0.5281,0.0131,0.2067
titlecase_phrase,train,2,0.5421,0.5168,0.0253,0.5400
titlecase_phrase,train,3,0.5570,0.5241,0.0329,0.8533
titlecase_phrase,train,4,0.5683,0.5330,0.0353,0.8800
titlecase_phrase,train,5,0.5715,0.5344,0.0371,0.8867
titlecase_phrase,train,6,0.5788,0.5408,0.0380,0.9333
uppercase_word,train,0,0.3570,0.4924,-0.1354,0.0000
uppercase_word,train,1,0.4722,0.5189,-0.0467,0.7067
uppercase_word,train,2,0.4972,0.5015,-0.0043,0.9600
uppercase_word,train,3,0.5009,0.4976,0.0033,0.9867
uppercase_word,train,4,0.5036,0.4929,0.0108,0.9933
uppercase_word,train,5,0.5048,0.4904,0.0145,0.9867
uppercase_word,train,6,0.5058,0.4893,0.0165,0.9800
us-city-state,train,0,0.4686,0.4863,-0.0177,0.0133
us-city-state,train,1,0.4736,0.4464,0.0272,0.7600
us-city-state,train,2,0.5003,0.4684,0.0320,0.8533
us-city-state,train,3,0.5146,0.4818,0.0328,0.8200
us-city-state,train,4,0.5189,0.4857,0.0331,0.7467
us-city-state,train,5,0.5229,0.4892,0.0337,0.8200
us-city-state,train,6,0.5281,0.4944,0.0337,0.8733
verb_to_third_person,heldout,0,0.3956,0.4920,-0.0964,0.0000
verb_to_third_person,heldout,1,0.4958,0.5402,-0.0444,0.5867
verb_to_third_person,heldout,2,0.5259,0.5534,-0.0276,0.7933
verb_to_third_person,heldout,3,0.5340,0.5471,-0.0131,0.8333
verb_to_third_person,heldout,4,0.5385,0.5413,-0.0028,0.8867
verb_to_third_person,heldout,5,0.5421,0.5382,0.0038,0.9333
verb_to_third_person,heldout,6,0.5453,0.5365,0.0088,0.9200
word_polarity,train,0,0.4523,0.5102,-0.0579,0.0000
word_polarity,train,1,0.5303,0.5571,-0.0268,0.4400
word_polarity,train,2,0.5539,0.5528,0.0011,0.8400
word_polarity,train,3,0.5645,0.5535,0.0110,0.8600
word_polarity,train,4,0.5765,0.5624,0.0141,0.9533
word_polarity,train,5,0.5858,0.5699,0.0159,0.9667
word_polarity,train,6,0.5901,0.5728,0.0173,0.9867
