task,icl_index,token_role,layer,n_rows,cell_rank90,stable_rank,rank90,participation_ratio,n_pca50,mean_pairwise_cos
national_parks,3,first_label_token,10,170,240,9.38307707526341,54,28.06054955171924,10,0.5063164830207825
capitalize,3,first_label_token,10,170,240,22.90086566819218,72,56.553556200597654,21,0.5541739463806152
capitalize_first_letter,3,first_label_token,10,170,240,23.997244705428542,71,57.059729336761045,20,0.45193368196487427
commonsense_qa,3,first_label_token,11,170,245,4.901637625989634,48,14.585694161688886,6,0.68941730260849
national_parks,3,first_label_token,11,170,245,9.568922522313423,55,28.545835574802926,11,0.49563878774642944
capitalize,3,first_label_token,11,170,245,22.80120719094151,73,56.89900538114274,21,0.553268313407898
capitalize_first_letter,3,first_label_token,11,170,245,24.21366087601632,72,57.59557537263624,20,0.45088961720466614
commonsense_qa,3,first_label_token,12,170,245,4.927041186539439,48,14.64799048124561,6,0.6767427325248718
national_parks,3,first_label_token,12,170,245,9.353005939439509,54,28.138851591181403,11,0.4695975184440613
capitalize,3,first_label_token,12,170,245,22.715503908383667,73,57.09241252498629,21,0.5614330768585205
capitalize_first_letter,3,first_label_token,12,170,245,24.677784907135162,72,57.7917983509649,20,0.455349862575531
commonsense_qa,3,first_label_token,13,170,248,4.988481243115812,48,14.913619823070153,6,0.6528009176254272
national_parks,3,first_label_token,13,170,248,9.698794983554787,55,29.18414012884613,11,0.4221630394458771
capitalize,3,first_label_token,13,170,248,22.552521797360995,73,56.95405016308653,21,0.5516430139541626
capitalize_first_letter,3,first_label_token,13,170,248,24.354097965361373,72,58.095046461356475,21,0.43393296003341675
commonsense_qa,3,first_label_token,14,170,250,4.96856129631725,48,14.785994898813254,6,0.6435472369194031
national_parks,3,first_label_token,14,170,250,9.34649620357214,55,28.529687412254642,11,0.40960171818733215
capitalize,3,first_label_token,14,170,250,22.98475117540739,73,57.48199275851064,21,0.5665079951286316
capitalize_first_letter,3,first_label_token,14,170,250,25.22041940405287,72,58.60548451687309,21,0.4394095540046692
commonsense_qa,3,first_label_token,15,170,250,4.860676666574062,48,14.399343469743856,6,0.6247953176498413
national_parks,3,first_label_token,15,170,250,9.43489807552901,55,28.67534398641298,11,0.4145396649837494
capitalize,3,first_label_token,15,170,250,22.89185096338652,74,57.52552918377761,21,0.5674360394477844
capitalize_first_letter,3,first_label_token,15,170,250,24.616532921807714,72,58.63547509607125,21,0.4254333972930908
commonsense_qa,3,first_label_token,16,170,250,4.8224959727218115,48,14.23144932296111,6,0.6339187026023865
national_parks,3,first_label_token,16,170,250,9.239657438042235,55,28.25446594830104,11,0.42600974440574646
capitalize,3,first_label_token,16,170,250,22.245580974709604,74,57.306015148610435,21,0.5640546083450317
capitalize_first_letter,3,first_label_token,16,170,250,24.554684165892354,73,58.63524033703207,21,0.4269055426120758
commonsense_qa,3,first_label_token,17,170,250,4.8244290383075885,48,14.143092203423633,6,0.6341537833213806
national_parks,3,first_label_token,17,170,250,9.068933974386265,55,27.922807403804967,11,0.42486312985420227
capitalize,3,first_label_token,17,170,250,22.87040944286163,74,57.94290510611321,21,0.5808944702148438
capitalize_first_letter,3,first_label_token,17,170,250,24.89389449270676,73,59.43600323297854,21,0.4309450089931488
commonsense_qa,3,first_label_token,18,170,250,4.730797228548034,48,13.930379109387326,6,0.6229158639907837
national_parks,3,first_label_token,18,170,250,9.246308182911534,55,28.216499340762407,11,0.40903806686401367
capitalize,3,first_label_token,18,170,250,23.042107597341,74,58.1548195481774,21,0.5807160139083862
capitalize_first_letter,3,first_label_token,18,170,250,24.90718018500428,73,59.72093771536311,21,0.4234802722930908
commonsense_qa,3,first_label_token,19,170,250,4.747578203498755,48,13.831115750090353,6,0.649955153465271
national_parks,3,first_label_token,19,170,250,9.025714575878535,55,27.695310282579214,11,0.44062355160713196
capitalize,3,first_label_token,19,170,250,22.797596276215867,75,58.49316883994325,22,0.5916322469711304
capitalize_first_letter,3,first_label_token,19,170,250,25.99138930338494,74,60.138987397898376,21,0.44281938672065735
commonsense_qa,3,first_label_token,20,170,252,4.7389899379666245,48,13.784861964049645,6,0.656589686870575
national_parks,3,first_label_token,20,170,252,9.354677566890217,55,28.405233855276506,11,0.42568227648735046
capitalize,3,first_label_token,20,170,252,22.643199971301843,75,58.723195363073636,22,0.5896128416061401
capitalize_first_letter,3,first_label_token,20,170,252,26.044274033779114,74,60.582716074105036,22,0.4463006854057312
commonsense_qa,3,first_label_token,21,170,255,4.762427557686798,48,13.825804228169346,6,0.6755027770996094
national_parks,3,first_label_token,21,170,255,9.576795611107416,56,29.05500726469887,11,0.42653900384902954
capitalize,3,first_label_token,21,170,255,22.713178215745685,75,59.10292400691098,22,0.589827835559845
capitalize_first_letter,3,first_label_token,21,170,255,25.635058363990964,74,60.59986634471779,22,0.453921377658844
commonsense_qa,3,first_label_token,22,170,255,4.787917294658682,48,13.821763098017769,6,0.6925678849220276
national_parks,3,first_label_token,22,170,255,9.529208438182263,56,28.907784202353202,11,0.4252241253852844
capitalize,3,first_label_token,22,170,255,22.66361718867078,75,59.10090216934207,22,0.5892895460128784
capitalize_first_letter,3,first_label_token,22,170,255,25.375479184219458,74,60.48305325960932,22,0.45090171694755554
commonsense_qa,3,first_label_token,23,170,255,4.75357628097063,48,13.84687645836322,6,0.7036774754524231
national_parks,3,first_label_token,23,170,255,9.564277996304932,55,28.871403253353737,11,0.4293938875198364
capitalize,3,first_label_token,23,170,255,22.71476252580719,76,59.22199927745787,22,0.5869569778442383
capitalize_first_letter,3,first_label_token,23,170,255,25.771686387183532,74,60.54475951664214,22,0.4482308328151703
commonsense_qa,3,first_label_token,24,170,256,4.772016261332286,48,13.975068199240448,6,0.7145674824714661
national_parks,3,first_label_token,24,170,256,9.611492620141252,55,28.958585588560027,11,0.4463605582714081
capitalize,3,first_label_token,24,170,256,22.61100780657743,76,59.356490579635,22,0.5867424011230469
capitalize_first_letter,3,first_label_token,24,170,256,25.79809185142297,75,60.88414932087908,22,0.45670008659362793
commonsense_qa,3,first_label_token,25,170,258,4.736705350655421,49,14.042413408799918,6,0.7379518747329712
national_parks,3,first_label_token,25,170,258,9.9607394749625,56,29.54168433829347,11,0.45448413491249084
capitalize,3,first_label_token,25,170,258,23.02723092977824,76,59.85968423714322,22,0.5978652238845825
capitalize_first_letter,3,first_label_token,25,170,258,25.84290624624049,75,61.25011337581415,22,0.4623599350452423
commonsense_qa,3,first_label_token,26,170,260,4.743166212982773,49,14.171557018812964,6,0.7765620350837708
national_parks,3,first_label_token,26,170,260,10.041546143382842,56,29.906689001456307,11,0.5064752101898193
capitalize,3,first_label_token,26,170,260,23.196656515279646,76,60.012476526107235,22,0.62035071849823
capitalize_first_letter,3,first_label_token,26,170,260,25.73190640009947,75,61.41000009105339,22,0.49671176075935364
commonsense_qa,3,first_label_token,27,170,260,4.7301488136296514,49,14.257453035325762,6,0.8306138515472412
national_parks,3,first_label_token,27,170,260,10.14385886124958,56,29.89291882686515,11,0.5921928882598877
capitalize,3,first_label_token,27,170,260,23.09515980959285,76,59.99464395065995,22,0.6490411162376404
capitalize_first_letter,3,first_label_token,27,170,260,25.19432056157334,75,61.28006441650457,22,0.5585387945175171
commonsense_qa,3,first_label_token,28,170,258,4.390562441353093,48,12.995868678429302,6,0.8141615986824036
national_parks,3,first_label_token,28,170,258,10.08265123552679,56,29.600109932190193,11,0.6398406028747559
capitalize,3,first_label_token,28,170,258,18.72442737965638,75,55.984927384006774,21,0.7115557789802551
capitalize_first_letter,3,first_label_token,28,170,258,18.293680082456287,74,57.34666024633098,21,0.6609699130058289
commonsense_qa,3,last_label_token,0,170,32,3.6121798318205087,12,7.720669731286292,3,0.985431432723999
national_parks,3,last_label_token,0,170,32,4.285156069189153,14,9.578700133166954,4,0.9689334630966187
capitalize,3,last_label_token,0,170,32,5.9705149363014725,11,10.958746879080175,5,0.7297344207763672
capitalize_first_letter,3,last_label_token,0,170,32,7.767492659792272,11,12.057866881858514,5,0.7447413206100464
commonsense_qa,3,last_label_token,1,170,37,4.40534241898042,14,8.586706277996463,3,0.9648852944374084
national_parks,3,last_label_token,1,170,37,6.728605056537301,16,12.70899643987108,5,0.9451287388801575
capitalize,3,last_label_token,1,170,37,7.358715398593772,15,14.21988531491443,6,0.5399740934371948
capitalize_first_letter,3,last_label_token,1,170,37,9.149609782374446,14,15.104282562110255,6,0.574845552444458
commonsense_qa,3,last_label_token,2,170,46,4.724485296660945,17,10.230802796600315,4,0.941103994846344
national_parks,3,last_label_token,2,170,46,5.104896795740007,20,12.609350145930966,5,0.8928275108337402
capitalize,3,last_label_token,2,170,46,9.478634216900062,20,19.342512099382724,8,0.5431625843048096
capitalize_first_letter,3,last_label_token,2,170,46,10.854146645308385,20,19.7370310001266,8,0.5327799320220947
commonsense_qa,3,last_label_token,3,170,52,4.9675505301744005,19,11.54191100871924,5,0.8894485235214233
national_parks,3,last_label_token,3,170,52,5.595011465024387,22,13.529013203991713,5,0.8232165575027466
capitalize,3,last_label_token,3,170,52,10.987486680368315,23,22.187582736384506,9,0.484370619058609
capitalize_first_letter,3,last_label_token,3,170,52,12.765974051293094,23,22.603754035380245,9,0.4381226599216461
commonsense_qa,3,last_label_token,4,170,61,5.551771004524554,22,13.033928205275027,5,0.8739238977432251
national_parks,3,last_label_token,4,170,61,5.25033952599836,25,13.432766154949203,5,0.7758934497833252
capitalize,3,last_label_token,4,170,61,12.290785645530562,28,25.67868134474143,10,0.49052369594573975
capitalize_first_letter,3,last_label_token,4,170,61,15.147285384816838,27,26.229161590077744,10,0.43742915987968445
commonsense_qa,3,last_label_token,5,170,219,4.4725876446754205,46,13.231272681564962,6,0.7837755084037781
national_parks,3,last_label_token,5,170,219,9.090230768697309,51,26.65971781258793,10,0.6101257801055908
capitalize,3,last_label_token,5,170,219,20.558123449705967,70,54.21610983165381,20,0.6162775158882141
capitalize_first_letter,3,last_label_token,5,170,219,23.672894498685267,68,54.60536110212014,19,0.49472400546073914
commonsense_qa,3,last_label_token,6,170,232,4.483368420816501,47,13.35921944671389,6,0.709667444229126
national_parks,3,last_label_token,6,170,232,9.522825889660012,52,27.9684652296078,10,0.5375506281852722
capitalize,3,last_label_token,6,170,232,19.771420577547286,72,55.03131753557612,21,0.5982350707054138
capitalize_first_letter,3,last_label_token,6,170,232,23.453622999844967,70,56.03756255964813,20,0.47735509276390076
commonsense_qa,3,last_label_token,7,170,249,4.38754707765486,48,13.120235528201647,6,0.7176076173782349
national_parks,3,last_label_token,7,170,249,9.81870427340493,55,29.54991736308291,11,0.5529946684837341
capitalize,3,last_label_token,7,170,249,21.378563403467304,74,57.15355324848085,21,0.5983542799949646
capitalize_first_letter,3,last_label_token,7,170,249,24.492475610867,72,58.09299138204806,21,0.5060493350028992
commonsense_qa,3,last_label_token,8,170,259,4.466724082069879,49,13.381506041421867,6,0.6624111533164978
national_parks,3,last_label_token,8,170,259,10.08606733724385,57,30.52055864700552,11,0.5053904056549072
capitalize,3,last_label_token,8,170,259,21.181083983833076,75,57.89752742396288,22,0.5913996696472168
capitalize_first_letter,3,last_label_token,8,170,259,24.477653825875358,74,58.93613089837915,21,0.4835864007472992
commonsense_qa,3,last_label_token,9,170,268,4.844967265300847,50,14.61470256919168,6,0.6593875288963318
national_parks,3,last_label_token,9,170,268,10.394762686756199,58,31.609229371987883,12,0.5023764371871948
capitalize,3,last_label_token,9,170,268,22.41448748995182,76,59.084549098394106,22,0.5698679089546204
capitalize_first_letter,3,last_label_token,9,170,268,24.96574927479274,75,59.72638611866313,21,0.4628521800041199
commonsense_qa,3,last_label_token,10,170,272,5.075913469550371,51,15.322848660072204,7,0.6668392419815063
national_parks,3,last_label_token,10,170,272,10.589603595874822,59,32.31200250118738,12,0.5161730647087097
capitalize,3,last_label_token,10,170,272,22.316532541278455,77,59.53790230722594,22,0.5741417407989502
capitalize_first_letter,3,last_label_token,10,170,272,24.57813510095045,75,60.30987334620258,21,0.4472997486591339
commonsense_qa,3,last_label_token,11,170,275,5.168466194665659,51,15.538585215902382,7,0.663429856300354
national_parks,3,last_label_token,11,170,275,10.863197228869009,59,32.89741436753138,12,0.5085663795471191
capitalize,3,last_label_token,11,170,275,23.24320474095198,77,60.05873200987921,22,0.5606024861335754
capitalize_first_letter,3,last_label_token,11,170,275,25.162164181299175,75,60.485876059344186,21,0.44079649448394775
commonsense_qa,3,last_label_token,12,170,277,5.335427485493195,51,16.045819763864536,7,0.6497278809547424
national_parks,3,last_label_token,12,170,277,10.90161358422427,59,33.18089825537959,12,0.5081717371940613
capitalize,3,last_label_token,12,170,277,23.381285744652168,77,60.11538183085197,22,0.5578484535217285
capitalize_first_letter,3,last_label_token,12,170,277,24.805642547187876,76,60.42754130584747,21,0.4411482512950897
commonsense_qa,3,last_label_token,13,170,278,5.39457339321925,51,16.27600311383321,7,0.6311936378479004
national_parks,3,last_label_token,13,170,278,11.002300335773853,59,33.51439656984347,12,0.45978978276252747
capitalize,3,last_label_token,13,170,278,23.652593568439965,77,60.47005743291708,22,0.5448602437973022
capitalize_first_letter,3,last_label_token,13,170,278,25.622825470854934,76,60.95495994212915,22,0.418292760848999
commonsense_qa,3,last_label_token,14,170,277,5.31794781151863,51,16.05280134507273,7,0.6305826902389526
national_parks,3,last_label_token,14,170,277,10.680041508051852,59,32.83559718543542,12,0.45017513632774353
capitalize,3,last_label_token,14,170,277,23.84822125614806,77,60.59233236059634,22,0.5600860118865967
capitalize_first_letter,3,last_label_token,14,170,277,25.880283165223805,76,60.97230427865693,22,0.42878639698028564
commonsense_qa,3,last_label_token,15,170,276,5.246274475947952,51,15.795216722756638,7,0.6141294836997986
national_parks,3,last_label_token,15,170,276,10.759854339287077,59,32.9730599640371,12,0.4563235342502594
capitalize,3,last_label_token,15,170,276,23.28473446547004,77,60.49403941500832,22,0.5627913475036621
capitalize_first_letter,3,last_label_token,15,170,276,25.532912393341036,76,60.90333754387918,22,0.4189637303352356
commonsense_qa,3,last_label_token,16,170,275,5.257814349641368,51,15.797734205384172,7,0.6271554827690125
national_parks,3,last_label_token,16,170,275,10.504469187737245,59,32.65583817695304,12,0.4696059823036194
capitalize,3,last_label_token,16,170,275,22.723921952600886,77,60.18317109539915,22,0.5577608942985535
capitalize_first_letter,3,last_label_token,16,170,275,25.81591404771165,76,61.05693310964709,22,0.4223400056362152
commonsense_qa,3,last_label_token,17,170,274,5.310364067450932,52,16.101455947220366,7,0.6340086460113525
national_parks,3,last_label_token,17,170,274,10.320478325667107,58,32.24833405437683,12,0.47499558329582214
capitalize,3,last_label_token,17,170,274,22.983941305774298,77,60.67465287337422,22,0.5715135931968689
capitalize_first_letter,3,last_label_token,17,170,274,26.51667835367782,76,62.12822310307522,22,0.42833080887794495
commonsense_qa,3,last_label_token,18,170,275,5.243257955076514,51,15.824786777116048,7,0.6180542707443237
national_parks,3,last_label_token,18,170,275,10.398161093070968,59,32.2540237061321,12,0.4553465247154236
capitalize,3,last_label_token,18,170,275,23.19967792193007,77,60.894213815012755,22,0.573182225227356
capitalize_first_letter,3,last_label_token,18,170,275,26.522292165396568,76,62.3965379016116,22,0.41215699911117554
commonsense_qa,3,last_label_token,19,170,276,5.314343591707679,52,16.01673215273366,7,0.6421489715576172
national_parks,3,last_label_token,19,170,276,10.286549205049136,58,32.161771032431126,12,0.4896511435508728
capitalize,3,last_label_token,19,170,276,23.446880730490566,77,61.33633209697954,23,0.575439453125
capitalize_first_letter,3,last_label_token,19,170,276,26.901440942095498,77,63.04761739558864,22,0.42353305220603943
commonsense_qa,3,last_label_token,20,170,278,5.295375362109374,52,15.989805412957528,7,0.6530036926269531
national_parks,3,last_label_token,20,170,278,10.602906614832332,59,32.814523026129365,12,0.4872863292694092
capitalize,3,last_label_token,20,170,278,23.354960608303024,78,61.715391248704094,23,0.5735741257667542
capitalize_first_letter,3,last_label_token,20,170,278,26.672192530521258,77,63.36815610116835,23,0.42583224177360535
commonsense_qa,3,last_label_token,21,170,279,5.2424818702825435,52,15.885602785390569,7,0.670742392539978
national_parks,3,last_label_token,21,170,279,10.818185582637435,59,33.033015325548746,12,0.49333077669143677
capitalize,3,last_label_token,21,170,279,23.509748344036108,78,61.87945908305296,23,0.578087329864502
capitalize_first_letter,3,last_label_token,21,170,279,26.839454356092737,77,63.22333202305226,22,0.4247656464576721
commonsense_qa,3,last_label_token,22,170,279,5.202186989689022,52,15.765630949965525,7,0.6897591352462769
national_parks,3,last_label_token,22,170,279,10.917369966651846,59,33.068017186273046,12,0.5085487961769104
capitalize,3,last_label_token,22,170,279,23.786485773087122,78,62.160493854463304,23,0.5807612538337708
capitalize_first_letter,3,last_label_token,22,170,279,27.3510479962371,77,63.36205225161935,22,0.42801758646965027
commonsense_qa,3,last_label_token,23,170,280,5.298915823400354,52,15.990633103960977,7,0.7011286616325378
national_parks,3,last_label_token,23,170,280,10.867777632708082,59,33.08899766594047,12,0.5165567994117737
capitalize,3,last_label_token,23,170,280,24.303953937029597,78,62.407030238637,23,0.5811296701431274
capitalize_first_letter,3,last_label_token,23,170,280,27.235364415067277,77,63.615143371330284,23,0.42516207695007324
commonsense_qa,3,last_label_token,24,170,282,5.333218921958425,52,16.112044568019947,7,0.7079902291297913
national_parks,3,last_label_token,24,170,282,10.987107670139078,59,33.43621809822362,12,0.5280922055244446
capitalize,3,last_label_token,24,170,282,23.750838884128775,78,62.358617352570334,23,0.5867450833320618
capitalize_first_letter,3,last_label_token,24,170,282,27.48765406902601,78,63.94927594182627,23,0.4323212504386902
commonsense_qa,3,last_label_token,25,170,285,5.479541272150244,53,16.634499062276554,7,0.7303946614265442
national_parks,3,last_label_token,25,170,285,11.146823886223157,60,33.77618415103338,12,0.5465952754020691
capitalize,3,last_label_token,25,170,285,24.15733791194449,79,62.86829576423709,23,0.5910139679908752
capitalize_first_letter,3,last_label_token,25,170,285,27.531853023384656,78,64.2019668140151,23,0.44423189759254456
commonsense_qa,3,last_label_token,26,170,287,5.507143492116991,53,16.714227365211695,7,0.7706992030143738
national_parks,3,last_label_token,26,170,287,11.276032020306927,60,34.13036306453304,13,0.6070799231529236
capitalize,3,last_label_token,26,170,287,23.78902426396559,79,62.98362319491879,23,0.6228881478309631
capitalize_first_letter,3,last_label_token,26,170,287,27.596747990779914,78,64.53818396668801,23,0.4758751094341278
commonsense_qa,3,last_label_token,27,170,288,5.5997007520363,53,17.05185526866707,7,0.8269954323768616
national_parks,3,last_label_token,27,170,288,11.249632932813125,60,33.99156282013707,13,0.6958044171333313
capitalize,3,last_label_token,27,170,288,24.012083196510794,79,62.979891544643074,23,0.6637707352638245
capitalize_first_letter,3,last_label_token,27,170,288,27.075823974471223,78,64.52155610736025,23,0.5481179356575012
commonsense_qa,3,last_label_token,28,170,288,5.637560693418388,53,17.173305445426475,7,0.8247180581092834
national_parks,3,last_label_token,28,170,288,11.13646399898123,60,33.27453360446121,12,0.6919766068458557
capitalize,3,last_label_token,28,170,288,22.842043225810077,79,61.05046943888556,23,0.6686749458312988
capitalize_first_letter,3,last_label_token,28,170,288,25.698899570731584,78,63.47154424160629,23,0.6335460543632507
commonsense_qa,4,pre_label_token,0,170,1,1.000001806239457,1,1.0000036124820657,1,0.16129350662231445
national_parks,4,pre_label_token,0,170,1,1.000001672331997,1,1.0000033446666827,1,0.8072097897529602
capitalize,4,pre_label_token,0,170,1,1.0000019635403372,1,1.0000039270843946,1,0.6751863360404968
capitalize_first_letter,4,pre_label_token,0,170,1,1.0000018363349676,1,1.0000036726731998,1,0.4298399090766907
commonsense_qa,4,pre_label_token,1,170,12,3.2356263885591714,8,5.9292577876001,2,0.999951958656311
national_parks,4,pre_label_token,1,170,12,2.752102398106073,8,5.200011003281552,2,0.9999484419822693
capitalize,4,pre_label_token,1,170,12,2.315153651015909,7,4.307991322716105,2,0.9998747706413269
capitalize_first_letter,4,pre_label_token,1,170,12,2.2222535587074246,7,4.064003133782106,2,0.9998669028282166
commonsense_qa,4,pre_label_token,2,170,114,3.3060034303641257,30,8.457167129331173,4,0.9957990646362305
national_parks,4,pre_label_token,2,170,114,4.786756399652347,37,13.913504498539698,6,0.9930603504180908
capitalize,4,pre_label_token,2,170,114,18.12595702766357,46,40.04638262697239,15,0.9728435277938843
capitalize_first_letter,4,pre_label_token,2,170,114,19.510692320310074,45,38.78970405296805,14,0.9732605814933777
commonsense_qa,4,pre_label_token,3,170,129,3.511212156183253,33,9.372136427052402,4,0.9912599921226501
national_parks,4,pre_label_token,3,170,129,4.805044762625657,39,13.653871000335283,6,0.9842320084571838
capitalize,4,pre_label_token,3,170,129,18.959459447186532,51,43.027327134211795,16,0.9487099647521973
capitalize_first_letter,4,pre_label_token,3,170,129,19.858746083510606,50,42.549147786251325,15,0.9494061470031738
commonsense_qa,4,pre_label_token,4,170,179,4.230789262831606,41,12.284598796339699,6,0.970305860042572
national_parks,4,pre_label_token,4,170,179,6.162152631068186,46,18.454559080111007,7,0.9430481791496277
capitalize,4,pre_label_token,4,170,179,21.85028129095906,62,50.76470574499841,18,0.8714743852615356
capitalize_first_letter,4,pre_label_token,4,170,179,24.80158571576377,61,51.35111360629478,18,0.870549738407135
commonsense_qa,4,pre_label_token,5,170,208,4.714016182114922,45,13.884057878510289,6,0.949748694896698
national_parks,4,pre_label_token,5,170,208,7.033387647441352,49,21.287404951558933,8,0.9021012187004089
capitalize,4,pre_label_token,5,170,208,22.267781241461716,67,53.96773146154534,20,0.8218859434127808
capitalize_first_letter,4,pre_label_token,5,170,208,25.55740384441704,66,54.42875614093159,19,0.8082392811775208
commonsense_qa,4,pre_label_token,6,170,218,5.04014847670099,46,14.799250040837295,6,0.9269353151321411
national_parks,4,pre_label_token,6,170,218,7.355073253325631,51,22.387998406225552,9,0.8582683801651001
capitalize,4,pre_label_token,6,170,218,22.188093455166157,68,54.87945850182711,20,0.7743836641311646
capitalize_first_letter,4,pre_label_token,6,170,218,25.055036195130008,68,55.5887583543448,20,0.7556053400039673
commonsense_qa,4,pre_label_token,7,170,232,5.177125968095666,48,15.521846457573503,7,0.9084815979003906
national_parks,4,pre_label_token,7,170,232,7.333582194749281,53,22.711614580978345,9,0.8226632475852966
capitalize,4,pre_label_token,7,170,232,22.351053251375898,71,56.008690044853104,21,0.7426944375038147
capitalize_first_letter,4,pre_label_token,7,170,232,25.5985747721468,70,57.253254419821985,20,0.7144762873649597
commonsense_qa,4,pre_label_token,8,170,239,5.439183068552934,48,16.221804049652714,7,0.8887131214141846
national_parks,4,pre_label_token,8,170,239,7.779578538362032,53,23.940701617768834,9,0.777776837348938
capitalize,4,pre_label_token,8,170,239,22.47811234374445,71,56.37574538244428,21,0.715107262134552
capitalize_first_letter,4,pre_label_token,8,170,239,24.99339453748966,71,57.607029358412724,20,0.6770815849304199
commonsense_qa,4,pre_label_token,9,170,256,5.966707818331721,51,18.028791282678142,7,0.8622190356254578
national_parks,4,pre_label_token,9,170,256,8.32353415411333,56,25.8046232201541,10,0.7231568694114685
capitalize,4,pre_label_token,9,170,256,23.206528808476534,73,57.559963236644805,21,0.6667739152908325
capitalize_first_letter,4,pre_label_token,9,170,256,26.6495275807852,72,58.726407541091454,21,0.6260800957679749
commonsense_qa,4,pre_label_token,10,170,258,6.250667379751306,51,18.63009360080303,7,0.8364293575286865
national_parks,4,pre_label_token,10,170,258,8.860138218004703,57,27.80527201083331,11,0.6794042587280273
capitalize,4,pre_label_token,10,170,258,23.077921609670188,72,57.06034235507858,21,0.6253820657730103
capitalize_first_letter,4,pre_label_token,10,170,258,26.233115578007418,72,58.60887362300037,21,0.569666862487793
commonsense_qa,4,pre_label_token,11,170,262,6.41642364084913,52,19.077039790053053,7,0.8269860148429871
national_parks,4,pre_label_token,11,170,262,9.135892042075675,57,27.88977368572767,10,0.6621316075325012
capitalize,4,pre_label_token,11,170,262,22.988461453065508,73,57.243733574525415,21,0.6230680346488953
capitalize_first_letter,4,pre_label_token,11,170,262,26.51177231362344,72,59.18458782117935,21,0.5675764083862305
commonsense_qa,4,pre_label_token,12,170,269,6.540885887718664,53,19.700869321012608,8,0.8159259557723999
national_parks,4,pre_label_token,12,170,269,9.386840494868961,58,29.05951275484555,11,0.6313987970352173
capitalize,4,pre_label_token,12,170,269,23.391777715377838,74,58.737600427987985,21,0.6320769786834717
capitalize_first_letter,4,pre_label_token,12,170,269,26.27251033120062,73,59.88286533763999,21,0.5590394139289856
commonsense_qa,4,pre_label_token,13,170,284,6.619466973323154,54,20.231250687924152,8,0.7796664237976074
national_parks,4,pre_label_token,13,170,284,11.716254186578151,60,34.310006342178546,13,0.5761045217514038
capitalize,4,pre_label_token,13,170,284,23.667656550083993,75,59.47788982769354,22,0.6048836708068848
capitalize_first_letter,4,pre_label_token,13,170,284,26.573859025814553,75,60.6553092195803,21,0.5186718106269836
commonsense_qa,4,pre_label_token,14,170,273,6.085903107673175,53,18.63400024824734,7,0.7620083093643188
national_parks,4,pre_label_token,14,170,273,10.362996753754844,58,30.779747655478953,11,0.567990779876709
capitalize,4,pre_label_token,14,170,273,22.424856001975726,74,58.30888636902289,22,0.5868908762931824
capitalize_first_letter,4,pre_label_token,14,170,273,24.7173357653353,74,59.57060537673778,21,0.48743340373039246
commonsense_qa,4,pre_label_token,15,170,280,6.222940601736852,53,19.02671941855717,8,0.7401211261749268
national_parks,4,pre_label_token,15,170,280,10.358859216561697,59,31.429435657496583,12,0.5598505139350891
capitalize,4,pre_label_token,15,170,280,23.13209350122162,76,59.759777057446634,22,0.585715115070343
capitalize_first_letter,4,pre_label_token,15,170,280,25.350576463148982,75,60.521104339064706,21,0.4677428901195526
commonsense_qa,4,pre_label_token,16,170,284,5.993022533126612,53,18.484844201435305,7,0.7379209399223328
national_parks,4,pre_label_token,16,170,284,11.025805777366042,59,32.662289525263,12,0.541151225566864
capitalize,4,pre_label_token,16,170,284,23.07654874860128,76,60.093973037096625,22,0.5958651304244995
capitalize_first_letter,4,pre_label_token,16,170,284,25.519054363398038,75,60.78692263565022,21,0.4631167948246002
commonsense_qa,4,pre_label_token,17,170,270,5.663125513690611,52,17.374909154868778,7,0.7143178582191467
national_parks,4,pre_label_token,17,170,270,11.306608906891213,58,32.96960891905075,12,0.5100488662719727
capitalize,4,pre_label_token,17,170,270,22.834083756802,75,58.89346677096496,22,0.5830113291740417
capitalize_first_letter,4,pre_label_token,17,170,270,25.014766997533208,74,59.92485598261457,21,0.45213836431503296
commonsense_qa,4,pre_label_token,18,170,280,5.384471258060785,52,16.63194086943822,7,0.6833797693252563
national_parks,4,pre_label_token,18,170,280,12.263944710067447,60,34.74999834945375,13,0.4952903389930725
capitalize,4,pre_label_token,18,170,280,23.317974610291085,76,60.23457186129986,22,0.592880368232727
capitalize_first_letter,4,pre_label_token,18,170,280,25.834210480856985,76,61.43698531664794,22,0.4316304922103882
commonsense_qa,4,pre_label_token,19,170,282,5.343390608056865,53,16.461615823944378,7,0.6865770816802979
national_parks,4,pre_label_token,19,170,282,12.392996469620929,60,34.494297289796066,13,0.4834672808647156
capitalize,4,pre_label_token,19,170,282,23.63637612893071,77,60.57958379696477,22,0.6097760200500488
capitalize_first_letter,4,pre_label_token,19,170,282,26.393070101156543,76,61.800790055617014,22,0.4509381651878357
commonsense_qa,4,pre_label_token,20,170,276,5.178375130241676,51,15.751346690148118,7,0.6728419661521912
national_parks,4,pre_label_token,20,170,276,12.284099479364876,59,34.35163488390877,12,0.4434444308280945
capitalize,4,pre_label_token,20,170,276,23.5119592871229,77,60.223220577290554,22,0.6226748824119568
capitalize_first_letter,4,pre_label_token,20,170,276,25.946256059753768,76,61.46129950548565,22,0.4565708041191101
commonsense_qa,4,pre_label_token,21,170,280,5.035678188589107,51,15.34616733343314,7,0.6850540041923523
national_parks,4,pre_label_token,21,170,280,12.819639693441559,60,36.41116506194877,13,0.4238987863063812
