family,direction,context,target,k_ctx,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,unsteered_accuracy,unsteered_ci_lo,unsteered_ci_hi,unsteered_judge_ok,cf_accuracy,reference,reach,pass_50,sig_vs_unsteered
py_is_none,nat2alt,nat,alt,1,0,1.0,114,0.456,0.368,0.548,0.491,0.044,0.465,0.868,0.0,0.0,0.033,0.912,,0.439,1.039,True,True
py_ternary,alt2nat,alt,nat,1,10,4.0,187,0.064,0.037,0.109,0.107,0.583,0.31,0.85,0.016,0.005,0.046,0.893,,0.599,0.107,False,True
py_ternary,nat2alt,nat,alt,1,1,4.0,186,0.28,0.22,0.348,0.5,0.183,0.317,0.543,0.097,0.062,0.148,0.892,,0.679,0.412,False,True
early_return,alt2nat,alt,nat,1,9,4.0,200,0.345,0.283,0.413,0.375,0.355,0.27,0.86,0.36,0.297,0.429,0.865,,0.44,0.784,True,False
early_return,nat2alt,nat,alt,1,3,0.5,200,0.29,0.232,0.356,0.305,0.395,0.3,0.935,0.26,0.204,0.325,0.93,,0.385,0.753,True,False
py_join_concat,alt2nat,alt,nat,1,4,4.0,170,0.224,0.167,0.292,0.5,0.124,0.376,0.535,0.076,0.045,0.126,0.871,,0.585,0.383,False,True
py_join_concat,nat2alt,nat,alt,1,6,4.0,131,0.26,0.192,0.341,0.397,0.206,0.397,0.695,0.092,0.053,0.153,0.885,,0.517,0.503,True,True
py_with_open,alt2nat,alt,nat,1,3,4.0,200,0.815,0.755,0.863,0.91,0.03,0.06,0.88,0.0,0.0,0.019,0.875,,0.84,0.97,True,True
py_with_open,nat2alt,nat,alt,1,1,4.0,200,0.24,0.186,0.304,0.35,0.54,0.11,0.755,0.025,0.011,0.057,0.9,,0.86,0.279,False,True
py_enumerate,alt2nat,alt,nat,1,11,4.0,24,0.083,0.023,0.258,0.208,0.417,0.375,0.792,0.042,0.007,0.202,0.917,,0.798,0.104,False,False
py_enumerate,nat2alt,nat,alt,1,4,4.0,197,0.31,0.249,0.377,0.371,0.203,0.426,0.645,0.0,0.0,0.019,0.883,,0.616,0.503,True,True
py_self_name,alt2nat,alt,nat,1,2,1.0,200,0.855,0.8,0.897,0.895,0.0,0.105,0.955,0.005,0.001,0.028,0.975,,0.805,1.062,True,True
py_self_name,nat2alt,nat,alt,1,0,2.0,200,0.79,0.728,0.841,0.885,0.005,0.11,0.895,0.005,0.001,0.028,0.99,,0.8,0.988,True,True
py_indent,alt2nat,alt,nat,1,0,1.0,200,0.905,0.856,0.938,0.99,0.0,0.01,0.91,0.325,0.264,0.393,0.925,,0.93,0.973,True,True
