family,direction,layer,alpha,target_rate,unsteered
ampersand,nat2alt,26,4.0,0.08,0.0
ampersand,nat2alt,27,0.5,0.02,0.0
ampersand,nat2alt,27,1.0,0.0,0.0
ampersand,nat2alt,27,2.0,0.0,0.0
ampersand,nat2alt,27,4.0,0.0,0.0
brit_t_past,alt2nat,0,0.5,0.5,0.5
brit_t_past,alt2nat,0,1.0,0.62,0.5
brit_t_past,alt2nat,0,2.0,0.64,0.5
brit_t_past,alt2nat,0,4.0,0.72,0.5
brit_t_past,alt2nat,1,0.5,0.5,0.5
brit_t_past,alt2nat,1,1.0,0.6,0.5
brit_t_past,alt2nat,1,2.0,0.58,0.5
brit_t_past,alt2nat,1,4.0,0.7,0.5
brit_t_past,alt2nat,2,0.5,0.64,0.5
brit_t_past,alt2nat,2,1.0,0.64,0.5
brit_t_past,alt2nat,2,2.0,0.68,0.5
brit_t_past,alt2nat,2,4.0,0.68,0.5
brit_t_past,alt2nat,3,0.5,0.5,0.5
brit_t_past,alt2nat,3,1.0,0.64,0.5
brit_t_past,alt2nat,3,2.0,0.58,0.5
brit_t_past,alt2nat,3,4.0,0.52,0.5
brit_t_past,alt2nat,4,0.5,0.56,0.5
brit_t_past,alt2nat,4,1.0,0.7,0.5
brit_t_past,alt2nat,4,2.0,0.62,0.5
brit_t_past,alt2nat,4,4.0,0.66,0.5
brit_t_past,alt2nat,5,0.5,0.54,0.5
brit_t_past,alt2nat,5,1.0,0.68,0.5
brit_t_past,alt2nat,5,2.0,0.66,0.5
brit_t_past,alt2nat,5,4.0,0.68,0.5
brit_t_past,alt2nat,6,0.5,0.6,0.5
brit_t_past,alt2nat,6,1.0,0.54,0.5
brit_t_past,alt2nat,6,2.0,0.64,0.5
brit_t_past,alt2nat,6,4.0,0.64,0.5
brit_t_past,alt2nat,7,0.5,0.54,0.5
brit_t_past,alt2nat,7,1.0,0.64,0.5
brit_t_past,alt2nat,7,2.0,0.76,0.5
brit_t_past,alt2nat,7,4.0,0.66,0.5
brit_t_past,alt2nat,8,0.5,0.64,0.5
brit_t_past,alt2nat,8,1.0,0.6,0.5
brit_t_past,alt2nat,8,2.0,0.68,0.5
brit_t_past,alt2nat,8,4.0,0.68,0.5
brit_t_past,alt2nat,9,0.5,0.66,0.5
brit_t_past,alt2nat,9,1.0,0.54,0.5
brit_t_past,alt2nat,9,2.0,0.6,0.5
brit_t_past,alt2nat,9,4.0,0.76,0.5
brit_t_past,alt2nat,10,0.5,0.56,0.5
brit_t_past,alt2nat,10,1.0,0.58,0.5
brit_t_past,alt2nat,10,2.0,0.7,0.5
brit_t_past,alt2nat,10,4.0,0.76,0.5
brit_t_past,alt2nat,11,0.5,0.54,0.5
