family,direction,context,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k3,step3_context_k3
latin_abbr,alt2nat,alt,nat,alt2nat_cf,6,4.0,hyphen_compound,200,0.3,0.241,0.367,0.385,0.115,0.5,0.755,0.005,9.4,0.355,0.175
hyphen_compound,nat2alt,nat,alt,base,0,0.0,,200,0.1,0.066,0.149,0.11,0.645,0.245,0.85,0.0,3.0,0.145,0.6
hyphen_compound,nat2alt,nat,alt,nat2alt_top1,8,4.0,,200,0.115,0.078,0.167,0.135,0.63,0.235,0.845,0.0,3.0,0.145,0.6
hyphen_compound,nat2alt,nat,alt,nat2alt_top2,8,0.5,,200,0.1,0.066,0.149,0.125,0.66,0.215,0.865,0.005,3.0,0.145,0.6
hyphen_compound,nat2alt,nat,alt,nat2alt_cf,8,4.0,latin_plural,200,0.13,0.09,0.184,0.135,0.635,0.23,0.84,0.01,3.0,0.145,0.6
hyphen_compound,alt2nat,alt,nat,base,0,0.0,,200,0.46,0.392,0.529,0.56,0.165,0.275,0.84,0.0,8.8,0.6,0.145
hyphen_compound,alt2nat,alt,nat,alt2nat_top1,12,4.0,,200,0.565,0.496,0.632,0.66,0.14,0.2,0.855,0.0,8.8,0.6,0.145
hyphen_compound,alt2nat,alt,nat,alt2nat_top2,10,2.0,,200,0.575,0.506,0.641,0.635,0.095,0.27,0.84,0.01,8.8,0.6,0.145
hyphen_compound,alt2nat,alt,nat,alt2nat_cf,12,4.0,latin_plural,200,0.535,0.466,0.603,0.6,0.18,0.22,0.845,0.005,8.8,0.6,0.145
flat_adverb,nat2alt,nat,alt,base,0,0.0,,200,0.07,0.042,0.114,0.075,0.68,0.245,0.86,0.0,3.0,0.085,0.58
flat_adverb,nat2alt,nat,alt,nat2alt_top1,8,2.0,,200,0.075,0.046,0.12,0.095,0.625,0.28,0.845,0.0,3.0,0.085,0.58
flat_adverb,nat2alt,nat,alt,nat2alt_top2,10,4.0,,200,0.135,0.094,0.189,0.16,0.505,0.335,0.815,0.0,3.0,0.085,0.58
flat_adverb,nat2alt,nat,alt,nat2alt_cf,8,2.0,uk_vocab,200,0.05,0.027,0.09,0.055,0.65,0.295,0.83,0.0,3.0,0.085,0.58
flat_adverb,alt2nat,alt,nat,base,0,0.0,,200,0.52,0.451,0.588,0.595,0.085,0.32,0.865,0.0,3.0,0.58,0.085
flat_adverb,alt2nat,alt,nat,alt2nat_top1,8,4.0,,200,0.61,0.541,0.675,0.66,0.06,0.28,0.91,0.0,3.0,0.58,0.085
flat_adverb,alt2nat,alt,nat,alt2nat_top2,20,2.0,,200,0.545,0.476,0.613,0.635,0.07,0.295,0.87,0.0,3.0,0.58,0.085
flat_adverb,alt2nat,alt,nat,alt2nat_cf,8,4.0,uk_vocab,200,0.515,0.446,0.583,0.61,0.115,0.275,0.85,0.0,3.0,0.58,0.085
irreg_past,nat2alt,nat,alt,base,0,0.0,,200,0.02,0.008,0.05,0.03,0.4,0.57,0.785,0.005,4.1,0.04,0.31
irreg_past,nat2alt,nat,alt,nat2alt_top1,2,0.5,,200,0.075,0.046,0.12,0.075,0.42,0.505,0.825,0.0,4.1,0.04,0.31
irreg_past,nat2alt,nat,alt,nat2alt_top2,10,0.5,,200,0.03,0.014,0.064,0.03,0.37,0.6,0.795,0.005,4.1,0.04,0.31
irreg_past,nat2alt,nat,alt,nat2alt_cf,2,0.5,title_abbr,200,0.03,0.014,0.064,0.055,0.37,0.575,0.765,0.005,4.1,0.04,0.31
irreg_past,alt2nat,alt,nat,base,0,0.0,,200,0.295,0.236,0.362,0.355,0.105,0.54,0.855,0.005,5.8,0.31,0.04
irreg_past,alt2nat,alt,nat,alt2nat_top1,10,4.0,,200,0.345,0.283,0.413,0.41,0.08,0.51,0.8,0.0,5.8,0.31,0.04
irreg_past,alt2nat,alt,nat,alt2nat_top2,16,1.0,,200,0.3,0.241,0.367,0.38,0.075,0.545,0.795,0.015,5.8,0.31,0.04
irreg_past,alt2nat,alt,nat,alt2nat_cf,10,4.0,title_abbr,200,0.27,0.213,0.335,0.33,0.065,0.605,0.78,0.0,5.8,0.31,0.04
latin_plural,nat2alt,nat,alt,base,0,0.0,,200,0.255,0.2,0.32,0.32,0.48,0.2,0.825,0.0,4.7,0.275,0.42
latin_plural,nat2alt,nat,alt,nat2alt_top1,10,2.0,,200,0.29,0.232,0.356,0.335,0.505,0.16,0.87,0.0,4.7,0.275,0.42
latin_plural,nat2alt,nat,alt,nat2alt_top2,16,4.0,,200,0.29,0.232,0.356,0.375,0.45,0.175,0.815,0.0,4.7,0.275,0.42
latin_plural,nat2alt,nat,alt,nat2alt_cf,10,2.0,register,200,0.315,0.255,0.382,0.38,0.45,0.17,0.855,0.005,4.7,0.275,0.42
latin_plural,alt2nat,alt,nat,base,0,0.0,,200,0.365,0.301,0.434,0.415,0.365,0.22,0.83,0.0,4.9,0.42,0.275
latin_plural,alt2nat,alt,nat,alt2nat_top1,2,4.0,,200,0.445,0.378,0.514,0.5,0.3,0.2,0.83,0.0,4.9,0.42,0.275
latin_plural,alt2nat,alt,nat,alt2nat_top2,10,0.5,,200,0.475,0.407,0.544,0.52,0.315,0.165,0.84,0.0,4.9,0.42,0.275
latin_plural,alt2nat,alt,nat,alt2nat_cf,2,4.0,register,200,0.455,0.387,0.524,0.51,0.295,0.195,0.86,0.0,4.9,0.42,0.275
title_abbr,nat2alt,nat,alt,base,0,0.0,,200,0.14,0.099,0.195,0.2,0.495,0.305,0.78,0.015,3.0,0.27,0.395
title_abbr,nat2alt,nat,alt,nat2alt_top1,6,2.0,,200,0.17,0.124,0.228,0.315,0.25,0.435,0.665,0.005,3.0,0.27,0.395
title_abbr,nat2alt,nat,alt,nat2alt_top2,2,2.0,,200,0.21,0.159,0.272,0.3,0.25,0.45,0.73,0.015,3.0,0.27,0.395
title_abbr,nat2alt,nat,alt,nat2alt_cf,6,2.0,flat_adverb,200,0.09,0.058,0.138,0.135,0.51,0.355,0.695,0.005,3.0,0.27,0.395
title_abbr,alt2nat,alt,nat,base,0,0.0,,200,0.22,0.168,0.282,0.265,0.415,0.32,0.68,0.025,5.8,0.395,0.27
title_abbr,alt2nat,alt,nat,alt2nat_top1,4,4.0,,200,0.47,0.402,0.539,0.595,0.13,0.275,0.75,0.01,5.8,0.395,0.27
title_abbr,alt2nat,alt,nat,alt2nat_top2,6,4.0,,200,0.46,0.392,0.529,0.6,0.095,0.305,0.695,0.01,5.8,0.395,0.27
title_abbr,alt2nat,alt,nat,alt2nat_cf,4,4.0,flat_adverb,200,0.27,0.213,0.335,0.36,0.17,0.47,0.62,0.005,5.8,0.395,0.27
