icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
2,first_label_token,26,32,16,48,2600,1170,3.0912396907806396,6.668964862823486,0.04058493673801422,0.27080637216567993,0.1967194378376007
2,first_label_token,27,32,16,48,2600,1170,3.146435499191284,6.536728858947754,0.04120168089866638,0.26912960410118103,0.1967194378376007
2,first_label_token,28,32,16,48,2600,1170,3.1911051273345947,6.655596733093262,0.041794970631599426,0.2703971266746521,0.1967194378376007
2,last_label_token,0,32,16,48,2600,1170,7.944352149963379,8.223855018615723,0.09785063564777374,0.2906547486782074,0.1967194378376007
2,last_label_token,1,32,16,48,2600,1170,5.922801971435547,7.94833517074585,0.0743839219212532,0.28812554478645325,0.1967194378376007
2,last_label_token,2,32,16,48,2600,1170,4.384397506713867,7.031102657318115,0.056506674736738205,0.277203768491745,0.1967194378376007
2,last_label_token,3,32,16,48,2600,1170,4.0634660720825195,6.823192119598389,0.052742309868335724,0.2747669219970703,0.1967194378376007
2,last_label_token,4,32,16,48,2600,1170,3.391407012939453,6.1578874588012695,0.04487495869398117,0.26662909984588623,0.1967194378376007
2,last_label_token,5,32,16,48,2600,1170,2.9310450553894043,5.569972038269043,0.03955494239926338,0.2595077455043793,0.1967194378376007
2,last_label_token,6,32,16,48,2600,1170,2.752781629562378,5.070478439331055,0.03742685541510582,0.25352156162261963,0.1967194378376007
2,last_label_token,7,32,16,48,2600,1170,2.566615104675293,4.612675189971924,0.03515535965561867,0.24779921770095825,0.1967194378376007
2,last_label_token,8,32,16,48,2600,1170,2.467129707336426,4.277246952056885,0.0340370275080204,0.24419362843036652,0.1967194378376007
2,last_label_token,9,32,16,48,2600,1170,2.407959222793579,4.197778224945068,0.03290987014770508,0.24194437265396118,0.1967194378376007
2,last_label_token,10,32,16,48,2600,1170,2.4116628170013428,4.2801313400268555,0.03275543078780174,0.24245931208133698,0.1967194378376007
2,last_label_token,11,32,16,48,2600,1170,2.3671226501464844,4.024238586425781,0.032370295375585556,0.24020996689796448,0.1967194378376007
2,last_label_token,12,32,16,48,2600,1170,2.304516553878784,4.04540491104126,0.03175949677824974,0.24091942608356476,0.1967194378376007
2,last_label_token,13,32,16,48,2600,1170,2.2818026542663574,4.04498815536499,0.0315859280526638,0.24101828038692474,0.1967194378376007
2,last_label_token,14,32,16,48,2600,1170,2.289533853530884,4.144414901733398,0.03163594752550125,0.24193863570690155,0.1967194378376007
2,last_label_token,15,32,16,48,2600,1170,2.2846951484680176,4.3455963134765625,0.03164847567677498,0.2442108392715454,0.1967194378376007
2,last_label_token,16,32,16,48,2600,1170,2.230001449584961,4.541056156158447,0.031069593504071236,0.24648606777191162,0.1967194378376007
2,last_label_token,17,32,16,48,2600,1170,2.2278945446014404,4.564498424530029,0.031020184978842735,0.24669893085956573,0.1967194378376007
2,last_label_token,18,32,16,48,2600,1170,2.235415458679199,4.719454288482666,0.031134355813264847,0.24872538447380066,0.1967194378376007
2,last_label_token,19,32,16,48,2600,1170,2.279644727706909,4.829718112945557,0.03161749988794327,0.24984031915664673,0.1967194378376007
2,last_label_token,20,32,16,48,2600,1170,2.2866616249084473,4.961244106292725,0.03170032054185867,0.25143057107925415,0.1967194378376007
2,last_label_token,21,32,16,48,2600,1170,2.311993360519409,5.448490142822266,0.031928304582834244,0.25659316778182983,0.1967194378376007
2,last_label_token,22,32,16,48,2600,1170,2.3192546367645264,5.500620365142822,0.03206344693899155,0.25734075903892517,0.1967194378376007
2,last_label_token,23,32,16,48,2600,1170,2.3286077976226807,5.562011241912842,0.032170526683330536,0.25820595026016235,0.1967194378376007
2,last_label_token,24,32,16,48,2600,1170,2.3454339504241943,5.61074686050415,0.03237716108560562,0.25890520215034485,0.1967194378376007
2,last_label_token,25,32,16,48,2600,1170,2.3242201805114746,5.648168087005615,0.032112736254930496,0.25930166244506836,0.1967194378376007
2,last_label_token,26,32,16,48,2600,1170,2.3232169151306152,5.854986190795898,0.03205466642975807,0.26153889298439026,0.1967194378376007
2,last_label_token,27,32,16,48,2600,1170,2.3358070850372314,5.880978584289551,0.03214806318283081,0.26155880093574524,0.1967194378376007
2,last_label_token,28,32,16,48,2600,1170,2.3862383365631104,6.013950824737549,0.03275241330265999,0.26317858695983887,0.1967194378376007
3,pre_label_token,0,32,16,48,2600,1170,219.55435180664062,261.9427795410156,2.521834373474121,3.212959051132202,0.1967194378376007
3,pre_label_token,1,32,16,48,2600,1170,7.562448501586914,10.302247047424316,0.09307313710451126,0.314545601606369,0.1967194378376007
3,pre_label_token,2,32,16,48,2600,1170,6.29835319519043,10.309078216552734,0.07849006354808807,0.3145410418510437,0.1967194378376007
3,pre_label_token,3,32,16,48,2600,1170,5.4894208908081055,10.28380298614502,0.06910968571901321,0.31438279151916504,0.1967194378376007
3,pre_label_token,4,32,16,48,2600,1170,3.8516857624053955,9.659884452819824,0.05004027858376503,0.30630606412887573,0.1967194378376007
3,pre_label_token,5,32,16,48,2600,1170,3.442033052444458,9.018525123596191,0.0442005917429924,0.2927438020706177,0.1967194378376007
