icl_example_index,token_role,layer,test_mse,test_mse_seed0,test_mse_seed1,test_mse_seed2,test_r2,test_r2_seed0,test_r2_seed1,test_r2_seed2,test_r2_testmean_baseline,test_r2_testmean_baseline_seed0,test_r2_testmean_baseline_seed1,test_r2_testmean_baseline_seed2,train_mse,train_mse_seed0,train_mse_seed1,train_mse_seed2,train_r2,train_r2_seed0,train_r2_seed1,train_r2_seed2
1,first_label_token,12,0.21696184676568384,0.21711171735234622,0.21733789684391824,0.216435926100787,0.000716374283415829,2.6099815988334107e-05,-0.0010156384701212051,0.003138661504380358,-0.14085503014101763,-0.14164309779075812,-0.1428324221559465,-0.1380895704763483,0.19721316794554392,0.19781267642974854,0.19733552634716034,0.1964913010597229,0.0031084117409995913,7.796011741167952e-05,0.0024899030349384565,0.006757372070648637
1,first_label_token,13,0.2171113305399064,0.2171112829897584,0.2177354187524619,0.21648728987749885,2.788139806420009e-05,2.8100404700581727e-05,-0.002846546254107185,0.0029020900435992036,-0.14164106380679145,-0.14164081377285087,-0.1449227199466132,-0.1383596577009103,0.19690138598283133,0.1978124976158142,0.1964106261730194,0.19648103415966034,0.004684436401203307,7.88640028309695e-05,0.0071651750423075145,0.006809270158471437
1,first_label_token,14,0.21709860473119913,0.21711315828211167,0.2176813301919889,0.2165013257194968,8.649397190948112e-05,1.9463176681000505e-05,-0.002597424974836393,0.002837443713883836,-0.14157414741991178,-0.1416506746619708,-0.1446383049344413,-0.13843346266332324,0.1969042718410492,0.19781243801116943,0.19641238451004028,0.19648799300193787,0.004669848694853466,7.916529797069582e-05,0.0071562868356847,0.0067740939509050024
1,first_label_token,15,0.21708238478802167,0.21711450144022454,0.2176711779682576,0.21646147495558282,0.0001611998424066637,1.3276854390009696e-05,-0.0025506658275920024,0.003020988500421984,-0.14148885775244965,-0.14165773741845156,-0.14458492128342781,-0.13822391455546956,0.19690272708733877,0.19781246781349182,0.19640904664993286,0.1964866667985916,0.0046776572605587985,7.901465040083266e-05,0.007173159363511039,0.006780797767764524
1,first_label_token,16,0.217203469904197,0.21711451105710838,0.21762798694001526,0.21686791171546743,-0.0003964944052953963,1.3232560913123415e-05,-0.002351736440034502,0.0011490206632351896,-0.14212556215888425,-0.1416577879871137,-0.1443578089935862,-0.14036108949595283,0.19719558457533518,0.1978124976158142,0.19641615450382233,0.19735810160636902,0.0031972938072274046,7.88640028309695e-05,0.007137229918095178,0.002375787500756066
1,first_label_token,17,0.21719718847622058,0.21711473705387918,0.2175949481355042,0.21688188023927832,-0.00036756338255306,1.2191664202965136e-05,-0.00219956619972117,0.001084684387859025,-0.14209253239438766,-0.14165897635067437,-0.14418408035475783,-0.14043454047773074,0.19719721873601279,0.19781240820884705,0.19641923904418945,0.19736000895500183,0.0031890332988124457,7.931594554055899e-05,0.007121637894612842,0.0023661460562839354
1,first_label_token,18,0.21711797153248505,0.21711654182241744,0.2173480298338818,0.21688934294115594,-2.705708569010016e-06,3.879255015104555e-06,-0.001062309030411157,0.0010503126496890225,-0.14167598427737857,-0.1416684664029384,-0.14288570466963546,-0.14047378175956182,0.1975016842285792,0.1978125125169754,0.19733208417892456,0.19736045598983765,0.0016499926170136698,7.878867904598241e-05,0.0025073028292592614,0.002363886342735766
1,first_label_token,19,0.21716579843302067,0.21711694733435366,0.21734325024260193,0.21703719772210642,-0.00022298701280054622,2.0115467338488457e-06,-0.0010402951723307297,0.00036932258719524214,-0.1419274734717484,-0.1416705987148592,-0.14286057204454505,-0.1412512496558409,0.1976060519615809,0.19781243801116943,0.19733211398124695,0.19767360389232635,0.001122424827301997,7.916529797069582e-05,0.0025071521816893982,0.0007809570022458967
1,first_label_token,20,0.2171707938699161,0.2171176894372251,0.21734963264785895,0.21704505952466435,-0.0002459950133653817,-1.4064332432006665e-06,-0.0010696912765817412,0.0003331126697287967,-0.14195374108236702,-0.14167450092995537,-0.1428941327799944,-0.1412925895371513,0.19760542611281076,0.1978124976158142,0.19733019173145294,0.19767358899116516,0.0011255884262694564,7.88640028309695e-05,0.0025168689499465158,0.0007810323260308838
1,first_label_token,21,0.2171605951645795,0.21711731117312646,0.21732269094771697,0.21704178337289506,-0.00019902178098222625,3.3577685321084516e-07,-0.0009456031007011312,0.00034820198090124155,-0.14190011301615316,-0.14167251189591057,-0.1427524646729712,-0.14127536247957773,0.19760547081629434,0.19781237840652466,0.19733074307441711,0.19767329096794128,0.001125362454914643,7.946659311053317e-05,0.0025140819699037698,0.0007825388017296264
1,first_label_token,22,0.2171685616843173,0.21711846519919004,0.21733548941732456,0.21705173043643727,-0.00023571400519854327,-4.979440389574208e-06,-0.0010045503363729225,0.00030238776116686683,-0.14194200353400718,-0.14167858013536905,-0.1428197631341872,-0.14132766733246527,0.19760595758756003,0.1978125423192978,0.19733145833015442,0.19767387211322784,0.0011229018779399524,7.863803147611925e-05,0.002510466428226721,0.0007796011741170172
1,first_label_token,23,0.21716639307700622,0.21711873767756615,0.21732331604516808,0.21705712550828438,-0.00022572582612989667,-6.234422238682313e-06,-0.0009484821767078433,0.0002775391205568356,-0.14193060030069163,-0.14168001291413024,-0.1427557516360114,-0.14135603635193328,0.19760626554489136,0.19781260192394257,0.19733282923698425,0.19767336547374725,0.0011213451863845518,7.833673633639293e-05,0.0025035366400123493,0.000782162182804913
