family,style,k,n,mean,ci,median,pos,top1
py2_print,alt,2,200,9.1069,0.4452,8.875,1.0,0.985
py2_print,alt,3,200,9.8605,0.4582,10.4375,0.995,0.99
py2_print,alt,4,200,11.1241,0.4483,11.375,1.0,0.96
py2_iter,nat,0,200,6.9378,0.3408,7.125,0.95,0.695
py2_iter,nat,1,200,8.685,0.3509,8.75,0.99,0.725
py2_iter,nat,2,200,9.1678,0.3106,9.125,0.995,0.845
py2_iter,nat,3,200,9.2811,0.3398,9.5,1.0,0.85
py2_iter,nat,4,200,9.6134,0.3029,9.5,1.0,0.91
py2_iter,alt,0,200,-6.9363,0.3408,-7.125,0.05,0.05
py2_iter,alt,1,200,-0.1525,0.5372,0.125,0.505,0.48
py2_iter,alt,2,200,0.8372,0.4274,1.5,0.615,0.6
py2_iter,alt,3,200,1.1694,0.3963,1.625,0.675,0.655
py2_iter,alt,4,200,1.5344,0.3932,1.75,0.77,0.73
py2_except,nat,0,200,7.8338,0.1935,8.125,1.0,0.73
py2_except,nat,1,200,12.4334,0.2137,12.5,1.0,0.915
py2_except,nat,2,200,12.7559,0.2121,12.875,1.0,0.93
py2_except,nat,3,200,13.3437,0.2012,13.5,1.0,0.98
py2_except,nat,4,200,13.6575,0.197,13.75,1.0,0.985
py2_except,alt,0,200,-7.8338,0.1935,-8.125,0.0,0.0
py2_except,alt,1,200,3.1375,0.1761,3.375,0.99,0.86
py2_except,alt,2,200,4.6825,0.2715,4.75,0.995,0.95
py2_except,alt,3,200,5.6756,0.2809,5.75,1.0,0.98
py2_except,alt,4,200,5.7875,0.3013,6.125,1.0,0.99
js_var,nat,0,200,1.4475,0.1173,1.4375,0.925,0.13
js_var,nat,1,200,4.3766,0.2631,4.0,1.0,0.29
js_var,nat,2,200,5.5306,0.3144,4.9375,1.0,0.27
js_var,nat,3,200,6.1259,0.3133,5.75,1.0,0.345
js_var,nat,4,200,6.29,0.318,6.125,1.0,0.33
js_var,alt,0,200,-1.4475,0.1173,-1.4375,0.06,0.0
js_var,alt,1,200,2.3736,0.4263,0.9375,0.7,0.34
js_var,alt,2,200,4.9041,0.3188,4.25,1.0,0.495
js_var,alt,3,200,4.9581,0.3322,4.5625,1.0,0.465
js_var,alt,4,200,4.9019,0.3484,4.3125,1.0,0.43
js_arrow,nat,0,200,2.5759,0.1429,2.625,0.98,0.565
js_arrow,nat,1,200,4.4119,0.3365,4.625,0.94,0.605
js_arrow,nat,2,200,6.5444,0.3824,6.375,0.985,0.715
js_arrow,nat,3,200,6.5153,0.3928,6.5,0.97,0.74
js_arrow,nat,4,200,6.43,0.3717,6.0625,0.985,0.75
js_arrow,alt,0,200,-2.5766,0.1428,-2.625,0.02,0.005
js_arrow,alt,1,200,1.7559,0.4212,2.375,0.63,0.475
js_arrow,alt,2,200,4.5328,0.3912,4.5,0.945,0.89
js_arrow,alt,3,200,4.957,0.427,4.625,0.96,0.91
js_arrow,alt,4,200,4.6987,0.3886,4.5,0.95,0.915
js_semicolons,nat,0,200,2.9706,0.3083,3.3125,0.96,0.68
js_semicolons,nat,1,200,5.3753,0.3066,5.75,0.965,0.655
js_semicolons,nat,2,200,5.9319,0.2598,6.0,0.995,0.755
js_semicolons,nat,3,200,6.1856,0.2549,6.3125,0.99,0.825
js_semicolons,nat,4,200,6.493,0.2407,6.625,1.0,0.88
js_semicolons,alt,0,200,-2.9709,0.3085,-3.3125,0.04,0.005
js_semicolons,alt,1,200,2.9091,0.3745,2.3437,0.97,0.695
js_semicolons,alt,2,200,4.1497,0.3428,3.75,0.99,0.755
js_semicolons,alt,3,200,4.6219,0.3468,4.125,0.985,0.855
js_semicolons,alt,4,200,4.9636,0.3464,4.625,0.985,0.9
js_strict_eq,nat,0,200,2.6128,0.1696,2.625,1.0,0.62
js_strict_eq,nat,1,200,4.6719,0.2631,4.375,0.995,0.735
js_strict_eq,nat,2,200,4.8466,0.2628,4.25,1.0,0.74
js_strict_eq,nat,3,200,5.0984,0.2606,4.75,0.99,0.695
js_strict_eq,nat,4,200,5.1384,0.2626,4.75,0.995,0.69
js_strict_eq,alt,0,200,-2.6128,0.1696,-2.625,0.0,0.0
js_strict_eq,alt,1,200,1.0984,0.3379,0.4375,0.6,0.45
js_strict_eq,alt,2,200,1.7703,0.3345,1.3125,0.81,0.585
js_strict_eq,alt,3,200,2.3998,0.323,2.0313,0.855,0.62
js_strict_eq,alt,4,200,2.9725,0.3202,2.3125,0.96,0.645
trailing_commas,nat,0,200,-3.6731,0.5671,-3.0,0.15,0.13
trailing_commas,nat,1,200,-1.0097,0.5799,0.125,0.51,0.495
trailing_commas,nat,2,200,1.155,0.5222,2.25,0.725,0.7
trailing_commas,nat,3,200,2.6041,0.4397,3.4375,0.835,0.82
trailing_commas,nat,4,200,3.4819,0.4005,3.875,0.92,0.885
trailing_commas,alt,0,200,3.6725,0.5671,2.9688,0.83,0.6
trailing_commas,alt,1,200,5.1281,0.6025,5.125,0.855,0.755
trailing_commas,alt,2,200,5.9904,0.5706,6.4375,0.895,0.83
trailing_commas,alt,3,200,6.0372,0.6226,7.1563,0.895,0.85
trailing_commas,alt,4,200,6.1869,0.5882,7.0,0.89,0.82
py_paren_if,nat,0,200,4.6034,0.269,4.625,0.99,0.785
py_paren_if,nat,1,200,6.0203,0.3403,5.6875,0.995,0.825
py_paren_if,nat,2,200,5.5741,0.3755,5.375,0.97,0.765
py_paren_if,nat,3,200,5.4225,0.3981,5.375,0.97,0.77
py_paren_if,nat,4,200,5.5634,0.4352,5.125,0.965,0.78
py_paren_if,alt,0,200,-4.6047,0.2692,-4.625,0.01,0.005
py_paren_if,alt,1,200,1.695,0.2834,1.625,0.745,0.745
py_paren_if,alt,2,200,2.8056,0.2839,2.625,0.93,0.91
py_paren_if,alt,3,200,3.5944,0.3033,3.625,0.96,0.945
py_paren_if,alt,4,200,4.2581,0.278,4.25,0.975,0.955
py_type_hints,nat,0,200,-2.0175,0.2948,-2.5625,0.115,0.105
py_type_hints,nat,1,200,-3.285,0.5899,-4.625,0.16,0.155
py_type_hints,nat,2,200,1.8444,0.5292,2.125,0.65,0.645
py_type_hints,nat,3,200,1.9719,0.4457,1.6875,0.67,0.66
py_type_hints,nat,4,200,2.6437,0.455,2.5,0.77,0.77
py_type_hints,alt,0,200,2.0169,0.2948,2.5625,0.885,0.885
py_type_hints,alt,1,200,8.3069,0.315,8.875,0.995,0.94
py_type_hints,alt,2,200,9.6466,0.4547,10.3437,1.0,0.95
py_type_hints,alt,3,200,9.6428,0.4491,10.125,1.0,0.97
py_type_hints,alt,4,200,10.6422,0.4342,10.875,1.0,0.99
py_optional,nat,0,200,1.8947,0.3628,2.2813,0.86,0.135
py_optional,nat,1,200,5.8059,0.5863,5.5,0.935,0.885
py_optional,nat,2,200,5.9419,0.5866,6.625,0.92,0.845
py_optional,nat,3,200,5.9931,0.5608,6.5,0.9,0.875
py_optional,nat,4,200,6.0228,0.6013,6.9375,0.905,0.875
py_optional,alt,0,200,-1.8955,0.3628,-2.2813,0.135,0.07
py_optional,alt,1,200,-0.9194,0.4423,-1.25,0.34,0.325
py_optional,alt,2,200,0.1072,0.5176,0.125,0.505,0.465
py_optional,alt,3,200,1.2572,0.49,0.8125,0.6,0.575
py_optional,alt,4,200,1.645,0.4712,1.25,0.675,0.66
py_builtin_generics,nat,0,200,3.0102,0.1947,3.1875,0.98,0.04
py_builtin_generics,nat,1,200,2.5044,0.3021,2.125,0.855,0.75
py_builtin_generics,nat,2,200,5.8191,0.2778,5.625,1.0,0.885
py_builtin_generics,nat,3,200,7.2309,0.2701,7.125,1.0,0.885
py_builtin_generics,nat,4,200,8.2147,0.2891,8.0,1.0,0.92
py_builtin_generics,alt,0,200,-3.0098,0.1947,-3.1563,0.02,0.005
py_builtin_generics,alt,1,200,5.0453,0.2364,5.25,0.985,0.915
py_builtin_generics,alt,2,200,5.6766,0.2354,5.625,0.995,0.895
py_builtin_generics,alt,3,200,6.3444,0.2642,6.125,0.99,0.9
py_builtin_generics,alt,4,200,6.83,0.3226,6.625,0.99,0.93
py_literal_ctor,nat,0,200,2.6016,0.3634,2.8125,0.85,0.385
py_literal_ctor,nat,1,200,2.5694,0.3922,2.4375,0.855,0.36
py_literal_ctor,nat,2,200,3.202,0.3677,3.375,0.895,0.48
py_literal_ctor,nat,3,200,3.3981,0.3305,3.375,0.95,0.555
py_literal_ctor,nat,4,200,3.3406,0.361,3.5,0.91,0.465
py_literal_ctor,alt,0,200,-2.6028,0.3632,-2.8125,0.14,0.05
py_literal_ctor,alt,1,200,2.0306,0.2798,1.8125,0.875,0.455
py_literal_ctor,alt,2,200,2.965,0.2713,2.625,0.97,0.655
py_literal_ctor,alt,3,200,3.7472,0.2681,3.625,0.98,0.73
py_literal_ctor,alt,4,200,4.0706,0.2402,4.0,0.995,0.745
py_comprehension,nat,0,200,2.34,0.402,2.3125,0.81,0.485
py_comprehension,nat,1,200,4.2625,0.4713,3.8125,0.925,0.705
py_comprehension,nat,2,200,4.5341,0.4383,4.5,0.93,0.805
py_comprehension,nat,3,200,5.0613,0.4173,4.9375,0.945,0.825
py_comprehension,nat,4,200,5.3681,0.4068,5.75,0.98,0.865
py_comprehension,alt,0,200,-2.34,0.4019,-2.3125,0.175,0.12
py_comprehension,alt,1,200,0.3975,0.435,0.375,0.535,0.385
py_comprehension,alt,2,200,1.0208,0.3887,0.875,0.67,0.585
py_comprehension,alt,3,200,1.6125,0.3904,1.625,0.775,0.685
py_comprehension,alt,4,200,1.8159,0.4441,1.9375,0.795,0.695
py_not_in,nat,0,200,1.4363,0.6006,1.5625,0.62,0.46
py_not_in,nat,1,200,2.6722,0.4575,2.75,0.78,0.6
py_not_in,nat,2,200,2.2447,0.4643,2.5625,0.7,0.53
py_not_in,nat,3,200,2.8575,0.4758,3.125,0.815,0.62
