icl_example_index,token_role,layer,best_alpha,rank90,energy_at_k,sv1,sv_k,gate_rel_fv,gate_rel_pp,selfcons_max_rel,trunc_resid_mean,trunc_resid_max,preimage_norm_mean,n_rows
1,last_label_token,27,31622.776601683792,69,0.9006549509728591,1.7118895053863525,0.12075778841972351,0.0,0.0,3.2767541142675327e-06,0.47601842880249023,0.8160403370857239,348.6092834472656,4590
1,last_label_token,28,31622.776601683792,69,0.9000067394176032,1.727163314819336,0.12109879404306412,0.0,0.0,3.1614706585969543e-06,0.47596970200538635,0.814814567565918,362.97357177734375,4590
2,pre_label_token,0,0.1,1,0.9999999999920908,1.7205995517244332e-09,1.7205995517244332e-09,0.0,0.0,4.1675398279039655e-06,0.999882698059082,1.0000001192092896,355.1200866699219,4590
2,pre_label_token,1,100000.0,11,0.905506558145414,1.2171099185943604,0.34944549202919006,0.0,0.0,8.98485666311899e-07,0.6415084004402161,0.9384735226631165,32.81300354003906,4590
2,pre_label_token,2,31622.776601683792,22,0.9011476334326266,2.1938235759735107,0.18131110072135925,0.0,0.0,1.445175598746573e-06,0.5762019753456116,0.93117755651474,38.06859588623047,4590
2,pre_label_token,3,10000.0,109,0.9003177381183737,3.673354148864746,0.17594891786575317,0.0,0.0,3.2909827041294193e-06,0.4325311481952667,0.7665382623672485,37.04379653930664,4590
2,pre_label_token,4,10000.0,156,0.900097208242365,2.698945999145508,0.14694514870643616,0.0,0.0,3.7316049201763235e-06,0.39677858352661133,0.7256059050559998,42.5977668762207,4590
2,pre_label_token,5,31622.776601683792,49,0.9006352138679837,1.7748762369155884,0.13163408637046814,0.0,0.0,2.145889993698802e-06,0.5119494199752808,0.8636958003044128,53.30173873901367,4590
2,pre_label_token,6,10000.0,184,0.900426284996845,2.1815078258514404,0.1335730403661728,0.0,0.0,3.896342150255805e-06,0.37910687923431396,0.7124725580215454,56.30483627319336,4590
2,pre_label_token,7,10000.0,195,0.9000011086432669,2.0860772132873535,0.12965980172157288,0.0,0.0,5.482142569235293e-06,0.37245386838912964,0.7008478045463562,59.7531623840332,4590
2,pre_label_token,8,31622.776601683792,57,0.9007442088863447,1.5882896184921265,0.12022262811660767,0.0,0.0,2.1338767055567587e-06,0.4990401566028595,0.8565030097961426,65.77083587646484,4590
2,pre_label_token,9,10000.0,221,0.9002964927157612,2.0383241176605225,0.1243993416428566,0.0,0.0,5.593531113845529e-06,0.3580552637577057,0.6917537450790405,69.64083099365234,4590
2,pre_label_token,10,31622.776601683792,68,0.900798672034506,1.5858608484268188,0.11165469884872437,0.0,0.0,2.8976937755942345e-06,0.48058417439460754,0.8219470381736755,83.2825698852539,4590
2,pre_label_token,11,31622.776601683792,67,0.9003071772351118,1.624382734298706,0.11391959339380264,0.0,0.0,3.9233236748259515e-06,0.48074236512184143,0.816077709197998,94.44861602783203,4590
2,pre_label_token,12,31622.776601683792,72,0.9002668171694946,1.6031861305236816,0.10941441357135773,0.0,0.0,3.500974571579718e-06,0.47366824746131897,0.8072002530097961,98.47154235839844,4590
2,pre_label_token,13,31622.776601683792,74,0.9004664734449606,1.5578100681304932,0.10690630227327347,0.0,0.0,3.434524842305109e-06,0.47167375683784485,0.8088183403015137,113.74884796142578,4590
2,pre_label_token,14,31622.776601683792,76,0.9006791443068419,1.5363787412643433,0.10789520293474197,0.0,0.0,3.189531980751781e-06,0.46966519951820374,0.8146326541900635,131.96636962890625,4590
2,pre_label_token,15,31622.776601683792,78,0.9003767303684153,1.5834720134735107,0.10799245536327362,0.0,0.0,3.7759514270874206e-06,0.46720239520072937,0.8134030103683472,138.63832092285156,4590
