task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,17,-0.00030451768543571234,0.0025690333455133008,170,-0.0087973577901721,0.004904253333143232,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,18,-0.0023809943813830614,0.0025044933663382865,170,-0.010741601698100567,0.004511193437057177,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,19,-5.274204522720538e-05,0.001990510410017399,170,-0.005969437770545483,0.003703240730813794,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,20,-0.0027241604402661324,0.002161666013037528,170,-0.006806974299252033,0.0038137880258887783,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,21,-0.002796462969854474,0.0019726686863774825,170,-0.007263092789798975,0.003885384304327115,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,22,-0.002640703460201621,0.0017268117317793348,170,-0.008056459948420525,0.0034753712313077265,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,23,-0.0018411948112770915,0.0014723272750067963,170,-0.009343978948891163,0.00332286302681139,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,24,-0.0021762517280876637,0.001510133883256886,170,-0.007945653982460499,0.003203141743454261,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,25,-0.0005796067998744547,0.0003922528821027751,170,-0.001392053090967238,0.0007318381281348193,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,26,-3.6583227483788505e-05,0.0001325171662449714,170,-0.00014027654833626002,0.00019648928724825328,40
capitalize_first_letter,pcasub_matched_k3_mean,target1,3,mean,27,0.0,0.0,170,0.0,0.0,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,0,-0.13378682732582092,0.028274019497079993,170,-0.16176417469978333,0.06756514022316518,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,1,-0.13772284984588623,0.02833201313469256,170,-0.16395895183086395,0.06800247587772228,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,2,-0.13467741012573242,0.028451216437354272,170,-0.16131272912025452,0.06856209682019458,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,3,-0.13358324766159058,0.028375661507065632,170,-0.16070714592933655,0.06833225645938565,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,4,-0.1385633647441864,0.028434478008841076,170,-0.1650753915309906,0.06857652545691749,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,5,-0.1355622559785843,0.028369656884410413,170,-0.15939852595329285,0.06789950102523831,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,6,-0.13899819552898407,0.028426452797519236,170,-0.16057097911834717,0.06817269797862972,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,7,-0.13733689486980438,0.028365181417657873,170,-0.15607449412345886,0.06812042597759532,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,8,-0.1386892944574356,0.02847170575500992,170,-0.1553749442100525,0.06809837306451132,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,9,-0.14303041994571686,0.02879887197470239,170,-0.15766678750514984,0.06843589101439776,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,10,-0.14565637707710266,0.028593382221627838,170,-0.16506929695606232,0.06929749078913265,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,11,-0.1608155369758606,0.028847964964953163,170,-0.17569908499717712,0.07167258481611986,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,12,-0.14524760842323303,0.02862536192302455,170,-0.17102059721946716,0.07098878429704436,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,13,-0.18436750769615173,0.029123050740336852,170,-0.19707149267196655,0.07142772208631268,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,14,-0.15734970569610596,0.028827557933713804,170,-0.17722783982753754,0.07122356771465353,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,15,-0.155197411775589,0.0284377351794858,170,-0.17137780785560608,0.07084020043906036,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,16,-0.14959761500358582,0.028437234603786714,170,-0.1682061403989792,0.0703166652248781,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,17,-0.10731086879968643,0.027407680677597277,170,-0.12787553668022156,0.06539568018636456,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,18,-0.09666800498962402,0.027415337885779607,170,-0.12219972908496857,0.06496346193856158,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,19,-0.10728055983781815,0.027985363320210184,170,-0.131503626704216,0.06653725300188719,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,20,-0.10270217806100845,0.027523713667498128,170,-0.12281984090805054,0.06529428861994817,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,21,-0.10670794546604156,0.02741555731622304,170,-0.11879561096429825,0.06386141472879722,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,22,-0.11049427837133408,0.027402800635964657,170,-0.12282805144786835,0.0647581954969264,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,23,-0.11776478588581085,0.027576733548392858,170,-0.1309010088443756,0.06327218727929354,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,24,-0.10715276002883911,0.02747973157799233,170,-0.11360888183116913,0.061483144705353036,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,25,-0.12497790902853012,0.030711414005270093,170,-0.1326937973499298,0.06970514454208372,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,26,-0.1370258331298828,0.03084363456184177,170,-0.14345471560955048,0.06974529215308282,40
capitalize_first_letter,pcasub_matched_k3_mean,final_cue,3,mean,27,-0.11876718699932098,0.0274622274286609,170,-0.1117963045835495,0.060776843617906556,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,0,-2.4012811183929443,0.10234100566319913,170,-2.5861313343048096,0.2063905935918021,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,1,-2.565145492553711,0.10404502934342615,170,-2.666943311691284,0.23123555626139963,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,2,-2.704136371612549,0.09962416419956209,170,-2.934330940246582,0.22951735160250014,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,3,-1.979952096939087,0.08370555525183983,170,-2.1216187477111816,0.18204626974649893,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,4,-2.4615345001220703,0.09881763846178543,170,-2.60368275642395,0.20916151384784273,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,5,-1.4910249710083008,0.06622752728611353,170,-1.4899787902832031,0.13250413662225408,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,6,-1.4380861520767212,0.06621219915534615,170,-1.3627580404281616,0.13120011205917345,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,7,-1.0347645282745361,0.05035360900537064,170,-1.0577921867370605,0.11542826444300476,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,8,-1.0118210315704346,0.047471952421376834,170,-0.9523091316223145,0.0918654524855186,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,9,-1.099191427230835,0.06065670947462836,170,-1.0852233171463013,0.13431642428599017,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,10,-0.5143703818321228,0.030187779823755513,170,-0.5155882835388184,0.06663499735575507,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,11,-0.10239139199256897,0.012599676633240972,170,-0.08309487253427505,0.02840208105748552,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,12,-0.32442015409469604,0.020835446322825506,170,-0.2968105971813202,0.037258083296737896,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,13,-0.11908293515443802,0.011667482394789533,170,-0.11746636778116226,0.02613138966773963,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,14,-0.06695732474327087,0.006556406219738755,170,-0.05657346174120903,0.014002672690687702,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,15,-0.062409088015556335,0.007496804528180771,170,-0.047988809645175934,0.014402670360191492,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,16,-0.03989686444401741,0.005730610603281143,170,-0.03278958797454834,0.0119651237085122,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,17,-0.04386301711201668,0.005372083544614459,170,-0.03468251973390579,0.011865684154755012,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,18,-0.05720344930887222,0.006294937703383794,170,-0.04717874526977539,0.010139841083011688,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,19,-0.012065037153661251,0.004025721487099494,170,-0.0034085572697222233,0.0075445613239110655,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,20,-0.025517325848340988,0.003921901458532738,170,-0.01978542096912861,0.0063045302621418785,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,21,-0.027581531554460526,0.004390558028165075,170,-0.026176104322075844,0.006991909078412505,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,22,-0.037976108491420746,0.004319158561898963,170,-0.03809347748756409,0.009300316604125152,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,23,-0.028711818158626556,0.0036355630157217022,170,-0.017594562843441963,0.006566907505051441,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,24,0.0038148718886077404,0.0024136008766304016,170,0.010371911339461803,0.004828806630216909,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,25,0.0021801029797643423,0.001996984893823955,170,0.006866580341011286,0.0037022208424856698,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,26,0.004709727130830288,0.0020181773603354493,170,0.005746923387050629,0.004039603906765909,40
capitalize_first_letter,pcasub_matched_k4_zero,cue1,4,zero,27,0.0,0.0,170,0.0,0.0,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,0,-4.0553717613220215,0.11879051742587474,170,-4.301048278808594,0.26515793147518085,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,1,-3.3904800415039062,0.10580805238413146,170,-3.608802080154419,0.23788019321683082,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,2,-3.312086820602417,0.11081838998547543,170,-3.610146999359131,0.24163246810511002,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,3,-2.463131904602051,0.07994878720209352,170,-2.5762290954589844,0.18104371039014117,40
