task,n_shots,arm,correct,copy_query,copy_demo_target,copy_demo_input,in_pool_wrong,input_variant,other
animal_plant_object,1,own,1,9,2,0,0,12,126
animal_plant_object,1,cf,21,3,2,0,0,6,118
antonym,1,own,4,18,7,8,8,11,94
antonym,1,cf,4,14,5,4,13,8,102
article_choice,1,own,4,14,1,1,0,14,116
article_choice,1,cf,7,10,3,0,3,5,122
capitalize,1,own,42,0,15,0,10,14,69
capitalize,1,cf,62,0,3,0,9,22,54
capitalize_first_letter,1,own,1,13,4,1,6,5,120
capitalize_first_letter,1,cf,8,8,18,1,33,9,73
city-country,1,own,5,13,1,1,4,10,116
city-country,1,cf,42,3,4,0,34,7,60
compound_first,1,own,11,11,2,5,11,14,96
compound_first,1,cf,19,10,3,5,15,12,86
concrete_abstract,1,own,1,13,1,0,0,7,128
concrete_abstract,1,cf,4,3,2,1,0,3,137
contains_letter_e,1,own,9,1,12,0,3,8,117
contains_letter_e,1,cf,37,3,25,0,8,3,74
country-capital,1,own,5,24,0,1,0,18,102
country-capital,1,cf,85,4,0,0,1,3,57
day_after_textual_date,1,own,2,10,2,0,27,49,60
day_after_textual_date,1,cf,65,4,0,0,22,22,37
ends_with_ing,1,own,12,2,13,0,2,9,112
ends_with_ing,1,cf,46,0,22,0,6,2,74
english-french,1,own,2,12,3,6,2,17,108
english-french,1,cf,36,6,0,0,8,12,88
english-italian,1,own,1,15,1,1,0,15,117
english-italian,1,cf,30,1,0,0,6,8,105
english-portuguese,1,own,0,11,2,3,0,10,124
english-portuguese,1,cf,46,1,0,0,3,6,94
english-spanish,1,own,0,23,5,2,1,24,95
english-spanish,1,cf,47,4,0,0,1,17,81
first_digit,1,own,7,6,9,0,13,2,113
first_digit,1,cf,9,2,11,0,26,0,102
first_three_letters,1,own,2,17,8,8,3,11,101
first_three_letters,1,cf,11,18,4,1,2,16,98
french-english,1,own,27,10,2,0,6,13,92
french-english,1,cf,64,3,1,0,8,11,63
french_noun_gender,1,own,0,13,0,0,0,11,126
french_noun_gender,1,cf,30,3,5,0,4,6,102
german-english,1,own,17,8,1,1,2,11,110
german-english,1,cf,55,1,3,0,9,3,79
german_noun_gender,1,own,0,15,2,0,0,3,130
german_noun_gender,1,cf,15,5,11,1,3,15,100
gerund_to_base,1,own,18,18,8,2,5,14,85
gerund_to_base,1,cf,42,13,1,2,7,12,73
gerund_to_past,1,own,3,24,3,5,3,26,86
gerund_to_past,1,cf,22,26,4,1,1,26,70
hypernym_category,1,own,1,10,1,0,0,14,124
hypernym_category,1,cf,19,2,2,1,2,6,118
initials_two_words,1,own,0,1,3,1,4,9,132
initials_two_words,1,cf,5,2,13,0,9,7,114
iso_date_to_month,1,own,12,0,1,0,3,2,132
iso_date_to_month,1,cf,48,0,1,0,13,4,84
iso_date_year_plus_one,1,own,3,0,6,0,19,3,119
iso_date_year_plus_one,1,cf,21,0,4,0,42,6,77
landmark-country,1,own,5,3,1,0,1,12,128
landmark-country,1,cf,34,1,5,0,20,6,84
language_identification,1,own,1,13,1,0,0,13,122
language_identification,1,cf,16,1,4,0,1,9,119
larger_of_pair,1,own,17,2,11,0,15,2,103
larger_of_pair,1,cf,37,6,2,0,26,8,71
larger_than_1000,1,own,14,0,11,0,3,0,122
larger_than_1000,1,cf,27,1,24,1,7,0,90
lowercase_first_letter,1,own,4,13,14,1,6,9,103
lowercase_first_letter,1,cf,20,4,15,0,41,1,69
lowercase_word,1,own,42,0,13,0,14,10,71
lowercase_word,1,cf,70,0,5,0,7,9,59
national_parks,1,own,2,1,1,0,8,19,119
national_parks,1,cf,45,0,3,0,40,10,52
natural_manmade,1,own,3,9,1,1,0,10,126
natural_manmade,1,cf,9,2,2,1,0,4,132
next_item,1,own,3,16,10,2,42,1,76
next_item,1,cf,18,20,3,7,44,2,56
next_month_of_date,1,own,3,4,5,0,18,12,108
next_month_of_date,1,cf,26,1,11,1,49,6,56
next_number_digits,1,own,4,11,10,4,51,0,70
next_number_digits,1,cf,39,7,4,3,55,0,42
number_word_to_digits,1,own,41,4,1,0,14,8,82
number_word_to_digits,1,cf,69,0,0,0,17,0,64
park-country,1,own,7,0,3,0,4,20,116
park-country,1,cf,47,1,9,1,39,1,52
past_to_base,1,own,12,28,14,6,7,8,75
past_to_base,1,cf,32,24,3,2,8,16,65
person-instrument,1,own,0,0,2,0,0,6,142
person-instrument,1,cf,10,1,11,0,19,1,108
person-sport,1,own,2,0,1,0,0,5,142
person-sport,1,cf,40,0,4,0,15,1,90
person_place_thing,1,own,3,15,1,0,0,4,127
person_place_thing,1,cf,6,4,4,1,0,10,125
plural_to_singular,1,own,9,24,12,5,5,12,83
plural_to_singular,1,cf,36,20,5,0,2,22,65
pos_label,1,own,1,12,2,0,0,6,129
pos_label,1,cf,13,9,13,1,9,13,92
present-past,1,own,9,49,2,16,0,14,60
present-past,1,cf,34,28,5,2,1,21,59
prev_number_digits,1,own,1,10,6,16,57,0,60
prev_number_digits,1,cf,16,9,5,6,73,0,41
product-company,1,own,2,4,4,0,0,15,125
product-company,1,cf,18,4,5,0,4,7,112
sentiment,1,own,0,0,3,0,0,1,146
sentiment,1,cf,29,0,11,0,7,2,101
singular-plural,1,own,7,52,0,1,2,17,71
singular-plural,1,cf,72,15,0,0,5,17,41
singular_or_plural,1,own,2,2,0,0,0,15,131
singular_or_plural,1,cf,11,14,4,0,7,20,94
smaller_of_pair,1,own,14,1,10,1,29,3,92
smaller_of_pair,1,cf,33,3,3,0,32,8,71
spanish-english,1,own,25,15,2,2,4,12,90
spanish-english,1,cf,64,7,1,0,6,5,67
spanish_noun_gender,1,own,0,5,0,0,0,15,130
spanish_noun_gender,1,cf,30,4,7,1,9,8,91
starts_with_vowel,1,own,0,11,1,0,0,12,126
starts_with_vowel,1,cf,6,9,8,2,1,4,120
third_person_to_base,1,own,15,27,16,5,3,7,77
third_person_to_base,1,cf,33,19,10,1,4,15,68
titlecase_phrase,1,own,25,0,6,0,0,28,91
titlecase_phrase,1,cf,44,0,5,0,0,27,74
uppercase_word,1,own,30,0,20,0,13,21,66
uppercase_word,1,cf,65,0,8,0,8,9,60
us-city-state,1,own,3,15,3,1,3,12,113
us-city-state,1,cf,54,2,2,0,38,1,53
verb_tense_label,1,own,1,2,2,0,0,19,126
verb_tense_label,1,cf,7,3,13,1,0,11,115
verb_to_third_person,1,own,8,36,4,9,0,15,78
verb_to_third_person,1,cf,35,26,3,2,4,23,57
word_polarity,1,own,1,13,1,2,0,13,120
word_polarity,1,cf,34,4,7,0,5,3,97
