family,target,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,reused,screen_rate,best_layer,best_alpha,best_acc,delta_vs_best,within_tol,picked_by_accuracy,picked_by_screen
quote_punct,alt,24,2.0,200,0.64,0.571,0.703,0.725,0.275,0.815,False,0.68,20,1.0,0.625,0.015,True,False,False
quote_punct,alt,24,4.0,200,0.54,0.471,0.608,0.65,0.325,0.83,False,0.62,20,1.0,0.625,-0.085,False,False,False
em_dash,nat,24,0.5,200,0.66,0.592,0.722,0.865,0.12,0.74,False,0.94,20,4.0,0.77,-0.11,False,False,False
em_dash,nat,24,1.0,200,0.725,0.659,0.782,0.925,0.065,0.77,False,0.9,20,4.0,0.77,-0.045,False,True,False
em_dash,nat,24,2.0,200,0.695,0.628,0.755,0.95,0.05,0.725,True,1.0,20,4.0,0.77,-0.075,False,False,True
em_dash,nat,24,4.0,200,0.725,0.659,0.782,0.965,0.035,0.745,False,0.96,20,4.0,0.77,-0.045,False,False,False
em_dash,alt,24,0.5,200,0.18,0.133,0.239,0.235,0.24,0.71,False,0.3,24,4.0,0.585,-0.405,False,False,False
em_dash,alt,24,1.0,200,0.355,0.292,0.423,0.485,0.255,0.74,False,0.52,24,4.0,0.585,-0.23,False,False,False
em_dash,alt,24,2.0,200,0.515,0.446,0.583,0.67,0.265,0.71,False,0.6,24,4.0,0.585,-0.07,False,False,False
em_dash,alt,24,4.0,200,0.585,0.516,0.651,0.795,0.155,0.69,True,0.74,24,4.0,0.585,0.0,True,True,True
ellipsis,nat,24,0.5,200,0.52,0.451,0.588,0.96,0.04,0.53,False,0.96,24,1.0,0.535,-0.015,True,False,False
ellipsis,nat,24,1.0,200,0.535,0.466,0.603,0.985,0.015,0.54,True,0.98,24,1.0,0.535,0.0,True,False,True
ellipsis,nat,24,2.0,200,0.52,0.451,0.588,0.98,0.02,0.535,False,0.96,24,1.0,0.535,-0.015,True,False,False
ellipsis,nat,24,4.0,200,0.54,0.471,0.608,0.97,0.025,0.55,False,0.96,24,1.0,0.535,0.005,True,True,False
ellipsis,alt,24,0.5,200,0.18,0.133,0.239,0.22,0.085,0.585,False,0.3,16,4.0,0.73,-0.55,False,False,False
ellipsis,alt,24,1.0,200,0.39,0.325,0.459,0.53,0.105,0.59,False,0.48,16,4.0,0.73,-0.34,False,False,False
ellipsis,alt,24,2.0,200,0.67,0.602,0.731,0.865,0.08,0.74,True,0.86,16,4.0,0.73,-0.06,False,True,True
ellipsis,alt,24,4.0,200,0.66,0.592,0.722,0.845,0.12,0.745,False,0.82,16,4.0,0.73,-0.07,False,False,False
num_words,nat,24,0.5,200,0.695,0.628,0.755,0.865,0.115,0.8,False,0.84,24,4.0,0.76,-0.065,False,False,False
num_words,nat,24,1.0,200,0.68,0.612,0.741,0.83,0.155,0.8,False,0.8,24,4.0,0.76,-0.08,False,False,False
num_words,nat,24,2.0,200,0.74,0.675,0.796,0.895,0.105,0.825,False,0.88,24,4.0,0.76,-0.02,True,False,False
num_words,nat,24,4.0,200,0.76,0.696,0.814,0.925,0.075,0.8,True,0.94,24,4.0,0.76,0.0,True,True,True
num_words,alt,24,0.5,200,0.17,0.124,0.228,0.25,0.175,0.79,False,0.22,24,4.0,0.73,-0.56,False,False,False
num_words,alt,24,1.0,200,0.365,0.301,0.434,0.44,0.16,0.83,False,0.34,24,4.0,0.73,-0.365,False,False,False
num_words,alt,24,2.0,200,0.63,0.561,0.694,0.745,0.1,0.82,False,0.62,24,4.0,0.73,-0.1,False,False,False
num_words,alt,24,4.0,200,0.73,0.665,0.787,0.89,0.095,0.785,True,0.88,24,4.0,0.73,0.0,True,True,True
percent_sign,nat,24,0.5,200,0.855,0.8,0.897,0.995,0.0,0.86,True,1.0,24,0.5,0.855,0.0,True,True,True
percent_sign,nat,24,1.0,200,0.81,0.75,0.858,1.0,0.0,0.81,False,1.0,24,0.5,0.855,-0.045,False,False,False
percent_sign,nat,24,2.0,200,0.82,0.761,0.867,1.0,0.0,0.82,False,1.0,24,0.5,0.855,-0.035,False,False,False
percent_sign,nat,24,4.0,200,0.835,0.777,0.88,1.0,0.0,0.835,False,1.0,24,0.5,0.855,-0.02,True,False,False
percent_sign,alt,24,0.5,200,0.67,0.602,0.731,0.74,0.01,0.905,False,0.82,24,2.0,0.87,-0.2,False,False,False
percent_sign,alt,24,1.0,200,0.865,0.811,0.906,0.965,0.015,0.895,False,0.98,24,2.0,0.87,-0.005,True,False,False
percent_sign,alt,24,2.0,200,0.87,0.816,0.91,0.995,0.005,0.875,True,1.0,24,2.0,0.87,0.0,True,False,True
percent_sign,alt,24,4.0,200,0.885,0.833,0.922,0.99,0.01,0.895,False,1.0,24,2.0,0.87,0.015,True,True,False
ordinal_words,nat,24,0.5,200,0.39,0.325,0.459,0.47,0.2,0.755,False,0.38,16,4.0,0.465,-0.075,False,False,False
ordinal_words,nat,24,1.0,200,0.38,0.316,0.449,0.5,0.285,0.72,False,0.52,16,4.0,0.465,-0.085,False,False,False
ordinal_words,nat,24,2.0,200,0.44,0.373,0.509,0.54,0.355,0.7,False,0.54,16,4.0,0.465,-0.025,True,True,False
ordinal_words,nat,24,4.0,200,0.33,0.269,0.398,0.465,0.5,0.625,False,0.56,16,4.0,0.465,-0.135,False,False,True
ordinal_words,alt,24,0.5,200,0.595,0.526,0.661,0.78,0.09,0.71,False,0.84,20,2.0,0.745,-0.15,False,False,False
ordinal_words,alt,24,1.0,200,0.705,0.638,0.764,0.895,0.06,0.79,False,0.9,20,2.0,0.745,-0.04,False,True,False
ordinal_words,alt,24,2.0,200,0.685,0.618,0.745,0.965,0.035,0.705,False,0.98,20,2.0,0.745,-0.06,False,False,True
ordinal_words,alt,24,4.0,200,0.705,0.638,0.764,0.96,0.03,0.73,False,0.96,20,2.0,0.745,-0.04,False,False,False
