task,icl_example_index,token_role,layer,mean_cosine,n_prompts
antonym,4,last_label_token,11,0.3227092921733856,170
antonym,4,last_label_token,12,0.33973434567451477,170
antonym,4,last_label_token,13,0.31252118945121765,170
antonym,4,last_label_token,14,0.31319066882133484,170
antonym,4,last_label_token,15,0.30838465690612793,170
antonym,4,last_label_token,16,0.3188795745372772,170
antonym,4,last_label_token,17,0.3160454332828522,170
antonym,4,last_label_token,18,0.31520676612854004,170
antonym,4,last_label_token,19,0.31711864471435547,170
antonym,4,last_label_token,20,0.31126081943511963,170
antonym,4,last_label_token,21,0.3210764229297638,170
antonym,4,last_label_token,22,0.31037336587905884,170
antonym,4,last_label_token,23,0.30570003390312195,170
antonym,4,last_label_token,24,0.30334794521331787,170
antonym,4,last_label_token,25,0.2974141836166382,170
antonym,4,last_label_token,26,0.29074278473854065,170
antonym,4,last_label_token,27,0.2773604989051819,170
antonym,4,last_label_token,28,0.29278141260147095,170
antonym,5,pre_label_token,0,0.0001948060526046902,170
antonym,5,pre_label_token,1,0.1372481882572174,170
antonym,5,pre_label_token,2,0.12100878357887268,170
antonym,5,pre_label_token,3,0.097629614174366,170
antonym,5,pre_label_token,4,0.1163049265742302,170
antonym,5,pre_label_token,5,0.16915573179721832,170
antonym,5,pre_label_token,6,0.21540188789367676,170
antonym,5,pre_label_token,7,0.2906150221824646,170
antonym,5,pre_label_token,8,0.3025360703468323,170
antonym,5,pre_label_token,9,0.393852174282074,170
antonym,5,pre_label_token,10,0.44748255610466003,170
antonym,5,pre_label_token,11,0.4220353960990906,170
antonym,5,pre_label_token,12,0.46162280440330505,170
antonym,5,pre_label_token,13,0.46783384680747986,170
antonym,5,pre_label_token,14,0.4507209360599518,170
antonym,5,pre_label_token,15,0.42387932538986206,170
antonym,5,pre_label_token,16,0.44673797488212585,170
antonym,5,pre_label_token,17,0.4346007704734802,170
antonym,5,pre_label_token,18,0.4257420301437378,170
antonym,5,pre_label_token,19,0.40421542525291443,170
antonym,5,pre_label_token,20,0.38751617074012756,170
antonym,5,pre_label_token,21,0.3872750997543335,170
antonym,5,pre_label_token,22,0.3751443922519684,170
antonym,5,pre_label_token,23,0.36425623297691345,170
antonym,5,pre_label_token,24,0.3553517460823059,170
antonym,5,pre_label_token,25,0.34271860122680664,170
antonym,5,pre_label_token,26,0.3240802586078644,170
antonym,5,pre_label_token,27,0.2925143241882324,170
antonym,5,pre_label_token,28,0.28686434030532837,170
antonym,5,first_label_token,0,0.005159649066627026,170
antonym,5,first_label_token,1,0.15327772498130798,170
antonym,5,first_label_token,2,0.14034754037857056,170
antonym,5,first_label_token,3,0.1307033896446228,170
antonym,5,first_label_token,4,0.1521736979484558,170
antonym,5,first_label_token,5,0.18107104301452637,170
antonym,5,first_label_token,6,0.20842482149600983,170
antonym,5,first_label_token,7,0.23305122554302216,170
antonym,5,first_label_token,8,0.2461407631635666,170
antonym,5,first_label_token,9,0.28208044171333313,170
antonym,5,first_label_token,10,0.3177573084831238,170
antonym,5,first_label_token,11,0.3230365216732025,170
antonym,5,first_label_token,12,0.3371170461177826,170
antonym,5,first_label_token,13,0.30972346663475037,170
