family,lang,style,k,n,accuracy,style_only,judge_ok,unscorable,ci_lo,ci_hi,label
sql_keyword_case,SQL,nat,4,50,1.0,1.0,1.0,0.0,0.9286499658256813,1.0,uppercase keywords
sql_keyword_case,SQL,alt,0,50,0.04,0.04,0.6,0.36,0.011038652660826577,0.13460337877954667,lowercase keywords
sql_keyword_case,SQL,alt,4,50,0.8,0.94,0.86,0.04,0.6696262789551477,0.8875637005402612,lowercase keywords
sql_join_style,SQL,nat,0,44,0.9318181818181818,0.9545454545454546,0.9772727272727273,0.045454545454545456,0.8177467866338279,0.9765410298271597,explicit JOIN ... ON
sql_join_style,SQL,nat,4,44,0.8409090909090909,0.9318181818181818,0.8863636363636364,0.06818181818181818,0.7063350943621745,0.920734234422816,explicit JOIN ... ON
sql_join_style,SQL,alt,0,44,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.045454545454545456,0.004023148385637013,0.11807979131537633,implicit comma join
sql_join_style,SQL,alt,4,44,0.6590909090909091,0.7272727272727273,0.9090909090909091,0.2727272727272727,0.5113886797193951,0.7812436737136005,implicit comma join
r_assignment,R,nat,0,50,0.76,0.88,0.84,0.0,0.6258705062480763,0.8570274759812779,<- assignment
r_assignment,R,nat,4,50,0.92,1.0,0.92,0.0,0.8116149745493629,0.9684509967442093,<- assignment
r_assignment,R,alt,0,50,0.02,0.06,0.78,0.0,0.0035391680889764604,0.10495686471836953,= assignment
r_assignment,R,alt,4,50,0.82,0.88,0.94,0.12,0.6920368054529739,0.902299172675462,= assignment
rust_question,Rust,nat,0,39,0.717948717948718,0.7435897435897436,0.8974358974358975,0.20512820512820512,0.5622438267752261,0.8345667498605671,? operator
rust_question,Rust,nat,4,39,0.8717948717948718,0.8974358974358975,0.9487179487179487,0.10256410256410256,0.7329395096236953,0.9439726505197168,? operator
rust_question,Rust,alt,0,39,0.05128205128205128,0.05128205128205128,0.9230769230769231,0.2564102564102564,0.014177657646399527,0.1688593904563791,explicit match
rust_question,Rust,alt,4,39,0.48717948717948717,0.5384615384615384,0.8717948717948718,0.1794871794871795,0.3386492878313309,0.6380089135430342,explicit match
bash_test,Bash,nat,0,50,0.16,0.16,0.98,0.04,0.08337321362087696,0.2851448096176598,[[ ]] tests
bash_test,Bash,nat,4,50,0.76,0.9,0.84,0.06,0.6258705062480763,0.8570274759812779,[[ ]] tests
bash_test,Bash,alt,0,50,0.64,0.66,0.92,0.02,0.5014076201030195,0.7586143703281711,[ ] tests
bash_test,Bash,alt,4,50,0.74,0.82,0.88,0.04,0.6044657801100008,0.8412862034863262,[ ] tests
bash_subst,Bash,nat,0,50,0.18,0.22,0.94,0.76,0.0977008273245379,0.3079631945470261,$(...) substitution
bash_subst,Bash,nat,4,50,0.32,0.32,0.92,0.68,0.20758044093999403,0.45810557136276076,$(...) substitution
bash_subst,Bash,alt,0,50,0.0,0.02,0.88,0.86,0.0,0.07135003417431873,backtick substitution
bash_subst,Bash,alt,4,50,0.26,0.28,0.9,0.64,0.15871379651367384,0.3955342198899992,backtick substitution
css_shorthand,CSS,nat,0,13,0.46153846153846156,0.46153846153846156,1.0,0.38461538461538464,0.2320575430148814,0.7085656756816796,long hex / 0px
css_shorthand,CSS,nat,4,13,0.46153846153846156,0.46153846153846156,1.0,0.46153846153846156,0.2320575430148814,0.7085656756816796,long hex / 0px
css_shorthand,CSS,alt,0,13,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.38461538461538464,0.013710066379696323,0.3331453392824736,short hex / 0
css_shorthand,CSS,alt,4,13,0.23076923076923078,0.3076923076923077,0.9230769230769231,0.6153846153846154,0.08179379092465713,0.5025687399512693,short hex / 0
php_array,PHP,nat,0,50,0.24,0.24,0.8,0.5,0.14297252401872207,0.3741294937519236,[] arrays
php_array,PHP,nat,4,50,0.38,0.44,0.78,0.52,0.2586259584257722,0.5184980497760643,[] arrays
php_array,PHP,alt,0,50,0.22,0.24,0.78,0.58,0.12753786224302288,0.35241815689459555,array() arrays
php_array,PHP,alt,4,50,0.6,0.74,0.84,0.22,0.4618118910275937,0.7239181021375425,array() arrays
