family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
bash_test,alt,24,4.0,40,0.825,0.6805,0.9125,0.975,0.85,0.025,14.4424,0.95,0.575,0.74
bash_test,alt,26,2.0,40,0.925,0.8014,0.9742,0.95,0.975,0.05,14.9461,0.95,0.575,0.74
bash_test,alt,26,4.0,40,0.925,0.8014,0.9742,0.95,0.95,0.05,25.8687,0.975,0.575,0.74
js_hungarian,nat,24,2.0,40,0.65,0.4951,0.7787,0.725,0.9,0.275,2.8562,0.15,0.775,0.895
js_hungarian,nat,24,4.0,40,0.8,0.6524,0.895,0.875,0.85,0.125,6.3984,0.475,0.775,0.895
js_hungarian,nat,26,2.0,40,0.7,0.5457,0.8193,0.85,0.85,0.15,4.0398,0.125,0.775,0.895
js_hungarian,nat,26,4.0,40,0.825,0.6805,0.9125,0.925,0.875,0.075,8.0648,0.4,0.775,0.895
js_hungarian,alt,24,2.0,40,0.075,0.0258,0.1986,0.075,0.9,0.175,6.5724,0.5,0.0,0.74
js_hungarian,alt,24,4.0,40,0.05,0.0138,0.165,0.075,0.775,0.05,8.6748,0.175,0.0,0.74
js_hungarian,alt,26,2.0,40,0.05,0.0138,0.165,0.05,0.775,0.025,7.1452,0.35,0.0,0.74
js_hungarian,alt,26,4.0,40,0.05,0.0138,0.165,0.1,0.775,0.0,9.1252,0.2,0.0,0.74
hex_constants,nat,24,2.0,40,0.925,0.8014,0.9742,1.0,0.925,0.0,10.9234,0.8,0.875,0.945
hex_constants,nat,24,4.0,40,0.85,0.7093,0.9294,0.975,0.85,0.025,10.9799,0.675,0.875,0.945
hex_constants,nat,26,2.0,40,0.925,0.8014,0.9742,1.0,0.925,0.0,15.2928,0.85,0.875,0.945
hex_constants,nat,26,4.0,40,0.875,0.7389,0.9454,0.975,0.9,0.025,14.0801,0.85,0.875,0.945
hex_constants,alt,24,2.0,40,0.1,0.0396,0.2305,0.125,0.875,0.2,1.3297,0.725,0.0,0.71
hex_constants,alt,24,4.0,40,0.25,0.1419,0.4019,0.275,0.875,0.15,4.1172,0.9,0.0,0.71
hex_constants,alt,26,2.0,40,0.075,0.0258,0.1986,0.075,0.8,0.05,3.1687,0.875,0.0,0.71
hex_constants,alt,26,4.0,40,0.2,0.105,0.3476,0.225,0.7,0.125,7.8187,1.0,0.0,0.71
sql_join_style,nat,24,2.0,40,0.775,0.625,0.8768,0.775,1.0,0.225,18.3156,0.95,0.725,0.855
