task,train_metric,test_setting,product,best_layer,best_acc,acc_L9,baseline
english-german,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-german,sametask_shuffled10,test_sametask_shuffled10,cie10,12,0.6000,0.5000,0.4667
english-german,sametask_shuffled10,test_sametask_shuffled10,cie40,3,0.5000,0.4667,0.4667
english-german,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.4667,0.4667,0.4667
english-german,sametask_shuffled10,test_mixedtask10,cie10,12,0.0333,0.0000,0.0000
english-german,sametask_shuffled10,test_mixedtask10,cie40,11,0.2000,0.0333,0.0000
english-german,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
english-german,mixedtask10,test_zeroshot,cie10,11,0.0333,0.0000,0.0000
english-german,mixedtask10,test_zeroshot,cie40,0,0.0000,0.0000,0.0000
english-german,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-german,mixedtask10,test_sametask_shuffled10,cie10,13,0.5667,0.4333,0.4667
english-german,mixedtask10,test_sametask_shuffled10,cie40,10,0.5000,0.3333,0.4667
english-german,mixedtask10,test_sametask_shuffled10,sparse,0,0.4667,0.4667,0.4667
english-german,mixedtask10,test_mixedtask10,cie10,13,0.2000,0.0667,0.0000
english-german,mixedtask10,test_mixedtask10,cie40,15,0.1667,0.0333,0.0000
english-german,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
english-spanish,zeroshot,test_zeroshot,cie10,9,0.6333,0.6333,0.0000
english-spanish,zeroshot,test_zeroshot,cie40,11,0.7000,0.6333,0.0000
english-spanish,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-spanish,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
english-spanish,zeroshot,test_sametask_shuffled10,cie10,9,0.8333,0.8333,0.6667
english-spanish,zeroshot,test_sametask_shuffled10,cie40,9,0.8000,0.8000,0.6667
english-spanish,zeroshot,test_sametask_shuffled10,sparse,0,0.6667,0.6667,0.6667
english-spanish,-,test_sametask_shuffled10,mean_act,9,0.7000,0.7000,0.6667
english-spanish,zeroshot,test_mixedtask10,cie10,9,0.5333,0.5333,0.0333
english-spanish,zeroshot,test_mixedtask10,cie40,9,0.5333,0.5333,0.0333
english-spanish,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
english-spanish,-,test_mixedtask10,mean_act,12,0.1000,0.0000,0.0333
english-spanish,sametask_shuffled10,test_zeroshot,cie10,9,0.3667,0.3667,0.0000
english-spanish,sametask_shuffled10,test_zeroshot,cie40,11,0.6667,0.6000,0.0000
english-spanish,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
english-spanish,sametask_shuffled10,test_sametask_shuffled10,cie10,11,0.8000,0.7667,0.6667
english-spanish,sametask_shuffled10,test_sametask_shuffled10,cie40,11,0.8333,0.7667,0.6667
english-spanish,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.6667,0.6667,0.6667
english-spanish,sametask_shuffled10,test_mixedtask10,cie10,12,0.2000,0.0333,0.0333
english-spanish,sametask_shuffled10,test_mixedtask10,cie40,9,0.4667,0.4667,0.0333
english-spanish,sametask_shuffled10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
english-spanish,mixedtask10,test_zeroshot,cie10,9,0.6333,0.6333,0.0000
english-spanish,mixedtask10,test_zeroshot,cie40,1,0.6667,0.6333,0.0000
english-spanish,mixedtask10,test_zeroshot,sparse,0,0.2667,0.1333,0.0000
english-spanish,mixedtask10,test_sametask_shuffled10,cie10,9,0.8333,0.8333,0.6667
english-spanish,mixedtask10,test_sametask_shuffled10,cie40,9,0.8000,0.8000,0.6667
english-spanish,mixedtask10,test_sametask_shuffled10,sparse,9,0.7667,0.7667,0.6667
english-spanish,mixedtask10,test_mixedtask10,cie10,9,0.5333,0.5333,0.0333
english-spanish,mixedtask10,test_mixedtask10,cie40,9,0.5333,0.5333,0.0333
english-spanish,mixedtask10,test_mixedtask10,sparse,12,0.3333,0.2333,0.0333
landmark-country,zeroshot,test_zeroshot,cie10,0,0.7333,0.7000,0.0000
landmark-country,zeroshot,test_zeroshot,cie40,0,0.7333,0.7333,0.0000
landmark-country,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
landmark-country,-,test_zeroshot,mean_act,15,0.7000,0.1667,0.0000
landmark-country,zeroshot,test_sametask_shuffled10,cie10,9,0.8333,0.8333,0.8000
landmark-country,zeroshot,test_sametask_shuffled10,cie40,0,0.8333,0.8333,0.8000
landmark-country,zeroshot,test_sametask_shuffled10,sparse,0,0.8000,0.8000,0.8000
landmark-country,-,test_sametask_shuffled10,mean_act,0,0.8000,0.8000,0.8000
landmark-country,zeroshot,test_mixedtask10,cie10,14,0.7667,0.7333,0.0333
landmark-country,zeroshot,test_mixedtask10,cie40,14,0.7667,0.7000,0.0333
landmark-country,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
landmark-country,-,test_mixedtask10,mean_act,16,0.7667,0.6000,0.0333
landmark-country,sametask_shuffled10,test_zeroshot,cie10,0,0.7333,0.7000,0.0000
landmark-country,sametask_shuffled10,test_zeroshot,cie40,0,0.7333,0.7000,0.0000
landmark-country,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
landmark-country,sametask_shuffled10,test_sametask_shuffled10,cie10,9,0.8333,0.8333,0.8000
landmark-country,sametask_shuffled10,test_sametask_shuffled10,cie40,9,0.8333,0.8333,0.8000
landmark-country,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.8000,0.8000,0.8000
landmark-country,sametask_shuffled10,test_mixedtask10,cie10,7,0.7333,0.7333,0.0333
landmark-country,sametask_shuffled10,test_mixedtask10,cie40,12,0.7667,0.7333,0.0333
landmark-country,sametask_shuffled10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
landmark-country,mixedtask10,test_zeroshot,cie10,0,0.7333,0.7000,0.0000
landmark-country,mixedtask10,test_zeroshot,cie40,0,0.7667,0.7333,0.0000
landmark-country,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
landmark-country,mixedtask10,test_sametask_shuffled10,cie10,9,0.8333,0.8333,0.8000
landmark-country,mixedtask10,test_sametask_shuffled10,cie40,0,0.8000,0.8000,0.8000
landmark-country,mixedtask10,test_sametask_shuffled10,sparse,0,0.8000,0.8000,0.8000
landmark-country,mixedtask10,test_mixedtask10,cie10,14,0.7667,0.7333,0.0333
landmark-country,mixedtask10,test_mixedtask10,cie40,14,0.8000,0.7000,0.0333
landmark-country,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
lowercase_first_letter,zeroshot,test_zeroshot,cie10,14,0.6000,0.4667,0.0000
lowercase_first_letter,zeroshot,test_zeroshot,cie40,14,0.8333,0.5667,0.0000
lowercase_first_letter,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_first_letter,-,test_zeroshot,mean_act,21,0.0667,0.0000,0.0000
lowercase_first_letter,zeroshot,test_sametask_shuffled10,cie10,7,0.8667,0.8667,0.5000
lowercase_first_letter,zeroshot,test_sametask_shuffled10,cie40,1,0.9333,0.9000,0.5000
lowercase_first_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.5000,0.5000,0.5000
lowercase_first_letter,-,test_sametask_shuffled10,mean_act,9,0.9000,0.9000,0.5000
lowercase_first_letter,zeroshot,test_mixedtask10,cie10,13,0.7667,0.6667,0.0333
lowercase_first_letter,zeroshot,test_mixedtask10,cie40,1,0.9333,0.9333,0.0333
lowercase_first_letter,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
lowercase_first_letter,-,test_mixedtask10,mean_act,24,0.6333,0.2333,0.0333
lowercase_first_letter,sametask_shuffled10,test_zeroshot,cie10,14,0.0333,0.0000,0.0000
lowercase_first_letter,sametask_shuffled10,test_zeroshot,cie40,14,0.8333,0.7000,0.0000
lowercase_first_letter,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_first_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,8,0.9333,0.9000,0.5000
lowercase_first_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,9,0.8667,0.8667,0.5000
lowercase_first_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,9,0.8333,0.8333,0.5000
lowercase_first_letter,sametask_shuffled10,test_mixedtask10,cie10,15,0.5000,0.3333,0.0333
lowercase_first_letter,sametask_shuffled10,test_mixedtask10,cie40,8,0.9000,0.8333,0.0333
lowercase_first_letter,sametask_shuffled10,test_mixedtask10,sparse,12,0.2333,0.0667,0.0333
lowercase_first_letter,mixedtask10,test_zeroshot,cie10,8,0.6667,0.6333,0.0000
lowercase_first_letter,mixedtask10,test_zeroshot,cie40,14,0.8333,0.6667,0.0000
lowercase_first_letter,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_first_letter,mixedtask10,test_sametask_shuffled10,cie10,1,0.9000,0.8667,0.5000
lowercase_first_letter,mixedtask10,test_sametask_shuffled10,cie40,0,0.9333,0.9000,0.5000
lowercase_first_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.5000,0.5000,0.5000
lowercase_first_letter,mixedtask10,test_mixedtask10,cie10,16,0.8000,0.6667,0.0333
lowercase_first_letter,mixedtask10,test_mixedtask10,cie40,7,0.9333,0.9000,0.0333
lowercase_first_letter,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
lowercase_last_letter,zeroshot,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
lowercase_last_letter,zeroshot,test_zeroshot,cie40,9,0.1667,0.1667,0.0000
lowercase_last_letter,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_last_letter,-,test_zeroshot,mean_act,0,0.0000,0.0000,0.0000
lowercase_last_letter,zeroshot,test_sametask_shuffled10,cie10,0,0.1667,0.1333,0.2000
lowercase_last_letter,zeroshot,test_sametask_shuffled10,cie40,5,0.1667,0.1000,0.2000
lowercase_last_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
lowercase_last_letter,-,test_sametask_shuffled10,mean_act,12,0.1667,0.1333,0.2000
lowercase_last_letter,zeroshot,test_mixedtask10,cie10,11,0.0667,0.0333,0.0000
lowercase_last_letter,zeroshot,test_mixedtask10,cie40,1,0.1667,0.0667,0.0000
lowercase_last_letter,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
lowercase_last_letter,-,test_mixedtask10,mean_act,26,0.1333,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_zeroshot,cie40,0,0.0000,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,0,0.2667,0.1667,0.2000
lowercase_last_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,2,0.2333,0.2000,0.2000
lowercase_last_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,9,0.2000,0.2000,0.2000
lowercase_last_letter,sametask_shuffled10,test_mixedtask10,cie10,12,0.0333,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_mixedtask10,cie40,11,0.0333,0.0000,0.0000
lowercase_last_letter,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
lowercase_last_letter,mixedtask10,test_zeroshot,cie10,8,0.0333,0.0333,0.0000
lowercase_last_letter,mixedtask10,test_zeroshot,cie40,3,0.1667,0.1333,0.0000
lowercase_last_letter,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
lowercase_last_letter,mixedtask10,test_sametask_shuffled10,cie10,3,0.2000,0.1333,0.2000
lowercase_last_letter,mixedtask10,test_sametask_shuffled10,cie40,18,0.1667,0.1333,0.2000
lowercase_last_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.2000,0.2000,0.2000
lowercase_last_letter,mixedtask10,test_mixedtask10,cie10,11,0.0667,0.0333,0.0000
lowercase_last_letter,mixedtask10,test_mixedtask10,cie40,0,0.1667,0.1333,0.0000
lowercase_last_letter,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
national_parks,zeroshot,test_zeroshot,cie10,14,0.6333,0.5000,0.0000
national_parks,zeroshot,test_zeroshot,cie40,14,0.6000,0.5667,0.0000
national_parks,zeroshot,test_zeroshot,sparse,11,0.4333,0.3333,0.0000
national_parks,-,test_zeroshot,mean_act,14,0.5667,0.3333,0.0000
national_parks,zeroshot,test_sametask_shuffled10,cie10,10,0.7000,0.6333,0.6333
national_parks,zeroshot,test_sametask_shuffled10,cie40,2,0.7000,0.6667,0.6333
national_parks,zeroshot,test_sametask_shuffled10,sparse,9,0.6667,0.6667,0.6333
national_parks,-,test_sametask_shuffled10,mean_act,4,0.6667,0.6667,0.6333
national_parks,zeroshot,test_mixedtask10,cie10,6,0.6333,0.5667,0.2000
national_parks,zeroshot,test_mixedtask10,cie40,6,0.6667,0.5667,0.2000
national_parks,zeroshot,test_mixedtask10,sparse,12,0.5000,0.4667,0.2000
national_parks,-,test_mixedtask10,mean_act,18,0.6000,0.3667,0.2000
national_parks,sametask_shuffled10,test_zeroshot,cie10,4,0.5667,0.5667,0.0000
national_parks,sametask_shuffled10,test_zeroshot,cie40,10,0.6000,0.5667,0.0000
national_parks,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
national_parks,sametask_shuffled10,test_sametask_shuffled10,cie10,2,0.6667,0.6333,0.6333
national_parks,sametask_shuffled10,test_sametask_shuffled10,cie40,1,0.7000,0.6333,0.6333
national_parks,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.6333,0.6333,0.6333
national_parks,sametask_shuffled10,test_mixedtask10,cie10,7,0.5333,0.5000,0.2000
national_parks,sametask_shuffled10,test_mixedtask10,cie40,7,0.6333,0.5333,0.2000
national_parks,sametask_shuffled10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
national_parks,mixedtask10,test_zeroshot,cie10,14,0.6333,0.5000,0.0000
national_parks,mixedtask10,test_zeroshot,cie40,14,0.6000,0.5000,0.0000
national_parks,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
national_parks,mixedtask10,test_sametask_shuffled10,cie10,10,0.7000,0.6333,0.6333
national_parks,mixedtask10,test_sametask_shuffled10,cie40,0,0.7000,0.6333,0.6333
national_parks,mixedtask10,test_sametask_shuffled10,sparse,0,0.6333,0.6333,0.6333
national_parks,mixedtask10,test_mixedtask10,cie10,5,0.6667,0.5667,0.2000
national_parks,mixedtask10,test_mixedtask10,cie40,4,0.6333,0.5667,0.2000
national_parks,mixedtask10,test_mixedtask10,sparse,0,0.2000,0.2000,0.2000
next_capital_letter,zeroshot,test_zeroshot,cie10,2,0.0667,0.0333,0.0333
next_capital_letter,zeroshot,test_zeroshot,cie40,27,0.1000,0.0333,0.0333
next_capital_letter,zeroshot,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
next_capital_letter,-,test_zeroshot,mean_act,26,0.1000,0.0000,0.0333
next_capital_letter,zeroshot,test_sametask_shuffled10,cie10,0,0.1000,0.0333,0.0667
next_capital_letter,zeroshot,test_sametask_shuffled10,cie40,0,0.1000,0.0333,0.0667
next_capital_letter,zeroshot,test_sametask_shuffled10,sparse,0,0.0667,0.0667,0.0667
next_capital_letter,-,test_sametask_shuffled10,mean_act,9,0.1000,0.1000,0.0667
next_capital_letter,zeroshot,test_mixedtask10,cie10,0,0.0333,0.0000,0.0000
next_capital_letter,zeroshot,test_mixedtask10,cie40,27,0.0667,0.0333,0.0000
next_capital_letter,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
next_capital_letter,-,test_mixedtask10,mean_act,20,0.1000,0.0000,0.0000
next_capital_letter,sametask_shuffled10,test_zeroshot,cie10,7,0.0333,0.0333,0.0333
next_capital_letter,sametask_shuffled10,test_zeroshot,cie40,9,0.0333,0.0333,0.0333
next_capital_letter,sametask_shuffled10,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
next_capital_letter,sametask_shuffled10,test_sametask_shuffled10,cie10,0,0.0667,0.0667,0.0667
next_capital_letter,sametask_shuffled10,test_sametask_shuffled10,cie40,0,0.0667,0.0333,0.0667
next_capital_letter,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.0667,0.0667,0.0667
next_capital_letter,sametask_shuffled10,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
next_capital_letter,sametask_shuffled10,test_mixedtask10,cie40,0,0.0333,0.0000,0.0000
next_capital_letter,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
next_capital_letter,mixedtask10,test_zeroshot,cie10,8,0.1000,0.0667,0.0333
next_capital_letter,mixedtask10,test_zeroshot,cie40,15,0.1333,0.0000,0.0333
next_capital_letter,mixedtask10,test_zeroshot,sparse,0,0.0333,0.0333,0.0333
next_capital_letter,mixedtask10,test_sametask_shuffled10,cie10,0,0.1000,0.0333,0.0667
next_capital_letter,mixedtask10,test_sametask_shuffled10,cie40,16,0.0667,0.0000,0.0667
next_capital_letter,mixedtask10,test_sametask_shuffled10,sparse,0,0.0667,0.0667,0.0667
next_capital_letter,mixedtask10,test_mixedtask10,cie10,0,0.0333,0.0000,0.0000
next_capital_letter,mixedtask10,test_mixedtask10,cie40,0,0.0333,0.0000,0.0000
next_capital_letter,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
next_item,zeroshot,test_zeroshot,cie10,11,0.8000,0.6333,0.1333
next_item,zeroshot,test_zeroshot,cie40,7,0.7333,0.6000,0.1333
next_item,zeroshot,test_zeroshot,sparse,0,0.1333,0.1333,0.1333
next_item,-,test_zeroshot,mean_act,9,0.4667,0.4667,0.1333
next_item,zeroshot,test_sametask_shuffled10,cie10,11,0.6667,0.5333,0.1333
next_item,zeroshot,test_sametask_shuffled10,cie40,8,0.7000,0.5333,0.1333
next_item,zeroshot,test_sametask_shuffled10,sparse,0,0.1333,0.1333,0.1333
next_item,-,test_sametask_shuffled10,mean_act,9,0.3000,0.3000,0.1333
next_item,zeroshot,test_mixedtask10,cie10,8,0.5667,0.5333,0.0333
next_item,zeroshot,test_mixedtask10,cie40,8,0.6667,0.4333,0.0333
next_item,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
next_item,-,test_mixedtask10,mean_act,9,0.1667,0.1667,0.0333
next_item,sametask_shuffled10,test_zeroshot,cie10,11,0.7667,0.5333,0.1333
next_item,sametask_shuffled10,test_zeroshot,cie40,11,0.7667,0.6333,0.1333
next_item,sametask_shuffled10,test_zeroshot,sparse,10,0.7333,0.6000,0.1333
next_item,sametask_shuffled10,test_sametask_shuffled10,cie10,11,0.7000,0.5333,0.1333
next_item,sametask_shuffled10,test_sametask_shuffled10,cie40,1,0.7000,0.5667,0.1333
next_item,sametask_shuffled10,test_sametask_shuffled10,sparse,8,0.8333,0.7667,0.1333
next_item,sametask_shuffled10,test_mixedtask10,cie10,8,0.5667,0.5333,0.0333
next_item,sametask_shuffled10,test_mixedtask10,cie40,8,0.6000,0.4667,0.0333
next_item,sametask_shuffled10,test_mixedtask10,sparse,9,0.6667,0.6667,0.0333
next_item,mixedtask10,test_zeroshot,cie10,11,0.8000,0.6333,0.1333
next_item,mixedtask10,test_zeroshot,cie40,11,0.8000,0.5667,0.1333
next_item,mixedtask10,test_zeroshot,sparse,0,0.1333,0.1333,0.1333
next_item,mixedtask10,test_sametask_shuffled10,cie10,11,0.7000,0.5667,0.1333
next_item,mixedtask10,test_sametask_shuffled10,cie40,0,0.7333,0.5333,0.1333
next_item,mixedtask10,test_sametask_shuffled10,sparse,0,0.1333,0.1333,0.1333
next_item,mixedtask10,test_mixedtask10,cie10,8,0.5667,0.5333,0.0333
next_item,mixedtask10,test_mixedtask10,cie40,3,0.5667,0.4333,0.0333
next_item,mixedtask10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
park-country,zeroshot,test_zeroshot,cie10,9,0.6000,0.6000,0.0000
park-country,zeroshot,test_zeroshot,cie40,0,0.6000,0.4667,0.0000
park-country,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
park-country,-,test_zeroshot,mean_act,13,0.4000,0.2667,0.0000
park-country,zeroshot,test_sametask_shuffled10,cie10,13,0.5667,0.5333,0.5333
park-country,zeroshot,test_sametask_shuffled10,cie40,9,0.5667,0.5667,0.5333
park-country,zeroshot,test_sametask_shuffled10,sparse,0,0.5333,0.5333,0.5333
park-country,-,test_sametask_shuffled10,mean_act,0,0.5667,0.5333,0.5333
park-country,zeroshot,test_mixedtask10,cie10,0,0.5333,0.5000,0.2333
park-country,zeroshot,test_mixedtask10,cie40,0,0.5667,0.5333,0.2333
park-country,zeroshot,test_mixedtask10,sparse,0,0.2333,0.2333,0.2333
park-country,-,test_mixedtask10,mean_act,8,0.4000,0.4000,0.2333
park-country,sametask_shuffled10,test_zeroshot,cie10,2,0.6000,0.5667,0.0000
park-country,sametask_shuffled10,test_zeroshot,cie40,4,0.6333,0.6000,0.0000
park-country,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
park-country,sametask_shuffled10,test_sametask_shuffled10,cie10,1,0.5667,0.5333,0.5333
park-country,sametask_shuffled10,test_sametask_shuffled10,cie40,13,0.5667,0.5333,0.5333
park-country,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.5333,0.5333,0.5333
park-country,sametask_shuffled10,test_mixedtask10,cie10,0,0.5667,0.5000,0.2333
park-country,sametask_shuffled10,test_mixedtask10,cie40,0,0.5667,0.5333,0.2333
park-country,sametask_shuffled10,test_mixedtask10,sparse,0,0.2333,0.2333,0.2333
park-country,mixedtask10,test_zeroshot,cie10,0,0.6000,0.6000,0.0000
park-country,mixedtask10,test_zeroshot,cie40,0,0.6000,0.5333,0.0000
park-country,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
park-country,mixedtask10,test_sametask_shuffled10,cie10,10,0.6000,0.5333,0.5333
park-country,mixedtask10,test_sametask_shuffled10,cie40,8,0.6000,0.5667,0.5333
park-country,mixedtask10,test_sametask_shuffled10,sparse,0,0.5333,0.5333,0.5333
park-country,mixedtask10,test_mixedtask10,cie10,0,0.5333,0.5000,0.2333
park-country,mixedtask10,test_mixedtask10,cie40,0,0.6000,0.5000,0.2333
park-country,mixedtask10,test_mixedtask10,sparse,0,0.2333,0.2333,0.2333
person-instrument,zeroshot,test_zeroshot,cie10,8,0.6333,0.6333,0.0000
person-instrument,zeroshot,test_zeroshot,cie40,9,0.6667,0.6667,0.0000
person-instrument,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-instrument,-,test_zeroshot,mean_act,15,0.5000,0.0000,0.0000
person-instrument,zeroshot,test_sametask_shuffled10,cie10,20,0.6667,0.6000,0.5667
person-instrument,zeroshot,test_sametask_shuffled10,cie40,18,0.6667,0.5000,0.5667
person-instrument,zeroshot,test_sametask_shuffled10,sparse,0,0.5667,0.5667,0.5667
person-instrument,-,test_sametask_shuffled10,mean_act,1,0.6000,0.5667,0.5667
person-instrument,zeroshot,test_mixedtask10,cie10,3,0.5000,0.4000,0.0000
person-instrument,zeroshot,test_mixedtask10,cie40,2,0.7000,0.6333,0.0000
person-instrument,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
person-instrument,-,test_mixedtask10,mean_act,21,0.5333,0.1333,0.0000
person-instrument,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
person-instrument,sametask_shuffled10,test_zeroshot,cie40,0,0.0000,0.0000,0.0000
person-instrument,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-instrument,sametask_shuffled10,test_sametask_shuffled10,cie10,1,0.5667,0.5333,0.5667
person-instrument,sametask_shuffled10,test_sametask_shuffled10,cie40,7,0.5667,0.5333,0.5667
person-instrument,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.5667,0.5667,0.5667
person-instrument,sametask_shuffled10,test_mixedtask10,cie10,0,0.0000,0.0000,0.0000
person-instrument,sametask_shuffled10,test_mixedtask10,cie40,0,0.0000,0.0000,0.0000
person-instrument,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
person-instrument,mixedtask10,test_zeroshot,cie10,8,0.5667,0.5667,0.0000
person-instrument,mixedtask10,test_zeroshot,cie40,13,0.6333,0.5667,0.0000
person-instrument,mixedtask10,test_zeroshot,sparse,7,0.0333,0.0000,0.0000
person-instrument,mixedtask10,test_sametask_shuffled10,cie10,7,0.6667,0.6000,0.5667
person-instrument,mixedtask10,test_sametask_shuffled10,cie40,7,0.6667,0.6000,0.5667
person-instrument,mixedtask10,test_sametask_shuffled10,sparse,12,0.7000,0.6000,0.5667
person-instrument,mixedtask10,test_mixedtask10,cie10,11,0.6333,0.5000,0.0000
person-instrument,mixedtask10,test_mixedtask10,cie40,6,0.7000,0.6000,0.0000
person-instrument,mixedtask10,test_mixedtask10,sparse,11,0.3333,0.1000,0.0000
person-occupation,zeroshot,test_zeroshot,cie10,0,0.1333,0.1000,0.0000
person-occupation,zeroshot,test_zeroshot,cie40,14,0.4333,0.2000,0.0000
person-occupation,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-occupation,-,test_zeroshot,mean_act,19,0.2667,0.0000,0.0000
person-occupation,zeroshot,test_sametask_shuffled10,cie10,18,0.3667,0.2667,0.2667
person-occupation,zeroshot,test_sametask_shuffled10,cie40,19,0.4667,0.2333,0.2667
person-occupation,zeroshot,test_sametask_shuffled10,sparse,0,0.2667,0.2667,0.2667
person-occupation,-,test_sametask_shuffled10,mean_act,12,0.4667,0.2667,0.2667
person-occupation,zeroshot,test_mixedtask10,cie10,14,0.2333,0.1000,0.0333
person-occupation,zeroshot,test_mixedtask10,cie40,0,0.2333,0.1667,0.0333
person-occupation,zeroshot,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
person-occupation,-,test_mixedtask10,mean_act,24,0.3000,0.0667,0.0333
person-occupation,sametask_shuffled10,test_zeroshot,cie10,0,0.0000,0.0000,0.0000
person-occupation,sametask_shuffled10,test_zeroshot,cie40,0,0.0000,0.0000,0.0000
person-occupation,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-occupation,sametask_shuffled10,test_sametask_shuffled10,cie10,0,0.3000,0.2667,0.2667
person-occupation,sametask_shuffled10,test_sametask_shuffled10,cie40,12,0.3000,0.2333,0.2667
person-occupation,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.2667,0.2667,0.2667
person-occupation,sametask_shuffled10,test_mixedtask10,cie10,12,0.0667,0.0333,0.0333
person-occupation,sametask_shuffled10,test_mixedtask10,cie40,12,0.0667,0.0333,0.0333
person-occupation,sametask_shuffled10,test_mixedtask10,sparse,0,0.0333,0.0333,0.0333
person-occupation,mixedtask10,test_zeroshot,cie10,0,0.1000,0.0333,0.0000
person-occupation,mixedtask10,test_zeroshot,cie40,14,0.3000,0.2000,0.0000
person-occupation,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
person-occupation,mixedtask10,test_sametask_shuffled10,cie10,18,0.3667,0.2667,0.2667
person-occupation,mixedtask10,test_sametask_shuffled10,cie40,20,0.4000,0.2000,0.2667
person-occupation,mixedtask10,test_sametask_shuffled10,sparse,0,0.2667,0.2667,0.2667
person-occupation,mixedtask10,test_mixedtask10,cie10,14,0.2333,0.1000,0.0333
person-occupation,mixedtask10,test_mixedtask10,cie40,27,0.2667,0.2333,0.0333
