family,target,layer,alpha,target_rate,unscorable
py_comprehension,alt,24,0.5,0.26,0.5
py_comprehension,alt,24,1.0,0.1,0.64
py_comprehension,alt,24,2.0,0.06,0.72
py_comprehension,alt,24,4.0,0.04,0.94
py_not_in,nat,24,0.0,0.4,0.58
py_not_in,nat,24,0.5,0.36,0.64
py_not_in,nat,24,1.0,0.44,0.56
py_not_in,nat,24,2.0,0.4,0.6
py_not_in,nat,24,4.0,0.36,0.64
py_not_in,alt,24,0.0,0.02,0.58
py_not_in,alt,24,0.5,0.0,0.68
py_not_in,alt,24,1.0,0.06,0.68
py_not_in,alt,24,2.0,0.08,0.6
py_not_in,alt,24,4.0,0.14,0.74
py_ternary,nat,24,0.0,0.12,0.6
py_ternary,nat,24,0.5,0.1,0.5
py_ternary,nat,24,1.0,0.12,0.52
py_ternary,nat,24,2.0,0.1,0.64
py_ternary,nat,24,4.0,0.0,0.7
py_ternary,alt,24,0.0,0.28,0.6
py_ternary,alt,24,0.5,0.32,0.64
py_ternary,alt,24,1.0,0.36,0.58
py_ternary,alt,24,2.0,0.28,0.56
py_ternary,alt,24,4.0,0.16,0.8
early_return,nat,24,0.0,0.18,0.52
early_return,nat,24,0.5,0.22,0.54
early_return,nat,24,1.0,0.16,0.7
early_return,nat,24,2.0,0.22,0.74
early_return,nat,24,4.0,0.28,0.72
early_return,alt,24,0.0,0.3,0.52
early_return,alt,24,0.5,0.32,0.58
early_return,alt,24,1.0,0.46,0.42
early_return,alt,24,2.0,0.4,0.46
early_return,alt,24,4.0,0.58,0.3
py_join_concat,nat,24,0.0,0.46,0.34
py_join_concat,nat,24,0.5,0.44,0.48
py_join_concat,nat,24,1.0,0.5,0.44
py_join_concat,nat,24,2.0,0.5,0.42
py_join_concat,nat,24,4.0,0.58,0.32
py_join_concat,alt,24,0.0,0.2,0.34
py_join_concat,alt,24,0.5,0.12,0.52
py_join_concat,alt,24,1.0,0.1,0.48
py_join_concat,alt,24,2.0,0.14,0.58
py_join_concat,alt,24,4.0,0.2,0.62
py_with_open,nat,24,0.0,0.08,0.92
py_with_open,nat,24,0.5,0.04,0.94
py_with_open,nat,24,1.0,0.04,0.94
py_with_open,nat,24,2.0,0.06,0.94
py_with_open,nat,24,4.0,0.1,0.9
py_with_open,alt,24,0.0,0.0,0.92
py_with_open,alt,24,0.5,0.0,0.96
py_with_open,alt,24,1.0,0.02,0.92
py_with_open,alt,24,2.0,0.02,0.92
py_with_open,alt,24,4.0,0.04,0.94
py_enumerate,nat,24,0.0,0.14,0.62
py_enumerate,nat,24,0.5,0.22,0.62
py_enumerate,nat,24,1.0,0.22,0.58
py_enumerate,nat,24,2.0,0.46,0.46
py_enumerate,nat,24,4.0,0.88,0.12
py_enumerate,alt,24,0.0,0.24,0.62
py_enumerate,alt,24,0.5,0.2,0.68
py_enumerate,alt,24,1.0,0.36,0.56
py_enumerate,alt,24,2.0,0.38,0.58
py_enumerate,alt,24,4.0,0.26,0.72
py_self_name,nat,24,0.0,0.98,0.02
py_self_name,nat,24,0.5,1.0,0.0
py_self_name,nat,24,1.0,1.0,0.0
py_self_name,nat,24,2.0,1.0,0.0
py_self_name,nat,24,4.0,0.86,0.14
py_self_name,alt,24,0.0,0.0,0.02
py_self_name,alt,24,0.5,0.0,0.02
py_self_name,alt,24,1.0,0.08,0.06
py_self_name,alt,24,2.0,0.7,0.06
py_self_name,alt,24,4.0,0.02,0.36
py_indent,nat,24,0.0,0.88,0.06
py_indent,nat,24,0.5,0.86,0.12
py_indent,nat,24,1.0,1.0,0.0
py_indent,nat,24,2.0,0.94,0.06
py_indent,nat,24,4.0,0.96,0.04
py_indent,alt,24,0.0,0.06,0.06
py_indent,alt,24,0.5,0.34,0.12
py_indent,alt,24,1.0,0.78,0.06
py_indent,alt,24,2.0,0.9,0.02
py_indent,alt,24,4.0,0.94,0.02
py_tabs,nat,24,0.0,0.94,0.06
py_tabs,nat,24,0.5,0.96,0.04
py_tabs,nat,24,1.0,0.98,0.02
py_tabs,nat,24,2.0,0.98,0.02
py_tabs,nat,24,4.0,0.98,0.02
py_tabs,alt,24,0.0,0.0,0.06
py_tabs,alt,24,0.5,0.18,0.18
py_tabs,alt,24,1.0,0.68,0.18
py_tabs,alt,24,2.0,0.82,0.14
py_tabs,alt,24,4.0,0.88,0.08
operator_spaces,nat,24,0.0,0.7,0.24
operator_spaces,nat,24,0.5,0.7,0.3
operator_spaces,nat,24,1.0,0.72,0.18
operator_spaces,nat,24,2.0,0.66,0.28
operator_spaces,nat,24,4.0,0.7,0.26
operator_spaces,alt,24,0.0,0.06,0.24
operator_spaces,alt,24,0.5,0.1,0.2
operator_spaces,alt,24,1.0,0.3,0.26
operator_spaces,alt,24,2.0,0.4,0.28
operator_spaces,alt,24,4.0,0.38,0.36
comma_space,nat,24,0.0,0.8,0.2
comma_space,nat,24,0.5,0.84,0.14
comma_space,nat,24,1.0,0.8,0.18
comma_space,nat,24,2.0,0.82,0.16
comma_space,nat,24,4.0,0.7,0.3
comma_space,alt,24,0.0,0.0,0.2
comma_space,alt,24,0.5,0.08,0.14
comma_space,alt,24,1.0,0.22,0.14
comma_space,alt,24,2.0,0.52,0.26
comma_space,alt,24,4.0,0.62,0.24
line_wrap,nat,24,0.0,0.0,0.34
line_wrap,nat,24,0.5,0.02,0.3
line_wrap,nat,24,1.0,0.18,0.24
line_wrap,nat,24,2.0,0.6,0.14
line_wrap,nat,24,4.0,0.94,0.04
line_wrap,alt,24,0.0,0.66,0.34
line_wrap,alt,24,0.5,0.7,0.3
line_wrap,alt,24,1.0,0.68,0.32
line_wrap,alt,24,2.0,0.72,0.28
line_wrap,alt,24,4.0,0.62,0.38
docstring_style,nat,24,0.0,0.6,0.32
docstring_style,nat,24,0.5,0.82,0.18
docstring_style,nat,24,1.0,0.86,0.14
docstring_style,nat,24,2.0,0.92,0.08
docstring_style,nat,24,4.0,1.0,0.0
docstring_style,alt,24,0.0,0.08,0.32
docstring_style,alt,24,0.5,0.1,0.26
docstring_style,alt,24,1.0,0.28,0.24
docstring_style,alt,24,2.0,0.54,0.16
docstring_style,alt,24,4.0,0.68,0.04
docstring_quotes,nat,24,0.0,0.16,0.84
docstring_quotes,nat,24,0.5,0.14,0.86
docstring_quotes,nat,24,1.0,0.24,0.76
docstring_quotes,nat,24,2.0,0.2,0.8
docstring_quotes,nat,24,4.0,0.0,1.0
docstring_quotes,alt,24,0.0,0.0,0.84
docstring_quotes,alt,24,0.5,0.04,0.74
docstring_quotes,alt,24,1.0,0.06,0.88
docstring_quotes,alt,24,2.0,0.14,0.86
docstring_quotes,alt,24,4.0,0.08,0.92
comment_case,nat,24,0.0,0.24,0.62
comment_case,nat,24,0.5,0.24,0.74
comment_case,nat,24,1.0,0.22,0.76
comment_case,nat,24,2.0,0.3,0.66
comment_case,nat,24,4.0,0.22,0.66
comment_case,alt,24,0.0,0.14,0.62
comment_case,alt,24,0.5,0.14,0.76
comment_case,alt,24,1.0,0.22,0.72
comment_case,alt,24,2.0,0.28,0.68
comment_case,alt,24,4.0,0.26,0.68
comment_language,nat,24,0.0,0.3,0.7
comment_language,nat,24,0.5,0.16,0.84
comment_language,nat,24,1.0,0.34,0.66
comment_language,nat,24,2.0,0.24,0.76
comment_language,nat,24,4.0,0.14,0.86
comment_language,alt,24,0.0,0.0,0.7
comment_language,alt,24,0.5,0.04,0.74
comment_language,alt,24,1.0,0.04,0.88
comment_language,alt,24,2.0,0.04,0.86
comment_language,alt,24,4.0,0.0,0.94
c_comment_style,nat,24,0.0,0.28,0.72
