family,direction,layer,alpha,target_rate,unsteered,unscorable
uk_vocab,alt2nat,16,4.0,0.7,0.38,0.18
uk_vocab,alt2nat,20,0.5,0.56,0.38,0.2
uk_vocab,alt2nat,20,1.0,0.44,0.38,0.22
uk_vocab,alt2nat,20,2.0,0.38,0.38,0.14
uk_vocab,alt2nat,20,4.0,0.32,0.38,0.2
uk_vocab,alt2nat,24,0.5,0.4,0.38,0.18
uk_vocab,alt2nat,24,1.0,0.3,0.38,0.22
uk_vocab,alt2nat,24,2.0,0.5,0.38,0.24
uk_vocab,alt2nat,24,4.0,0.5,0.38,0.22
register,nat2alt,2,0.5,0.16,0.22,0.08
register,nat2alt,2,1.0,0.3,0.22,0.04
register,nat2alt,2,2.0,0.34,0.22,0.1
register,nat2alt,2,4.0,0.48,0.22,0.1
register,nat2alt,4,0.5,0.3,0.22,0.02
register,nat2alt,4,1.0,0.26,0.22,0.12
register,nat2alt,4,2.0,0.3,0.22,0.14
register,nat2alt,4,4.0,0.38,0.22,0.22
register,nat2alt,6,0.5,0.26,0.22,0.12
register,nat2alt,6,1.0,0.2,0.22,0.1
register,nat2alt,6,2.0,0.4,0.22,0.14
register,nat2alt,6,4.0,0.36,0.22,0.24
register,nat2alt,8,0.5,0.22,0.22,0.02
register,nat2alt,8,1.0,0.24,0.22,0.04
register,nat2alt,8,2.0,0.42,0.22,0.12
register,nat2alt,8,4.0,0.38,0.22,0.3
register,nat2alt,10,0.5,0.26,0.22,0.02
register,nat2alt,10,1.0,0.32,0.22,0.1
register,nat2alt,10,2.0,0.48,0.22,0.14
register,nat2alt,10,4.0,0.42,0.22,0.1
register,nat2alt,12,0.5,0.24,0.22,0.04
register,nat2alt,12,1.0,0.3,0.22,0.1
register,nat2alt,12,2.0,0.46,0.22,0.06
register,nat2alt,12,4.0,0.52,0.22,0.18
register,nat2alt,16,0.5,0.22,0.22,0.1
register,nat2alt,16,1.0,0.38,0.22,0.06
register,nat2alt,16,2.0,0.44,0.22,0.12
register,nat2alt,16,4.0,0.48,0.22,0.16
register,nat2alt,20,0.5,0.2,0.22,0.06
register,nat2alt,20,1.0,0.2,0.22,0.04
register,nat2alt,20,2.0,0.24,0.22,0.04
register,nat2alt,20,4.0,0.42,0.22,0.08
register,nat2alt,24,0.5,0.26,0.22,0.04
register,nat2alt,24,1.0,0.22,0.22,0.1
register,nat2alt,24,2.0,0.22,0.22,0.06
register,nat2alt,24,4.0,0.42,0.22,0.14
register,alt2nat,2,0.5,0.68,0.64,0.02
register,alt2nat,2,1.0,0.72,0.64,0.08
register,alt2nat,2,2.0,0.7,0.64,0.06
register,alt2nat,2,4.0,0.8,0.64,0.04
register,alt2nat,4,0.5,0.48,0.64,0.1
register,alt2nat,4,1.0,0.7,0.64,0.08
register,alt2nat,4,2.0,0.76,0.64,0.06
