family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
pt_acordo_eu,nat2alt,nat,alt,3,nat2alt_top1,12,4.0,,200,0.685,0.618,0.745,0.715,0.16,0.125,0.94,0.03,6.0,0.465,0.685
pt_acordo_eu,nat2alt,nat,alt,3,nat2alt_top2,6,4.0,,200,0.675,0.607,0.736,0.725,0.125,0.15,0.93,0.015,6.0,0.465,0.685
pt_acordo_eu,nat2alt,nat,alt,3,nat2alt_cf,12,4.0,pt_br_eu,200,0.71,0.644,0.768,0.725,0.14,0.135,0.96,0.02,6.0,0.465,0.685
pt_acordo_eu,alt2nat,alt,nat,3,base,0,0.0,,200,0.35,0.287,0.418,0.355,0.48,0.165,0.955,0.015,5.8,0.685,0.465
pt_acordo_eu,alt2nat,alt,nat,3,alt2nat_top1,8,4.0,,200,0.705,0.638,0.764,0.765,0.065,0.17,0.925,0.025,5.8,0.685,0.465
pt_acordo_eu,alt2nat,alt,nat,3,alt2nat_top2,16,2.0,,200,0.71,0.644,0.768,0.735,0.105,0.16,0.955,0.025,5.8,0.685,0.465
pt_acordo_eu,alt2nat,alt,nat,3,alt2nat_cf,8,4.0,pt_br_eu,200,0.665,0.597,0.727,0.72,0.13,0.15,0.925,0.025,5.8,0.685,0.465
es_rae2010,nat2alt,nat,alt,3,base,0,0.0,,200,0.04,0.02,0.077,0.05,0.685,0.265,0.92,0.04,3.1,0.325,0.635
es_rae2010,nat2alt,nat,alt,3,nat2alt_top1,24,4.0,,200,0.505,0.436,0.574,0.575,0.26,0.165,0.885,0.025,3.1,0.325,0.635
es_rae2010,nat2alt,nat,alt,3,nat2alt_top2,8,2.0,,200,0.385,0.32,0.454,0.465,0.275,0.26,0.84,0.01,3.1,0.325,0.635
es_rae2010,nat2alt,nat,alt,3,nat2alt_cf,24,4.0,ru_yo,200,0.06,0.035,0.102,0.07,0.67,0.26,0.9,0.015,3.1,0.325,0.635
es_rae2010,alt2nat,alt,nat,3,base,0,0.0,,200,0.37,0.306,0.439,0.405,0.35,0.245,0.87,0.02,5.0,0.635,0.325
es_rae2010,alt2nat,alt,nat,3,alt2nat_top1,2,4.0,,200,0.695,0.628,0.755,0.795,0.005,0.2,0.875,0.02,5.0,0.635,0.325
es_rae2010,alt2nat,alt,nat,3,alt2nat_top2,4,4.0,,200,0.7,0.633,0.759,0.76,0.04,0.2,0.915,0.035,5.0,0.635,0.325
es_rae2010,alt2nat,alt,nat,3,alt2nat_cf,2,4.0,ru_yo,200,0.245,0.191,0.309,0.275,0.46,0.265,0.85,0.02,5.0,0.635,0.325
zh_simp_trad,nat2alt,nat,alt,3,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.985,0.015,0.95,0.005,3.6,0.83,0.91
zh_simp_trad,nat2alt,nat,alt,3,nat2alt_top1,4,2.0,,200,0.81,0.75,0.858,0.985,0.01,0.005,0.825,0.035,3.6,0.83,0.91
zh_simp_trad,nat2alt,nat,alt,3,nat2alt_top2,6,2.0,,200,0.865,0.811,0.906,0.985,0.0,0.015,0.875,0.02,3.6,0.83,0.91
zh_simp_trad,nat2alt,nat,alt,3,nat2alt_cf,4,2.0,pt_acordo_eu,200,0.01,0.003,0.036,0.01,0.975,0.015,0.905,0.005,3.6,0.83,0.91
zh_simp_trad,alt2nat,alt,nat,3,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.98,0.015,0.855,0.015,5.2,0.91,0.83
zh_simp_trad,alt2nat,alt,nat,3,alt2nat_top1,8,2.0,,200,0.935,0.892,0.962,0.995,0.005,0.0,0.94,0.005,5.2,0.91,0.83
zh_simp_trad,alt2nat,alt,nat,3,alt2nat_top2,4,4.0,,200,0.88,0.828,0.918,0.975,0.0,0.025,0.895,0.02,5.2,0.91,0.83
zh_simp_trad,alt2nat,alt,nat,3,alt2nat_cf,8,2.0,pt_acordo_eu,200,0.2,0.15,0.261,0.21,0.79,0.0,0.91,0.005,5.2,0.91,0.83
ru_yo,nat2alt,nat,alt,3,base,0,0.0,,198,0.106,0.07,0.157,0.141,0.581,0.278,0.778,0.081,6.2,0.525,0.505
ru_yo,nat2alt,nat,alt,3,nat2alt_top1,20,4.0,,198,0.54,0.471,0.608,0.606,0.04,0.354,0.859,0.066,6.2,0.525,0.505
ru_yo,nat2alt,nat,alt,3,nat2alt_top2,8,2.0,,198,0.47,0.401,0.539,0.596,0.015,0.389,0.798,0.071,6.2,0.525,0.505
ru_yo,nat2alt,nat,alt,3,nat2alt_cf,20,4.0,unit_abbr,198,0.369,0.305,0.438,0.465,0.136,0.399,0.818,0.091,6.2,0.525,0.505
ru_yo,alt2nat,alt,nat,3,base,0,0.0,,198,0.02,0.008,0.051,0.02,0.616,0.364,0.838,0.091,4.4,0.505,0.525
ru_yo,alt2nat,alt,nat,3,alt2nat_top1,4,4.0,,198,0.455,0.387,0.524,0.561,0.141,0.298,0.763,0.096,4.4,0.505,0.525
ru_yo,alt2nat,alt,nat,3,alt2nat_top2,2,2.0,,198,0.465,0.397,0.534,0.606,0.121,0.273,0.753,0.091,4.4,0.505,0.525
ru_yo,alt2nat,alt,nat,3,alt2nat_cf,4,4.0,unit_abbr,198,0.081,0.05,0.127,0.096,0.53,0.374,0.813,0.066,4.4,0.505,0.525
