icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
4,pre_label_token,14,16,16,16,16,100.0,57.348121643066406,False,3400,1190,0.035906086581594804,0.21478755213633305,7.19765588648179,9.415860985507484,0.1780068725347519,147.07132848403032,879.7698266806723
4,pre_label_token,15,16,16,16,16,316.22776601683796,59.343505859375,False,3400,1190,0.03498589259736678,0.21702854092381582,6.962082761876723,9.989550268349527,0.1780068725347519,143.30221492991728,888.9489266018908
4,pre_label_token,16,16,16,16,16,316.22776601683796,60.401283264160156,False,3400,1190,0.0340755542937447,0.2166198938834567,6.729036093319164,9.884935702796744,0.1780068725347519,139.57346737132352,887.2750820640756
4,pre_label_token,17,16,16,16,16,100.0,59.04812240600586,False,3400,1190,0.03473246430649477,0.22044974575523568,6.897204984777114,10.865385424189206,0.1780068725347519,142.2641739430147,902.9621684611344
4,pre_label_token,18,16,16,16,16,100.0,60.727291107177734,False,3400,1190,0.03453211265451768,0.22293995448521206,6.845915352316464,11.502873781348477,0.1780068725347519,141.44353336109833,913.1620470063025
4,pre_label_token,19,16,16,16,16,316.22776601683796,63.254093170166016,False,3400,1190,0.03657427587929894,0.22494489044702354,7.368710084802964,12.016155441668856,0.1780068725347519,149.8082351505055,921.3742647058823
4,pre_label_token,20,16,16,16,16,100.0,64.77949523925781,False,3400,1190,0.03799230947214014,0.23125482447007123,7.7317263434914985,13.631503783153887,0.1780068725347519,155.6164970846737,947.2197347689075
4,pre_label_token,21,16,16,16,16,316.22776601683796,69.43138885498047,False,3400,1190,0.04083303560228909,0.23315671471988453,8.45895330990062,14.118395637063418,0.1780068725347519,167.25211985868566,955.009887079832
4,pre_label_token,22,16,16,16,16,316.22776601683796,72.45311737060547,False,3400,1190,0.040796733077834636,0.2341866276845211,8.449659729003907,14.382055766642594,0.1780068725347519,167.10341883042278,959.2284269957984
4,pre_label_token,23,16,16,16,16,316.22776601683796,74.87651062011719,False,3400,1190,0.040601175672867716,0.23359189474282144,8.3995971141142,14.229806287749474,0.1780068725347519,166.30241598690256,956.7924238445378
4,pre_label_token,24,16,16,16,16,316.22776601683796,76.96991729736328,False,3400,1190,0.040947996132514056,0.23519103827596713,8.488383753159466,14.639189391576943,0.1780068725347519,167.7229963235294,963.3424993434874
4,pre_label_token,25,16,16,16,16,1000.0,79.3331069946289,False,3400,1190,0.052574473268845505,0.23691308798910188,11.464762339872472,15.080036785221901,0.1780068725347519,215.3450367647059,970.3959821428572
